year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,3849,36625.0,37257,728,1105,1833,5207,5175,8321,5883,10382,14204,19.87713310580205,30.170648464163822,50.04778156996587,283.4675767918089,387.82252559726965,0.3971631205673759,0.2786590439380519,0.3812437931127037,1.3681371604700443
2016,4828,45885.0,46657,742,1255,1997,6524,6457,10564,7539,12981,18103,16.170861937452326,27.350986161054813,43.521848098507135,282.9029094475319,394.529802767789,0.37155733600400603,0.2782219173971751,0.3880018003729344,1.3945766890070102
2017,6685,63560.0,64649,965,1721,2686,8828,8745,14726,10217,17573,24943,15.182504719949653,27.076777847702957,42.25928256765261,276.4789175582127,392.43234738829454,0.35927029039463887,0.2718216832433603,0.3858218997973673,1.4193933875832243
2018,11289,107057.0,108891,1487,2789,4276,14610,14466,24832,17324,29076,42156,13.889797024015243,26.05154263616578,39.94133966018103,271.59363703447696,393.77154226253305,0.347754911131899,0.26701931289087255,0.38713943301099263,1.449855550969872
2019,15953,152478.0,155097,1964,3868,5832,20745,20473,35323,24784,41218,60107,12.880546701819279,25.367594013562613,38.24814071538189,270.32096433583865,394.20113065491415,0.33676268861454045,0.26575626865767876,0.3875445688826992,1.4582706584501917
2020,16831,163560.0,166773,2326,4406,6732,22405,22323,37508,26442,44728,63950,14.22108094888726,26.938126681340183,41.15920763022744,273.46539496209346,390.9880166299829,0.345513963161022,0.26819689038393507,0.3834553554832017,1.4297531747451262
2021,9422,93925.0,95588,1596,2514,4110,13266,13159,20932,15340,26425,36272,16.99228107532606,26.766036731434657,43.758317806760715,281.34149587436787,386.1804631354804,0.3883211678832117,0.27644683433066913,0.37946185713687913,1.372639545884579
2022,9241,93032.0,94704,1523,2461,3984,13275,13136,21222,14902,26411,36124,16.370711153151603,26.453263393241034,42.82397454639264,283.89156419296586,388.2965001289879,0.38227911646586343,0.27887945598918734,0.3814411218111167,1.3677634319033736
2023,9770,99379.0,101125,1456,2626,4082,14135,14030,22725,16031,28165,38756,14.65098260195816,26.424093621388824,41.07507622334698,283.4099759506535,389.981786896628,0.35668789808917195,0.27851668726823237,0.3832484548825711,1.3760340848570922
2024,10901,112785.0,114678,1597,2957,4554,15927,15828,25694,18067,31755,43761,14.159684355189077,26.218025446646273,40.37770980183535,281.5533980582524,388.0037238994547,0.35068072024593766,0.2769057709412442,0.381598911735468,1.378082191780822
2025,12119,127958.0,130053,1795,3462,5257,17955,17855,29043,20853,35810,49896,14.028040450772911,27.055752668844466,41.08379311961737,279.8574532268401,389.940449209897,0.34144949591021495,0.2753492806778775,0.3836589698046181,1.3933538117844178
2026,4367,46085.0,46914,602,1195,1797,6472,6493,10853,7331,12965,18184,13.062818704567645,25.93034609959857,38.99316480416622,281.3279809048497,394.57524140175764,0.3350027824151363,0.27635673786076653,0.3876028477639937,1.4025453143077515
