feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
flesch_kincaid_grade,readability,2022-11-30,2023,107,95,12,15.696056665824445,16.110056947815686,15.946947154366605,0.24959104761474962,0.004610605370550185,0.05532726444660223,0.16310979344883592,0.04314365204487934,0.07854823544087242,0.24767135145679942,0.6535081887255836,0.17285736991445586,0.31470774369325016,0.992308633757917,0.00015643771681634445,0.4273282119640064,pretrend_plus_first_post_year_indicator_wls_hac,6,0.001095064017714411
clause_depth_std,syntax,2022-11-30,2023,107,95,12,0.012072250955227416,0.010138513161445043,0.016349511899540554,0.007446845265255998,7.528904962108318e-05,0.0009034685954529982,-0.0062109987380957014,0.0016835094183220056,-0.009510677198006832,-0.0029113202781845702,-0.8340442854471192,0.2260701489497287,-1.2771417773885874,-0.3909467935056508,0.00022485752108517113,0.07533056223459278,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0011242876054258556
sentence_depth_std,syntax,2022-11-30,2023,107,95,12,0.012072250955227416,0.010138513161445043,0.016349511899540554,0.007446845265255998,7.528904962108318e-05,0.0009034685954529982,-0.0062109987380957014,0.0016835094183220056,-0.009510677198006832,-0.0029113202781845702,-0.8340442854471192,0.2260701489497287,-1.2771417773885874,-0.3909467935056508,0.00022485752108517113,0.07533056223459278,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0011242876054258556
word_within_per_1k_words,marker_words,2022-11-30,2023,107,95,12,0.09486607726667937,0.1648375100862813,0.07075419028657952,0.12204178284321994,-0.0004022187944451594,-0.0048266255333419125,0.09408331979970073,0.025379056976736668,0.04434036812529687,0.1438262714741046,0.7709107291603906,0.20795383667362252,0.3633212092800905,1.1785002490406906,0.00020962603702302628,0.05709112037813413,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0025155124442763155
dependency_length_std,syntax,2022-11-30,2023,107,95,12,0.003640827646271529,0.0029365475627680933,0.004968039393832112,0.0023186235361108373,2.18616871188469e-05,0.0002623402454261628,-0.0020314918310640794,0.0006678315996483323,-0.0033404417663748104,-0.0007225418957533482,-0.8761628610359141,0.28802933690931354,-1.4407003613781686,-0.3116253606936596,0.002350725710441441,0.06584704899735194,pretrend_plus_first_post_year_indicator_wls_hac,6,0.007835752368138138
gunning_fog,readability,2022-11-30,2023,107,95,12,19.20350911212503,19.609183191833147,19.190544065850684,0.359317635675089,0.0013181124242540136,0.015817349091048163,0.4186391259821516,0.14196262388197334,0.14039238317348385,0.6968858687908193,1.1650948476147263,0.3950894968326638,0.39071943382270524,1.9394702614067474,0.0031886685003418903,0.19473301171023105,pretrend_plus_first_post_year_indicator_wls_hac,6,0.011160339751196615
hedge_ratio,other,2022-11-30,2023,107,95,12,8.586536683190718e-05,4.335764315292268e-05,0.00010889579114570652,0.00011557091130550421,3.5673038908275403e-07,4.280764668993049e-06,-6.553814799278556e-05,2.659305682547675e-05,-0.00011766053937071998,-1.3415756614851127e-05,-0.567081692550989,0.23010164517245804,-1.0180809170890068,-0.11608246801297123,0.013721090631739239,0.028158215406685283,pretrend_plus_first_post_year_indicator_wls_hac,6,0.027442181263478478
flesch_reading_ease,readability,2022-11-30,2023,107,95,12,-1.121049877258702,-3.3361584603635315,-2.4351736683545093,1.76496281136586,-0.021641379260331894,-0.2596965511239827,-0.900984792009029,0.36432826426966225,-1.615068189977567,-0.186901394040491,-0.510483725893227,0.20642262937411007,-0.9150720794664827,-0.10589537231997129,0.013398311963566103,0.22192468567227563,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0284173465321287
smog_index,readability,2022-11-30,2023,107,95,12,13.372824854593416,13.71323429581864,13.509404346889884,0.2102941820403685,0.0037820550483810113,0.04538466058057214,0.20382994892854134,0.0848050868024537,0.03761197879573208,0.3700479190613506,0.9692609988107693,0.40326882075213255,0.17885411013658956,1.7596678874849492,0.01623848373264497,0.38245782785244264,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0284173465321287
avg_syllables_per_word,readability,2022-11-30,2023,107,95,12,2.235779145780299,2.243849005313159,2.233571994444867,0.018548380072486652,-4.394807212320772e-05,-0.0005273768654784927,0.01027701086825561,0.004872758541438617,0.0007264041270359217,0.019827617609475295,0.5540651435916928,0.26270534259034944,0.03916267211460789,1.0689676150687775,0.03493815005667009,0.02778531773766335,pretrend_plus_first_post_year_indicator_wls_hac,6,0.04891341007933813
