feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
flesch_kincaid_grade,readability,2022-11-30,2023-2024,119,95,24,15.696056665824445,16.147537405755454,15.97762477347928,0.24959104761474962,0.00463803293917299,0.055656395270075876,0.1699126322761761,0.04622536710350587,0.0793109127533046,0.2605143517990476,0.6807641295630151,0.18520442758370062,0.31776345149896196,1.0437648076270682,0.0002371569172356671,0.25183090547886,strict_pretrend_counterfactual_wls_hac,6,0.0016600984206496697
gunning_fog,readability,2022-11-30,2023-2024,119,95,24,19.20350911212503,19.743446001989927,19.19752606343693,0.359317635675089,0.0012923903332918568,0.015508683999502282,0.5459199385529984,0.16475704837939975,0.22299612372937488,0.8688437533766218,1.51932408640984,0.4585275867961583,0.62061001628937,2.41803815653031,0.0009214118909695553,0.00816194985622265,strict_pretrend_counterfactual_wls_hac,6,0.0032249416183934435
smog_index,readability,2022-11-30,2023-2024,119,95,24,13.372824854593416,13.808474622178737,13.532980660186558,0.2102941820403685,0.003774743328209599,0.04529691993851519,0.27549396199217896,0.09909205719674763,0.08127352988655362,0.4697143940978043,1.3100408167226165,0.47120684098490995,0.3864754083921931,2.2336062250530397,0.0054328426594503695,0.1644703164600948,strict_pretrend_counterfactual_wls_hac,6,0.012676632872050862
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.3132037906721681,0.7772821896132328,0.3885631604779399,0.2125959659541944,0.0007746799629639335,0.009296159555567202,0.3887190291352929,0.12374596218991556,0.14617694324305838,0.6312611150275274,1.8284402876160204,0.5820710738066294,0.6875809829550268,2.969299592277014,0.0016821896217971057,0.00816227964479832,strict_pretrend_counterfactual_wls_hac,6,0.015139706596173952
verb_enhance_per_1k_words,verbs,2022-11-30,2023-2024,119,95,24,0.2517678468329314,0.6621272541217644,0.29558851910892814,0.19805445897076462,0.0003668510272350044,0.004402212326820053,0.3665387350128363,0.127466325196082,0.11670473762851558,0.6163727323971571,1.8506967069443365,0.6435923021298786,0.5892557947697744,3.112137619118899,0.0040329475809467484,0.002087166470278845,strict_pretrend_counterfactual_wls_hac,6,0.01814826411426037
flesch_reading_ease,readability,2022-11-30,2023-2024,119,95,24,-1.121049877258702,-3.4920155195826053,-2.583220134812516,1.76496281136586,-0.02184614929103565,-0.2621537914924278,-0.9087953847700888,0.3826495795732161,-1.6587885607335924,-0.15880220880658524,-0.5149090841561671,0.21680319670707016,-0.9398433497020245,-0.08997481861030955,0.01754862301146254,0.10615855765413185,strict_pretrend_counterfactual_wls_hac,6,0.030710090270059442
dale_chall,readability,2022-11-30,2023-2024,119,95,24,15.44989786545758,15.52036990484974,15.461919120570899,0.10166946105678415,1.1076743301544067e-06,1.3292091961852881e-05,0.05845078427884349,0.026457257958261527,0.006594558680650897,0.11030700987703608,0.5749099451426984,0.2602281715989887,0.06486272880868053,1.0849571614767164,0.027157027910839588,7.173828642237368e-08,strict_pretrend_counterfactual_wls_hac,6,0.03801983907517542
summary_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,119,95,24,0.019396875074475607,0.05464555171874602,0.023842116906704278,0.04072638806954671,3.4626027900714986e-05,0.00041551233480857983,0.030803434812041744,0.011768827883134013,0.007736532161099079,0.053870337462984405,0.7563507659810155,0.2889730329887563,0.1899636213230531,1.3227379106389776,0.00886089591914689,0.0004391419763927207,strict_pretrend_counterfactual_wls_hac,6,0.04430447959573445
avg_syllables_per_word,readability,2022-11-30,2023-2024,119,95,24,2.235779145780299,2.2430821919055917,2.233394347310053,0.018548380072486652,-4.2055512667255913e-05,-0.000504666152007071,0.009687844595539024,0.004697303038649597,0.0004811306397858126,0.018894558551292233,0.5223013846858402,0.25324599885772464,0.02593922692469989,1.0186635424469805,0.03916710132329111,0.0033525010781602083,strict_pretrend_counterfactual_wls_hac,6,0.04569495154383963
word_within_per_1k_words,marker_words,2022-11-30,2023-2024,119,95,24,0.09486607726667937,0.1573088102233419,0.06945365535535927,0.12204178284321994,-0.0003787923399111855,-0.004545508078934226,0.08785515486798263,0.030785041403499795,0.027516473717123034,0.14819383601884223,0.7198776748521045,0.25225001377640943,0.2254676478503421,1.214287701853867,0.004319616855308857,0.007555200615170121,strict_pretrend_counterfactual_wls_hac,6,0.05183540226370628
