feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
smog_index,readability,2020-01-01,136,60,76,13.294384668642342,13.711773505156387,0.1591549964347893,-0.0031923471442403765,-0.03830816573088452,0.07423763386612145,0.0628836262617453,-0.04901427360689935,0.19748954133914226,0.23777920487171822,0.01430240100578753,0.17162881206945035,0.0014355857359605734,0.01722702883152688,0.13786383555965767,0.20539378857924304,1.0783752688516566,0.10824057816234078,0.8662237356534686,1.2905268020498444,2.2181006423390567e-23,0.011110053861547153,0.13332064633856583,0.8091614967915399,monthly_segmented_wls_hac,6,2020,6.210681798549359e-22
smog_index,readability,2019-01-01,136,48,88,13.313433199314256,13.64446673799252,0.16513025807600806,-0.004858247375079016,-0.05829896850094819,-0.05605630343153711,0.04794242657063816,-0.1500234595099879,0.03791085264691367,0.24230610433358213,0.01589011308826316,0.19068135705915795,0.0016093906917113024,0.01931268830053563,0.15282848799010812,0.22853422612820778,1.1547329924924414,0.11695426704684347,0.9255026290806283,1.3839633559042548,5.430759186707429e-23,0.011031865713184145,0.13238238855820975,0.816326443667686,monthly_segmented_wls_hac,6,2019,7.603062861390401e-22
smog_index,readability,2021-01-01,136,72,64,13.299083736099085,13.78474746111394,0.1631225069517472,-0.0011726796070880147,-0.014072155285056176,0.2399634603947733,0.041139631644447366,0.15932978237165646,0.3205971384178901,5.447139988015508e-09,0.01050328681444747,0.12603944177336965,0.0012915650691016003,0.015498780829219204,0.0956618313481,0.15641705219863927,0.7726673904702372,0.0950131353351739,0.5864416452132963,0.958893135727178,4.2151099774651375e-16,0.009330607207359455,0.11196728648831347,0.8062941673815758,monthly_segmented_wls_hac,6,2021,3.934102645634128e-15
gunning_fog,readability,2020-01-01,136,60,76,19.16830048292859,19.56472355217493,0.37554974318515744,-0.008730800479548433,-0.10476960575458119,0.041515051050178,0.10172350260047208,-0.15786301404674727,0.24089311614710326,0.6831880660351297,0.02446919109423369,0.2936302931308043,0.0032521844319314554,0.03902621318317746,0.21713891529177648,0.3701216709698321,0.781867910866965,0.10391756056650092,0.5781894921566233,0.9855463295773068,5.315592636800413e-14,0.01573839061468526,0.1888606873762231,0.6934227439806278,monthly_segmented_wls_hac,6,2020,3.720914845760289e-13
gunning_fog,readability,2021-01-01,136,72,64,19.139966001937417,19.670929168773704,0.36020852509568024,-0.006503408241291135,-0.07804089889549362,0.3565668773075046,0.06521664661277597,0.22874224994646367,0.4843915046685455,4.56630056345388e-08,0.019664752869653263,0.23597703443583917,0.0027835973608746445,0.03340316833049573,0.17050682450806753,0.3014472443636108,0.6551122974481458,0.09273286444740038,0.47335588313124105,0.8368687117650505,1.6118312057970464e-12,0.013161344628362128,0.15793613554034552,0.6924688776126728,monthly_segmented_wls_hac,6,2021,9.02625475246346e-12
avg_words_per_sentence,syntax,2019-01-01,136,48,88,9.475307847583855,10.04469730470746,0.21877231449299203,-0.0008790560372201363,-0.010548672446641635,-0.002512050574197733,0.05717382156198017,-0.11457274083567887,0.1095486396872834,0.9649545610179676,0.013868602588216953,0.16642323105860343,0.0019294699097995053,0.023153638917594064,0.12104209878011908,0.2118043633370878,0.7607143136200376,0.10583441040633022,0.5532788692236305,0.9681497580164448,6.585391680475487e-13,0.012989546550996817,0.1558745586119618,0.7490906559190673,monthly_segmented_wls_hac,6,2019,1.5384079276391065e-11
avg_words_per_sentence,syntax,2020-01-01,136,60,76,9.485230610504734,10.12676714299997,0.21642880186639524,0.0009718072987859941,0.011661687585431929,0.11433547022911209,0.06068414126719727,-0.004605446654594558,0.23327638711281873,0.0595503812716854,0.011706326155181513,0.14047591386217817,0.0016334711350918152,0.01960165362110178,0.10205667276481865,0.17889515495953767,0.6490629373298294,0.09056860016811523,0.4715484810003235,0.8265773936593354,7.692039638195533e-13,0.012678133453967507,0.15213760144761007,0.7471372174864505,monthly_segmented_wls_hac,6,2020,1.5384079276391065e-11
smog_index,readability,2018-01-01,136,36,100,13.349983352520722,13.591584658196803,0.1593142354954621,-0.0028952619118847514,-0.03474314294261702,-0.24853275506921257,0.04679305912717036,-0.34024715095846647,-0.15681835917995868,1.0883602081535667e-07,0.013309305825208905,0.15971166990250685,0.0019819800593679016,0.02378376071241482,0.11309549890617382,0.20632784089883988,1.0024946572150866,0.14928835856035147,0.7098894744367978,1.2950998399933753,1.8786477521495558e-11,0.010414043913324154,0.12496852695988984,0.8118849368764062,monthly_segmented_wls_hac,6,2018,8.767022843364594e-11
gunning_fog,readability,2019-01-01,136,48,88,19.22284945466854,19.48091187632864,0.3832662222204186,-0.011692280184050313,-0.14030736220860374,-0.13163346630784678,0.08754929416739587,-0.30323008287594266,0.03996315026024913,0.13270102574706344,0.02654810383280494,0.3185772459936593,0.004572510396064732,0.05487012475277679,0.2110318014782168,0.4261226905091018,0.8312165996471342,0.14316452004273067,0.5506141403633822,1.1118190589308863,6.397390161175185e-09,0.014855823648754627,0.17826988378505554,0.7003444894444261,monthly_segmented_wls_hac,6,2019,2.558956064470074e-08
avg_words_per_sentence,syntax,2018-01-01,136,36,100,9.482385351394658,9.97382266848074,0.2181082170601225,-0.0015040522246815916,-0.0180486266961791,-0.13929625388613764,0.05188055949329828,-0.24098215049300226,-0.03761035727927302,0.007254255800903429,0.014144592025334465,0.16973510430401356,0.002391473365575479,0.028697680386905747,0.1134876507456783,0.22598255786234883,0.778215083282375,0.13157542055829607,0.5203272589881147,1.0361029075766353,3.3269687997392604e-09,0.012640539800652873,0.1516864776078345,0.7495476130281105,monthly_segmented_wls_hac,6,2018,4.4359583996523474e-08
dependency_length,syntax,2020-01-01,136,60,76,1.9330904206125075,1.9921320113766476,0.02370999010543004,0.0002281603840331083,0.0027379246083972996,0.006934669022995152,0.004641743799102848,-0.0021631488232464312,0.016032486869236737,0.1351810370184577,0.0009658139770471329,0.011589767724565596,0.00016518964419109665,0.0019822757302931596,0.007704507293191001,0.01547502815594019,0.4888136887881416,0.08360508467016106,0.3249477228346258,0.6526796547416573,5.014263725529812e-09,0.0011939743610802412,0.014327692332962895,0.7075052212416915,monthly_segmented_wls_hac,6,2020,5.014263725529812e-08
dependency_length,syntax,2019-01-01,136,48,88,1.9312462506814303,1.9850867962348524,0.02368435329941856,4.6031186406372306e-05,0.0005523742368764677,-0.00010227431391340858,0.005757396529073068,-0.011386771510896622,0.011182222883069805,0.98582713487578,0.001145622729654123,0.013747472755849475,0.00022490316516386792,0.0026988379819664152,0.008457750311195302,0.019037195200503648,0.5804453506521104,0.1139502501017273,0.35710286045272494,0.8037878408514959,3.5086652867723357e-07,0.0011916539160604952,0.014299846992725943,0.7089460683557252,monthly_segmented_wls_hac,6,2019,2.8069322294178686e-06
coordination_count,syntax,2019-01-01,136,48,88,0.23398427317957615,0.2518046095766956,0.02437139280897031,-0.0007849528014275886,-0.009419433617131063,0.012342655910496214,0.0045808737602462575,0.0033641433404135498,0.021321168480578877,0.007051780850422118,0.0012987955541981441,0.01558554665037773,0.00027396052391772183,0.0032875262870126617,0.009141995127832913,0.022029098172922548,0.639501680209315,0.13489283574316815,0.3751117221527054,0.9038916382659247,2.1286255800981185e-06,0.0005138427527705556,0.006166113033246667,0.40816697181545014,monthly_segmented_wls_hac,6,2019,1.4190837200654124e-05
avg_words_per_sentence,syntax,2021-01-01,136,72,64,9.524776708498653,10.202565882599666,0.24544092868049613,0.0036553142144281955,0.043863770573138346,0.19122117000778394,0.05961487175547274,0.07437602136705737,0.30806631864851053,0.0013384355790017398,0.007914569339319567,0.0949748320718348,0.001709898348799403,0.020518780185592837,0.05475802290807284,0.13519164123559674,0.3869559677044277,0.0835996681397146,0.22310061815058707,0.5508113172582683,3.6800697802682674e-06,0.011569883553747762,0.13883860264497316,0.7400139946599031,monthly_segmented_wls_hac,6,2021,2.102897017296153e-05
dependency_length,syntax,2021-01-01,136,72,64,1.9378487460185383,1.9978491935631393,0.02586969051214206,0.0005083916468286115,0.006100699761943338,0.0007431264264001619,0.006128095431969061,-0.011267940620259199,0.012754193473059523,0.9034807621533826,0.0008252194311332665,0.009902633173599198,0.00019667388781612587,0.0023600866537935106,0.0052768633321639185,0.01452840301503448,0.3827890082005949,0.09122979854303989,0.20397860305623672,0.5615994133449531,2.718178075368691e-05,0.001333611077961878,0.016003332935542534,0.701318549830162,monthly_segmented_wls_hac,6,2021,0.00013590890376843456
dependency_length,syntax,2018-01-01,136,36,100,1.9317476908344773,1.9784454123133446,0.026126237626553965,-3.915024883734868e-05,-0.00046980298604818414,-0.011266153058147238,0.005816523586685025,-0.02266653928804989,0.0001342331717554112,0.05275486697920464,0.0012051371284475354,0.014461645541370425,0.000290346088395871,0.003484153060750452,0.007632705542299539,0.02129058554044131,0.5535295876920303,0.1333583928368338,0.29214713773183604,0.8149120376522245,3.31471862470958e-05,0.0011659868796101867,0.01399184255532224,0.71074637263347,monthly_segmented_wls_hac,6,2018,0.00014732082776487023
list_of_three_per_1k_words,syntax,2018-01-01,136,36,100,1.6585990902671537,1.7212999435733167,0.46502647621421617,-0.01334749322367322,-0.16016991868407865,0.021909916487836467,0.1308028756277247,-0.2344637197425039,0.27828355271817684,0.8669740321173871,0.018656287998529943,0.2238754559823593,0.004668800394190905,0.056025604730290855,0.11406527071098924,0.3336856412537294,0.48142518207765495,0.12047831165742583,0.24528769122910035,0.7175626729262097,6.443562134012912e-05,0.0053087947748567225,0.06370553729828067,0.10759416916078168,monthly_segmented_wls_hac,6,2018,0.00025774248536051647
flesch_kincaid_grade,readability,2021-01-01,136,72,64,15.641763610184931,16.086839760891564,0.23034296304793608,0.004401584429837818,0.05281901315805382,-0.044663567412161986,0.041381176168435424,-0.12577067270229542,0.036443537877971444,0.28044470867748705,0.005776921622109559,0.06932305946531471,0.0014584051071636433,0.017500861285963717,0.03502137134482582,0.10362474758580359,0.30095583797317077,0.07597740801103466,0.15204011827154285,0.44987155767479864,7.459817483119148e-05,0.010178506051947377,0.12214207262336853,0.6807220024315058,monthly_segmented_wls_hac,6,2021,0.0002610936119091702
