year,topic_id,count,total,pct,topic_label
2015,0,3266,3849,84.85320862561704,"learning, data, models, networks, bayesian, neural, regression"
2015,1,184,3849,4.780462457781242,"data, forecasting, using, learning, model, prediction, time"
2015,2,131,3849,3.4034814237464275,"brain, data, learning, using, health, disease, analysis"
2015,3,137,3849,3.5593660691088593,"language, language models, speech, learning, models, text, neural"
2015,4,56,3849,1.4549233567160302,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2015,5,19,3849,0.4936347103143674,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2015,6,9,3849,0.23382696804364772,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2015,7,15,3849,0.3897116134060795,"arm identification, best arm, arm, best, identification, bandits, optimal"
2015,8,32,3849,0.831384775266303,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2016,0,3955,4828,81.91797845898923,"learning, data, models, networks, bayesian, neural, regression"
2016,1,245,4828,5.074565037282518,"data, forecasting, using, learning, model, prediction, time"
2016,2,257,4828,5.323115161557581,"brain, data, learning, using, health, disease, analysis"
2016,3,191,4828,3.9560894780447393,"language, language models, speech, learning, models, text, neural"
2016,4,69,4828,1.4291632145816073,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2016,5,28,4828,0.579950289975145,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2016,6,33,4828,0.6835128417564209,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2016,7,13,4828,0.26926263463131733,"arm identification, best arm, arm, best, identification, bandits, optimal"
2016,8,37,4828,0.7663628831814415,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2017,-1,1,6685,0.014958863126402395,-1 (outliers)
2017,0,5451,6685,81.54076290201945,"learning, data, models, networks, bayesian, neural, regression"
2017,1,372,6685,5.564697083021691,"data, forecasting, using, learning, model, prediction, time"
2017,2,333,6685,4.981301421091997,"brain, data, learning, using, health, disease, analysis"
2017,3,311,6685,4.652206432311144,"language, language models, speech, learning, models, text, neural"
2017,4,73,6685,1.0919970082273749,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2017,5,24,6685,0.35901271503365745,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2017,6,39,6685,0.5833956619296934,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2017,7,32,6685,0.47868362004487663,"arm identification, best arm, arm, best, identification, bandits, optimal"
2017,8,49,6685,0.7329842931937173,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2018,0,9053,11289,80.19310833554788,"learning, data, models, networks, bayesian, neural, regression"
2018,1,638,11289,5.6515191779608465,"data, forecasting, using, learning, model, prediction, time"
2018,2,606,11289,5.368057401009833,"brain, data, learning, using, health, disease, analysis"
2018,3,665,11289,5.890690052263265,"language, language models, speech, learning, models, text, neural"
2018,4,77,11289,0.6820799007883781,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2018,5,40,11289,0.3543272211887678,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2018,6,113,11289,1.000974399858269,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2018,7,31,11289,0.27460359642129506,"arm identification, best arm, arm, best, identification, bandits, optimal"
2018,8,66,11289,0.5846399149614669,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2019,0,12679,15953,79.47721431705635,"learning, data, models, networks, bayesian, neural, regression"
2019,1,915,15953,5.735598320065192,"data, forecasting, using, learning, model, prediction, time"
2019,2,875,15953,5.484861781483106,"brain, data, learning, using, health, disease, analysis"
2019,3,984,15953,6.1681188491192875,"language, language models, speech, learning, models, text, neural"
2019,4,148,15953,0.9277251927537141,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2019,5,42,15953,0.26327336551118913,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2019,6,190,15953,1.1909985582649032,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2019,7,57,15953,0.35729956747947095,"arm identification, best arm, arm, best, identification, bandits, optimal"
2019,8,63,15953,0.39491004826678366,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2020,0,13609,16831,80.85675242112768,"learning, data, models, networks, bayesian, neural, regression"
2020,1,926,16831,5.501752718198563,"data, forecasting, using, learning, model, prediction, time"
2020,2,698,16831,4.147109500326778,"brain, data, learning, using, health, disease, analysis"
2020,3,700,16831,4.158992335571267,"language, language models, speech, learning, models, text, neural"
2020,4,562,16831,3.3390767037015032,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2020,5,42,16831,0.24953954013427604,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2020,6,168,16831,0.9981581605371042,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2020,7,53,16831,0.3148951339789674,"arm identification, best arm, arm, best, identification, bandits, optimal"
2020,8,73,16831,0.43372348642386077,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2021,0,7781,9422,82.58331564423689,"learning, data, models, networks, bayesian, neural, regression"
2021,1,559,9422,5.9329229462959026,"data, forecasting, using, learning, model, prediction, time"
2021,2,319,9422,3.3856930587985565,"brain, data, learning, using, health, disease, analysis"
2021,3,166,9422,1.761834005518998,"language, language models, speech, learning, models, text, neural"
2021,4,389,9422,4.1286351093186155,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2021,5,51,9422,0.5412863510931861,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2021,6,46,9422,0.48821906177032476,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2021,7,38,9422,0.4033113988537466,"arm identification, best arm, arm, best, identification, bandits, optimal"
2021,8,73,9422,0.7747824241137763,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2022,0,7699,9241,83.31349421058327,"learning, data, models, networks, bayesian, neural, regression"
2022,1,586,9241,6.341305053565631,"data, forecasting, using, learning, model, prediction, time"
2022,2,327,9241,3.5385780759658045,"brain, data, learning, using, health, disease, analysis"
2022,3,165,9241,1.7855210475056813,"language, language models, speech, learning, models, text, neural"
2022,4,275,9241,2.9758684125094685,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2022,5,42,9241,0.45449626663780973,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2022,6,41,9241,0.4436749269559571,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2022,7,32,9241,0.34628286981928363,"arm identification, best arm, arm, best, identification, bandits, optimal"
2022,8,74,9241,0.8007791364570934,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2023,0,8137,9770,83.28556806550665,"learning, data, models, networks, bayesian, neural, regression"
2023,1,599,9770,6.131013306038895,"data, forecasting, using, learning, model, prediction, time"
2023,2,385,9770,3.940634595701126,"brain, data, learning, using, health, disease, analysis"
2023,3,210,9770,2.1494370522006143,"language, language models, speech, learning, models, text, neural"
2023,4,237,9770,2.425793244626407,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2023,5,38,9770,0.3889457523029683,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2023,6,37,9770,0.37871033776867963,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2023,7,50,9770,0.511770726714432,"arm identification, best arm, arm, best, identification, bandits, optimal"
2023,8,77,9770,0.7881269191402251,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2024,0,9032,10901,82.85478396477387,"learning, data, models, networks, bayesian, neural, regression"
2024,1,674,10901,6.1829189982570405,"data, forecasting, using, learning, model, prediction, time"
2024,2,440,10901,4.036326942482341,"brain, data, learning, using, health, disease, analysis"
2024,3,297,10901,2.7245206861755804,"language, language models, speech, learning, models, text, neural"
2024,4,234,10901,2.1465920557746996,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2024,5,45,10901,0.41280616457205754,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2024,6,36,10901,0.3302449316576461,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2024,7,52,10901,0.4770204568388221,"arm identification, best arm, arm, best, identification, bandits, optimal"
2024,8,91,10901,0.8347857994679387,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2025,0,9904,12119,81.72291443188382,"learning, data, models, networks, bayesian, neural, regression"
2025,1,845,12119,6.972522485353577,"data, forecasting, using, learning, model, prediction, time"
2025,2,527,12119,4.34854360920868,"brain, data, learning, using, health, disease, analysis"
2025,3,354,12119,2.921033088538658,"language, language models, speech, learning, models, text, neural"
2025,4,248,12119,2.046373463157026,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2025,5,52,12119,0.42907830679098935,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2025,6,57,12119,0.47033583629012293,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2025,7,44,12119,0.36306625959237565,"arm identification, best arm, arm, best, identification, bandits, optimal"
2025,8,88,12119,0.7261325191847513,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
2026,0,3667,4367,83.97068926036181,"learning, data, models, networks, bayesian, neural, regression"
2026,1,261,4367,5.976643004350813,"data, forecasting, using, learning, model, prediction, time"
2026,2,180,4367,4.12182276162125,"brain, data, learning, using, health, disease, analysis"
2026,3,97,4367,2.221204488207007,"language, language models, speech, learning, models, text, neural"
2026,4,73,4367,1.6716281199908405,"covid, 19, covid 19, epidemic, data, disease, pandemic"
2026,5,17,4367,0.38928326081978476,"hawkes, hawkes processes, processes, hawkes process, process, time, multivariate hawkes"
2026,6,21,4367,0.48087932218914586,"attacks, learning, malware, detection, adversarial, cyber, machine learning"
2026,7,14,4367,0.32058621479276395,"arm identification, best arm, arm, best, identification, bandits, optimal"
2026,8,37,4367,0.8472635676665903,"distribution, weibull, distributions, test, weibull distribution, estimation, based"
