month_ts,paper_count,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean,word_finding_per_1k_words_monthly_mean,word_interplay_per_1k_words_monthly_mean,word_realm_per_1k_words_monthly_mean,word_insight_per_1k_words_monthly_mean,word_notably_per_1k_words_monthly_mean,word_particularly_per_1k_words_monthly_mean,word_meticulously_per_1k_words_monthly_mean,word_while_per_1k_words_monthly_mean,word_within_per_1k_words_monthly_mean,word_across_per_1k_words_monthly_mean,word_additionally_per_1k_words_monthly_mean,verb_delve_per_1k_words_monthly_mean,verb_underscore_per_1k_words_monthly_mean,verb_showcase_per_1k_words_monthly_mean,verb_enhance_per_1k_words_monthly_mean,verb_exhibit_per_1k_words_monthly_mean,verb_garner_per_1k_words_monthly_mean,verb_align_per_1k_words_monthly_mean,verb_foster_per_1k_words_monthly_mean,adjective_crucial_per_1k_words_monthly_mean,adjective_pivotal_per_1k_words_monthly_mean,adjective_comprehensive_per_1k_words_monthly_mean,adjective_intricate_per_1k_words_monthly_mean,adjective_potential_per_1k_words_monthly_mean,phrase_meticulously_delve_per_1k_words_monthly_mean,phrase_intricate_web_per_1k_words_monthly_mean,phrase_comprehensive_chapter_per_1k_words_monthly_mean,phrase_deep_dive_per_1k_words_monthly_mean,phrase_intricate_interplay_per_1k_words_monthly_mean,phrase_essential_insight_per_1k_words_monthly_mean,sequential_marker_additionally_per_1k_words_monthly_mean,sequential_marker_furthermore_per_1k_words_monthly_mean,sequential_marker_moreover_per_1k_words_monthly_mean,sequential_marker_subsequently_per_1k_words_monthly_mean,sequential_marker_further_per_1k_words_monthly_mean,causal_marker_hence_per_1k_words_monthly_mean,causal_marker_thus_per_1k_words_monthly_mean,causal_marker_consequently_per_1k_words_monthly_mean,causal_marker_accordingly_per_1k_words_monthly_mean,causal_marker_thereby_per_1k_words_monthly_mean,contrast_marker_however_per_1k_words_monthly_mean,contrast_marker_nonetheless_per_1k_words_monthly_mean,contrast_marker_nevertheless_per_1k_words_monthly_mean,contrast_marker_conversely_per_1k_words_monthly_mean,contrast_marker_alternatively_per_1k_words_monthly_mean,emphasis_marker_notably_per_1k_words_monthly_mean,emphasis_marker_crucially_per_1k_words_monthly_mean,emphasis_marker_remarkably_per_1k_words_monthly_mean,emphasis_marker_particularly_per_1k_words_monthly_mean,emphasis_marker_importantly_per_1k_words_monthly_mean,summary_marker_overall_per_1k_words_monthly_mean,summary_marker_collectively_per_1k_words_monthly_mean,summary_marker_ultimately_per_1k_words_monthly_mean,summary_marker_in_summary_per_1k_words_monthly_mean,summary_marker_taken_together_per_1k_words_monthly_mean,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,clause_depth_std_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,dependency_length_std_monthly_mean,coordination_count_monthly_mean,coordination_per_sentence_std_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_per_1k_words_monthly_mean,avg_words_per_sentence_monthly_mean,avg_syllables_per_word_monthly_mean,flesch_reading_ease_monthly_mean,flesch_kincaid_grade_monthly_mean,dale_chall_monthly_mean,smog_index_monthly_mean,automated_readability_index_monthly_mean,gunning_fog_monthly_mean,hedge_ratio_monthly_mean,certainty_ratio_monthly_mean,year,month
2015-01-01,271,0.28384899233607724,0.33545790003354575,0.7175071750717507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28384899233607724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33545790003354575,0.0,0.0,0.0,0.0,0.0,0.41000410004100035,0.0,0.0,0.3075030750307503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.347438188058295,5.376383763837638,0.010437000460318046,1.7114531801006228,1.9148035950533293,0.0004744091118326379,0.2767527675276753,0.0,0.010437000460318046,1.9270276237648545,9.568265682656827,2.235517554564241,0.8101667927117737,15.428927430594435,15.316286327627147,13.502656340519717,16.494807698079867,19.312776475770903,0.0,0.0004100041000410004,2015,1
2015-02-01,324,0.0,0.0,0.18155410312273057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18155410312273057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.695154591869418,5.268518518518518,0.02837156838094172,1.7259107668014906,1.946834974048023,0.005162482268583443,0.2839506172839506,0.006547285010986552,0.02837156838094172,1.7603936449252353,9.489197530864198,2.1864916400951904,4.272167163236585,14.912714006417785,15.196107344799584,13.100454970776966,16.444194952892666,18.531560553521913,0.0,0.0,2015,2
2015-03-01,297,1.1428386428386428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259000259000259,0.0,0.0,0.0,0.0,0.5471380471380471,0.3367003367003367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8526826708644891,0.0,11.846541625679755,5.37037037037037,0.01666581639160213,1.7130341546772228,1.963484720754477,0.0028021143051742913,0.2727272727272727,0.0,0.01666581639160213,2.2387481185992617,9.75084175084175,2.206657590801272,1.7171327511810417,15.33931754742902,15.381953558567364,13.33104196158637,16.43277557912972,18.775879832085856,0.00016835016835016836,0.0,2015,3
2015-04-01,258,1.522981755539895,0.0,0.17618040873854826,0.0,0.0,0.0,0.0,0.0,0.0,0.3523608174770965,0.0,0.0,0.0,0.0,0.0,0.0,0.3875968992248062,0.0,0.7830240388379923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17618040873854826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7830240388379923,0.0,11.852164846350894,5.441860465116279,0.0,1.7336554733691922,1.9168459692191289,0.0,0.2441860465116279,0.0,0.0,1.9194306985004659,9.813953488372093,2.206547162457865,2.8412428562288254,15.20576278925436,15.165400237857527,13.42071996623709,16.441467322644364,19.09329650250664,0.0003875968992248062,0.0,2015,4
2015-05-01,291,1.1182021491299843,0.0,0.8591065292096219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272841324387716,0.4909180166912126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8591065292096219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643404705260376,0.3436426116838488,14.76412756885771,5.347079037800687,0.03644880315394575,1.7294888147494452,1.9436164642391702,0.0030778989329998635,0.281786941580756,0.00242992021026305,0.03644880315394575,1.184811751822061,9.47766323024055,2.248984820592813,-0.4862104273021738,15.581348527750169,15.497261759815697,13.470442265310764,16.923358103237337,19.676193993569477,0.0,0.0,2015,5
2015-06-01,410,0.1876172607879925,0.8468834688346882,0.12836970474967907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1876172607879925,0.0,0.0,0.0,0.0,0.0,0.7113821138211381,0.0,0.0,0.13550135501355012,0.0,0.0,0.0,0.0,0.0,0.12836970474967907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12836970474967907,0.0,15.588081854883184,5.126829268292683,0.005173952057462543,1.699211480170471,1.9538570542741427,0.005575738810642785,0.23170731707317074,0.0,0.005173952057462543,1.1437623830019814,9.435365853658537,2.237637729634256,-0.16652137379721427,15.525674750805255,15.556403712848859,13.271044483623134,16.863194075319832,19.302603951377645,0.0,0.0,2015,6
2015-07-01,341,0.8264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659557451346305,0.5598507064782725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26659557451346305,0.0,17.921671062928336,5.12316715542522,0.0,1.7092390581458776,1.927733042865121,0.0,0.2404692082111437,0.0,0.0,1.9909069999634084,9.082111436950147,2.2194435271488513,2.7692757985139944,15.043351498580158,15.371093179697054,13.082565969978862,16.38550679592342,18.91218439278416,0.0,0.0,2015,7
2015-08-01,296,0.33783783783783783,0.0,0.22522522522522523,0.0,0.24131274131274133,0.0,0.0,0.0,0.0,0.33783783783783783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522522522522523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24131274131274133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522522522522523,0.0,17.561118339739284,5.243243243243243,0.007166622782296089,1.6895550794383731,1.9584583456441629,0.0024990106714889606,0.24324324324324326,0.0023888742607653633,0.007166622782296089,2.494138247814719,9.625,2.2437958052736287,-1.6885634390845592,15.778956771134219,15.423762183991563,13.599210138695144,16.87134457499733,19.803689350117203,0.0,0.00022522522522522523,2015,8
2015-09-01,357,0.4001600640256103,0.7603041216486595,0.4022121669180493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20008003201280514,0.0,0.0,0.0,0.0,0.20008003201280514,0.0,0.0,0.0,0.0,0.0,0.5602240896358543,0.0,0.0,0.20008003201280514,0.0,0.0,0.0,0.0,0.0,0.4022121669180493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35014005602240894,0.0,10.35687505039952,5.280112044817927,0.003961382527655728,1.6883055013206383,1.9132965342951813,0.0003301152106379775,0.20448179271708683,0.0,0.003961382527655728,1.7925973808326752,9.42436974789916,2.2363253075207052,1.1358471756062836,15.34022883061635,15.457785998688399,13.453782787084704,16.5469603488382,19.539890201174902,0.0,0.0,2015,9
2015-10-01,299,0.5613115981008958,0.0,0.23889154323936934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572678157962439,0.30404378230465184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23889154323936934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572678157962439,9.505649643829543,5.280936454849498,0.0,1.7059381712842736,1.9072778078693047,0.001300698092483616,0.21739130434782608,0.0023649056226974835,0.0,2.1625189729396737,9.322742474916389,2.205828137204785,1.235267557054418,15.291724958103083,15.325535666978551,13.301845139067355,16.956808991618256,19.107550824588007,0.0,0.0,2015,10
