merge_step,reason,source_cluster_ids,source_topic_ids,merged_abstract_count,merged_abstract_share,hierarchy_distance,hierarchy_parent_id,final_topic_ids,source_topic_count,source_abstract_counts,source_abstract_shares
1,under_threshold_hierarchy,161;211,161;211,412,0.0010230864930233943,0.4032033616944679,6041,7,2,237;175,0.000589;0.000435
2,under_threshold_hierarchy,35;779,35;779,891,0.0022125487021452533,0.4791945439213344,6042,4,2,857;34,0.002128;0.000084
3,under_threshold_hierarchy,47;91,47;91,1022,0.0025378504754124008,0.4926143503250576,6043,7,2,647;375,0.001607;0.000931
4,under_threshold_hierarchy,172;254,172;254,363,0.0009014087305036218,0.5046394900253384,6044,1,2,219;144,0.000544;0.000358
5,under_threshold_hierarchy,156;273,156;273,372,0.0009237577072929678,0.5200902253441781,6045,1,2,245;127,0.000608;0.000315
6,under_threshold_hierarchy,80;454,80;454,493,0.0012242272841275085,0.5329501669142347,6046,2,2,421;72,0.001045;0.000179
7,under_threshold_hierarchy,1034;1251,1034;1251,42,0.00010429522501694798,0.5388252756868958,6047,1,2,23;19,0.000057;0.000047
8,under_threshold_hierarchy,16;373,16;373,1483,0.0036826147309555676,0.5694829926709128,6048,7,2,1393;90,0.003459;0.000223
9,under_threshold_hierarchy,33;797,33;797,924,0.0022944949503728553,0.5763589337673195,6049,2,2,891;33,0.002213;0.000082
10,under_threshold_hierarchy,465;1017,465;1017,94,0.00023342264646650262,0.5823927991703389,6050,1,2,70;24,0.000174;0.000060
11,under_threshold_hierarchy,48;57,48;57,1226,0.0030444272826375767,0.5982855709625265,6051,4,2,640;586,0.001589;0.001455
12,under_threshold_hierarchy,27;455,27;455,1214,0.0030146286469184486,0.6037460155123875,6052,7,2,1142;72,0.002836;0.000179
13,under_threshold_hierarchy,443;1364,443;1364,91,0.00022597298753672062,0.604077734237505,6053,5,2,74;17,0.000184;0.000042
14,under_threshold_hierarchy,4;139,4;139,2882,0.00715663901187724,0.6131728518451778,6054,7,2,2605;277,0.006469;0.000688
15,under_threshold_hierarchy,12;694,12;694,1576,0.00391355415777881,0.6137014543030819,6055,1,2,1535;41,0.003812;0.000102
16,under_threshold_hierarchy,301;411,301;411,197,0.0004891942697223512,0.618131996974985,6056,8,2,115;82,0.000286;0.000204
17,under_threshold_hierarchy,195;1457,195;1457,202,0.0005016103679386546,0.6255313878549432,6057,5,2,186;16,0.000462;0.000040
18,under_threshold_hierarchy,30;549,30;549,969,0.0024062398343195853,0.6273298279917288,6058,6,2,912;57,0.002265;0.000142
19,under_threshold_hierarchy,111;349,111;349,435,0.0010802005448183897,0.632412725247064,6059,5,2,336;99,0.000834;0.000246
20,under_threshold_hierarchy,419;581,419;581,132,0.00032778499291040794,0.6343853972960873,6060,5,2,79;53,0.000196;0.000132
21,under_threshold_hierarchy,856;867,856;867,59,0.0001465099589523793,0.6345953981338508,6061,1,2,30;29,0.000074;0.000072
22,under_threshold_hierarchy,651;811,651;811,77,0.00019120791253107128,0.6372200230597751,6062,3,2,45;32,0.000112;0.000079
23,under_threshold_hierarchy,85;958,85;958,422,0.001047918689456001,0.6382844694791683,6063,1,2,397;25,0.000986;0.000062
24,under_threshold_hierarchy,422;2243,422;2243,90,0.00022348976789345995,0.6449701006130998,6064,1,2,79;11,0.000196;0.000027
25,under_threshold_hierarchy,732;1142,732;1142,58,0.00014402673930911862,0.6450978953469328,6065,5,2,37;21,0.000092;0.000052
26,under_threshold_hierarchy,717;3999,717;3999,46,0.00011422810358999063,0.6455025978070492,6066,2,2,39;7,0.000097;0.000017
27,under_threshold_hierarchy,9;146,9;146,2019,0.005013620459743285,0.6523527612845672,6067,1,2,1756;263,0.004361;0.000653
28,under_threshold_hierarchy,336;2784,336;2784,111,0.00027563738040193393,0.6555829840263744,6068,6,2,102;9,0.000253;0.000022
29,under_threshold_hierarchy,324;1936,324;1936,119,0.00029550313754801927,0.6559929570299075,6069,3,2,107;12,0.000266;0.000030
30,under_threshold_hierarchy,406;1527,406;1527,98,0.00024335552503954526,0.6573761636219632,6070,7,2,83;15,0.000206;0.000037
31,under_threshold_hierarchy,533;759,533;759,95,0.00023590586610976327,0.6624893175690254,6071,1,2,60;35,0.000149;0.000087
32,under_threshold_hierarchy,897;6042,161;211;897,439,0.0010901334233914324,0.6678715033236112,6072,7,3,237;175;27,0.000589;0.000435;0.000067
33,under_threshold_hierarchy,113;470,113;470,397,0.0009858381983744843,0.6734104236985659,6073,2,2,327;70,0.000812;0.000174
34,under_threshold_hierarchy,28;147,28;147,1280,0.0031785211433736525,0.6802658911927484,6074,1,2,1017;263,0.002525;0.000653
35,under_threshold_hierarchy,56;5100,56;5100,592,0.0014700660288103143,0.6838957917099142,6075,5,2,586;6,0.001455;0.000015
36,under_threshold_hierarchy,453;473,453;473,141,0.0003501339696997539,0.6866695314136935,6076,1,2,72;69,0.000179;0.000171
