topic_id,abstract_count,abstract_share,topic_label
9,127064,0.3155278207512733,"speech, token, multilingual, question answering, rag, instruction, speaker"
0,118389,0.293985890345987,"protein, drug, quantization, vision language, token, vlms, ood"
1,63203,0.15694693111300387,"speech, multilingual, sentiment, news, asr, lingual, speaker"
2,30467,0.07565625287122271,"robotic, imitation, imitation learning, mdps, embodied, manipulation tasks, locomotion"
3,26252,0.065189482074879,"unlearning, adversarial examples, malware, differentially private, jailbreak, defenses, poisoning"
4,16767,0.04163614375855159,"agentic, gui, ontology, governance, bug, argumentation, llm agents"
5,9111,0.02262461416974793,"autonomous driving, radio, uav, trajectory prediction, autonomous vehicles, mimo, pedestrian"
6,4502,0.011179454833959518,"community detection, rank matrix, tensor completion, homology, rank tensor, nonconvex, dictionary learning"
7,3488,0.008661470115693203,"causal discovery, treatment effect, treatment effects, causal effect, causal effects, effect estimation, causal models"
8,3460,0.008591939965681904,"quantum machine, quantum circuits, qubit, qml, variational quantum, quantum computing, qubits"
