feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
summary_marker_collectively_per_1k_words,88.03581256674242,9.026301415805723e-05,3.376075446733573,0.001110826273589927,0.0042777551065811496,2026.0,0.006950252090170406
contrast_marker_conversely_per_1k_words,177.99396582945428,0.0002392444442935653,4.00361302695716,0.001517158416232069,0.0014789270429297122,2026.0,0.018421822210604528
word_notably_per_1k_words,265.1011694806831,0.0007982411017389698,6.735551104550787,0.012235895821594156,0.0002456809069610262,2026.0,0.06146456483390067
emphasis_marker_notably_per_1k_words,265.1011694806831,0.0007982411017389698,6.735551104550787,0.012235895821594156,0.0002456809069610262,2026.0,0.06146456483390067
summary_marker_ultimately_per_1k_words,97.47993890855209,0.0009424002301577681,4.679341084503932,0.002539821495092977,0.011241028786665788,2026.0,0.07256481772214814
word_within_per_1k_words,73.19158231474745,0.004460411425289195,5.546552543023153,0.03459028497505462,0.0015286427520872837,2026.0,0.34345167974726803
coordination_count,22.543566612594557,0.0044909223729572385,3.2185578310190053,0.18833259931779392,4.760419507293516e-07,2019.0,0.34580102271770735
causal_marker_thereby_per_1k_words,149.90893554571278,0.00633852697546044,5.364718624290409,0.015426146173398126,0.0012205267990162832,2026.0,0.4880665771104539
adjective_comprehensive_per_1k_words,277.3406363614342,0.007178019758252982,4.476154532064401,0.04461419502581911,0.0005731067051861544,2026.0,0.5527075213854796
word_finding_per_1k_words,254.78816917429896,0.007218873062578735,5.242290111289987,0.05455407777798057,0.00015924332783721887,2026.0,0.5558532258185627
emphasis_marker_remarkably_per_1k_words,52.66866220722276,0.0074694127674456495,2.0475209244298673,0.0017429172666042125,0.0012029048724348968,2026.0,0.575144783093315
certainty_ratio,50.590574973648074,0.007974211553203265,4.794286870578867,0.00014643502948800952,0.0002449962763974102,2026.0,0.6140142895966514
summary_marker_overall_per_1k_words,51.85315386116022,0.011281028556582967,2.462269590810896,0.014910433371671142,1.2873436846173872e-05,2026.0,0.8686391988568885
verb_exhibit_per_1k_words,155.30449988058976,0.013226742003251747,4.667046955690738,0.03213993542312965,0.00028826141012263,2026.0,1.0
