feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
marker_phrases_total_per_1k_words,75.0895660501571,6.791094684729811e-05,4.519383192666554,0.0005068183443171782,0.0005055494943108688,2026.0,0.005704519535173041
summary_marker_ultimately_per_1k_words,41.55985554577108,0.00016874903648343703,5.501243083610089,0.0032001493993293155,0.008091104760509123,2026.0,0.01417491906460871
contrast_marker_conversely_per_1k_words,51.73552048447254,0.0002065602298868519,2.956846048434156,0.0017623571716058343,0.0005218887582644074,2026.0,0.017351059310495562
word_notably_per_1k_words,61.65154387598662,0.0017595038818362977,6.407849107725158,0.015538346807453727,0.00011111762277319418,2026.0,0.147798326074249
emphasis_marker_notably_per_1k_words,61.65154387598662,0.0017595038818362977,6.407849107725158,0.015538346807453727,0.00011111762277319418,2026.0,0.147798326074249
dependency_entropy,0.4528822419029239,0.0020997436469536446,1.9888105659953939,0.004551542214970711,1.6795127555735014e-06,2026.0,0.17637846634410614
coordination_count,10.759682207930233,0.0023814009962258606,3.159679007062941,0.19655349318491125,6.04602636108595e-07,2019.0,0.20003768368297228
certainty_ratio,26.685872971554936,0.003282917437711649,4.36676666880355,0.00020170702045930767,1.998591286508953e-05,2026.0,0.2757650647677785
summary_markers_total_per_1k_words,24.62249282975775,0.004040504315045153,4.873862200669269,0.021303329064965227,4.259409784266471e-05,2026.0,0.3394023624637928
word_finding_per_1k_words,59.5397546338074,0.005303591611895085,5.579440884849406,0.07409770253471167,0.0001238626074027207,2026.0,0.4455016953991871
marker_verbs_total_per_1k_words,61.32596050271477,0.006978544720742192,5.254353145855457,0.2644307328764751,0.00043366258434491466,2019.0,0.5861977565423442
word_insight_per_1k_words,43.141530371494156,0.007752858276075519,4.46116870592867,0.042734816718512765,0.00037773462739023114,2026.0,0.6512400951903435
emphasis_markers_total_per_1k_words,43.18538672770798,0.008165439394590603,4.922835247716219,0.05215172949401058,0.0005728078233146612,2026.0,0.6858969091456106
causal_marker_thereby_per_1k_words,53.1707027866489,0.008519859583206972,4.686601572914603,0.019122999589501737,0.0006138618936664007,2026.0,0.7156682049893857
verb_exhibit_per_1k_words,54.9176194830086,0.009031338189170146,5.355328635415978,0.041952371358599756,0.0003725849754481587,2026.0,0.7586324078902923
word_within_per_1k_words,26.116955403931428,0.009391871929773886,4.289138844260682,0.029293716259796734,0.014489830444696736,2026.0,0.7889172421010064
phrase_deep_dive_per_1k_words,63.515417093655785,0.011208922186700204,2.3864813738998802,0.0003269107683936118,0.0018107359007073106,2026.0,0.9415494636828171
adjective_comprehensive_per_1k_words,51.75220492409834,0.013277178885975469,3.2686274771660977,0.050924930889650014,0.0006580472284895095,2026.0,1.0
summary_marker_overall_per_1k_words,22.47062323193437,0.013583815664884369,3.290918571765621,0.017071297672343392,1.737473889248943e-05,2026.0,1.0
colon_per_1k_words,26.941563074666202,0.01509462481015278,3.051582967589587,0.39281004643620604,1.3144291607515204e-06,2019.0,1.0
adjective_pivotal_per_1k_words,76.10050922651094,0.01561216094030785,4.2396980366548505,0.006079807213134755,0.004381563131005065,2026.0,1.0
word_particularly_per_1k_words,45.6346278507226,0.016810547756685404,4.064558195829105,0.03105847351150204,0.0022318613074659957,2026.0,1.0
emphasis_marker_particularly_per_1k_words,45.6346278507226,0.016810547756685404,4.064558195829105,0.03105847351150204,0.0022318613074659957,2026.0,1.0
marker_words_total_per_1k_words,44.94641136975824,0.01916028158166617,3.939585190226079,0.6373021860420203,0.00014967229049943963,2019.0,1.0
verb_underscore_per_1k_words,96.86380990930184,0.019855192551107397,4.146362246426437,0.017128859369769774,0.004390733615355436,2026.0,1.0
verb_enhance_per_1k_words,62.39635463581306,0.02086421651495792,3.6690617990199255,0.13161206669692452,0.0016733071581837315,2019.0,1.0
verb_align_per_1k_words,57.3661901885651,0.02203680449785781,3.75592417689024,0.05495207171250996,0.00030603588740093785,2026.0,1.0
causal_marker_hence_per_1k_words,-36.15729786215496,0.02296700299979821,-2.903431687173727,-0.007928819858721181,0.0019828395965018003,2026.0,1.0
list_of_three,18.532763824247663,0.023142486003951687,3.15475924511815,0.03391285792642387,0.00010778399651888798,2026.0,1.0
marker_adjectives_total_per_1k_words,44.990880605174915,0.025476098145253114,3.147712138546078,0.13928142039238744,0.003336389889968631,2019.0,1.0
adjective_potential_per_1k_words,42.08602043306152,0.02619309401793456,3.259912912394087,0.05464380425645675,0.006080476799429359,2026.0,1.0
sequential_marker_furthermore_per_1k_words,17.582264256848905,0.02627731836950777,2.0126310529382643,0.0198025010400443,0.001393916728232964,2026.0,1.0
phrase_intricate_interplay_per_1k_words,100.0,0.027538346404958232,3.6751565428672786,0.0001612404776528876,0.016539011535470455,2026.0,1.0
sequential_marker_subsequently_per_1k_words,45.63099767719441,0.029155972137802803,3.2687185781262156,0.00526937615923183,0.011992269078514497,2026.0,1.0
verb_foster_per_1k_words,58.64955478495176,0.030934932641962072,3.379325674325113,0.006518851321239031,0.006177275303867213,2026.0,1.0
contrast_marker_however_per_1k_words,12.342018096746767,0.03626073717581963,1.408974477975116,0.07495630009195013,0.0015520409857531212,2026.0,1.0
emphasis_marker_remarkably_per_1k_words,20.168040987424334,0.03798848270230772,1.7266578803919876,0.0014200326174126155,0.03597694680398175,2026.0,1.0
summary_marker_in_summary_per_1k_words,36.848022093062006,0.03835615359679289,1.9106800296316895,0.00038186000741930923,0.20275126742806845,2026.0,1.0
contrast_markers_total_per_1k_words,12.195906968227918,0.04571490983803274,1.377291045443586,0.07752718342049354,0.0021976763782032543,2026.0,1.0
list_of_three_per_1k_words,12.780627069025257,0.04581086746897443,2.7390702493853762,0.12174588643027544,0.0018966362531963588,2024.0,1.0
causal_marker_thus_per_1k_words,-23.96547610340391,0.04643068555769735,-2.5890078840181014,-0.018612515283906245,0.01248294290537293,2026.0,1.0
verb_garner_per_1k_words,65.98897759560033,0.05258073647033803,2.5566845936457003,0.002384415109332028,0.025207972336861267,2026.0,1.0
summary_marker_taken_together_per_1k_words,50.862766538623504,0.05343401173771091,2.173888057627076,0.0010490938685412928,0.005769507565710762,2026.0,1.0
word_across_per_1k_words,56.69779900699086,0.05407839600890845,2.73391268007643,0.23729237829675373,0.0006844224819183807,2024.0,1.0
adjective_intricate_per_1k_words,70.83405111073023,0.05851557975000546,2.676515466779498,0.003923071237893517,0.061391284222253865,2026.0,1.0
dependency_length_std,2.0732868872970447,0.06309887499597314,1.8188734051199331,0.004392291806446232,0.0010353563487333407,2026.0,1.0
word_while_per_1k_words,36.498734090297326,0.0641892967415407,2.4926290377273315,0.18001733857196464,0.0005275989188814176,2024.0,1.0
word_meticulously_per_1k_words,90.86919359412154,0.06748466497296174,2.511616480883868,0.0016498840217116708,0.03675037593499336,2026.0,1.0
adjective_crucial_per_1k_words,34.585044210433615,0.07034914983219931,2.1380593696768853,0.02370980679525242,0.010690202763903853,2026.0,1.0
dependency_length,1.546983154846542,0.0735148360939563,2.1119019282367844,0.017212120416452044,0.00015360481840478088,2026.0,1.0
contrast_marker_alternatively_per_1k_words,-33.55852725460404,0.07887868400838446,-1.2362935680866645,-0.0006593300159432143,0.021661718593585497,2026.0,1.0
causal_marker_consequently_per_1k_words,16.970265246262148,0.07913500997549047,1.6515080637673163,0.002439250075616093,0.037808827111678774,2026.0,1.0
sequential_marker_additionally_per_1k_words,39.92800756259337,0.08385871327374263,2.1377478542978823,0.023781196967957215,0.022673724816697376,2026.0,1.0
word_additionally_per_1k_words,39.92800756259337,0.08385871327374263,2.1377478542978823,0.023781196967957215,0.022673724816697376,2026.0,1.0
emphasis_marker_importantly_per_1k_words,-7.4180560414222585,0.0949483983993128,-0.8200953822789434,-0.0010160045215731285,0.2037656674148366,2026.0,1.0
word_interplay_per_1k_words,24.92757718951119,0.09568142129350564,0.8176333989129722,0.00024617233431277377,0.8582543007590917,2026.0,1.0
coordination_per_sentence_std,1.8147196336165252,0.09638560509599797,1.804812172057884,0.0044634082188823665,0.0035542298482653116,2026.0,1.0
sequential_markers_total_per_1k_words,16.829104433717266,0.11378666223621106,1.710269734047695,0.05401168033235069,0.02383127854354764,2026.0,1.0
sentence_depth_std,-2.1112960557087113,0.12498295793999448,-1.7606311289994954,-0.014629255603362755,0.0022478993064022805,2026.0,1.0
clause_depth_std,-2.1112960557087113,0.12498295793999448,-1.7606311289994954,-0.014629255603362755,0.0022478993064022805,2026.0,1.0
verb_showcase_per_1k_words,51.78758564272214,0.13781220931173202,1.74412506514262,0.006975302719703643,0.05848976408914839,2026.0,1.0
verb_delve_per_1k_words,80.14870177236565,0.14089772372643652,1.7698768643997382,0.00290679458839645,0.10865208000064867,2026.0,1.0
emphasis_marker_crucially_per_1k_words,66.91791278910424,0.14805823315490999,1.7135360611445585,0.005150881079215321,0.009277512953503894,2026.0,1.0
word_realm_per_1k_words,52.27235461719168,0.19310885901233074,1.49407958436784,0.001592160017343174,0.1459392229864831,2026.0,1.0
clause_depth,-0.8748155708466115,0.21833271994529638,-1.3839283371085116,-0.030590688869240937,0.020068196938630437,2026.0,1.0
sequential_marker_further_per_1k_words,9.427333830305553,0.25515408403412726,1.0376871314466563,0.0045963772909346275,0.2525738019769336,2026.0,1.0
hedge_ratio,4.020255723532542,0.2603544809136005,0.9245198998622175,1.9369520917966393e-05,0.14640926114751815,2026.0,1.0
em_dash_per_1k_words,17.032374342522402,0.2792499272040604,1.134464746706073,0.03320573943827086,0.03149665571268162,2026.0,1.0
phrase_intricate_web_per_1k_words,100.0,0.3910022189557704,0.9128709291752768,1.8667098270678825e-05,0.2062557566199836,2026.0,1.0
contrast_marker_nonetheless_per_1k_words,16.24345842969403,0.3992744132517773,0.5914027085232407,0.001190929469819011,0.13820508803026924,2026.0,1.0
causal_markers_total_per_1k_words,-3.75813832504003,0.47029766539895557,-0.623227828957067,-0.004354187018073133,0.5294273881902272,2026.0,1.0
semicolon_per_1k_words,7.458932330719819,0.47084641364653496,0.7384831256472955,0.01562001812406077,0.21331558918218543,2026.0,1.0
causal_marker_accordingly_per_1k_words,-5.507787096415123,0.5118911449148426,-0.32289037817802263,0.0006248984594364563,0.4781939622117003,2026.0,1.0
sequential_marker_moreover_per_1k_words,-2.236306741888276,0.7305883937870624,-0.28022334290003353,0.000562228874182714,0.8936605388638645,2026.0,1.0
summary_marker_collectively_per_1k_words,-1.4712170065671692,0.8129515002935989,-0.11095802740291903,-0.0003990718826680831,0.1673243214797143,2026.0,1.0
contrast_marker_nevertheless_per_1k_words,1.06919569742225,0.9348532044406804,0.0717645610179103,0.000276926703061785,0.8174686855597904,2026.0,1.0
phrase_meticulously_delve_per_1k_words,0.0,,0.0,0.0,1.0,2026.0,
phrase_comprehensive_chapter_per_1k_words,0.0,,0.0,0.0,1.0,2026.0,
phrase_essential_insight_per_1k_words,0.0,,0.0,0.0,1.0,2026.0,
avg_words_per_sentence,,,,,,,
avg_syllables_per_word,,,,,,,
flesch_reading_ease,,,,,,,
flesch_kincaid_grade,,,,,,,
dale_chall,,,,,,,
