feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
word_notably_per_1k_words,53.02227467276503,0.00012854032265931852,4.9727066148149355,0.011763845227724142,8.697792837560684e-05,2026.0,0.004052753537292831,0.28979607291013054,0.04211427138919454,0.08809925882700997,0.008126363609350535,0.2771889756099042,0.012179117146643366,0.8843000951716136,0.010797387103382756
emphasis_marker_notably_per_1k_words,53.02227467276503,0.00012854032265931852,4.9727066148149355,0.011763845227724142,8.697792837560684e-05,2026.0,0.004052753537292831,0.28979607291013054,0.04211427138919454,0.08809925882700997,0.008126363609350535,0.2771889756099042,0.012179117146643366,0.8843000951716136,0.010797387103382756
summary_markers_total_per_1k_words,22.19973291565644,0.00017492441095022266,2.9249131254663028,0.015915549276158358,2.655144399889927e-09,2026.0,0.014454630001292648,7.41476886043646e-05,0.01102979805864622,0.37743313184091387,0.00035311089509976196,0.9281192916115282,0.01480774089639241,0.9771816897344028,0.014693650519818703
word_finding_per_1k_words,42.648835502996484,0.0004964653453418149,5.622593170499373,0.03546441047150985,7.128589862642014e-05,2026.0,0.009424023880566311,0.33919153355498777,0.12417966847630296,0.05828395669380049,0.034458468537102924,0.09303582493173601,0.043882492417669235,0.9135546903876018,0.04170308900871245
summary_marker_overall_per_1k_words,19.382041237052217,0.0029509654709286163,2.1476516519170286,0.012154153680591303,2.8035530165129496e-08,2026.0,0.012047079750913509,0.0002468342445995919,0.006697960256970816,0.5827541953751822,-0.002264505167845835,0.5636747877627664,0.009782574583067674,0.9621560362388752,0.24788109955800378
verb_exhibit_per_1k_words,36.314533343143516,0.00456568573338151,4.461847935780966,0.028687137647085924,7.386745421534244e-05,2026.0,0.008468949611216175,0.13898984113474544,0.030460428718624307,0.35849622384397173,0.05240318636785451,0.0008070000619053719,0.06087213597907068,0.9592414992305878,0.38351760160404685
word_within_per_1k_words,30.4778682839591,0.005286035524857978,5.870155134255595,0.03608722916784849,0.0013364005818066397,2026.0,0.0009147707302040037,0.9449492252746476,0.07598309074276577,0.3578548420164349,0.08222127707966144,0.011102306413590446,0.08313604780986544,0.8692659353115142,0.4440269840880702
contrast_marker_alternatively_per_1k_words,-34.0651315798482,0.007100988280194003,-1.5584028711932165,-0.000732529493074758,0.08522742145653221,2026.0,0.0006545386506305576,0.43689462906946086,-0.0067064839273928345,0.2043080281717431,-0.001799717240455239,0.2817368849755555,-0.0011451785898246815,0.5007957519447461,0.5964830155362962
certainty_ratio,13.638716682157085,0.007113651266981096,4.0684944882987075,0.00011177886800128653,0.00039853655394251876,2026.0,4.3190428426160364e-05,0.3241133958381366,7.511300685259241e-05,0.7709362539296458,0.000188748205318282,0.046288768334347585,0.00023193863374444234,0.8452634697269704,0.597546706426412
emphasis_markers_total_per_1k_words,37.426806294246276,0.007311830115079182,4.464300016271425,0.04532581345251088,0.0001377123957188972,2026.0,0.01549261651876609,0.2936861625871925,0.07508797381923171,0.39547529872448983,0.06560239154864343,0.04049260264459176,0.08109500806740952,0.8868508323263278,0.6141937296666513
