dataset_a,dataset_b,feature_set,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
arxiv_ai_abstracts,arxiv_stat_abstracts,all,82,0.9466438490790253,4.276409804611693e-41,0.8902439024390244,0.5691400384074202
arxiv_ai_abstracts,arxiv_qbio_abstracts,all,82,0.9363990633491556,3.937052112661495e-38,0.9878048780487805,0.6380398583292048
arxiv_qbio_abstracts,arxiv_stat_abstracts,all,82,0.9348101206186821,1.0239870099698326e-37,0.8780487804878049,0.25309078793028317
arxiv_stat_abstracts,medarxiv_abstracts,all,82,0.7448804850482978,1.0307976111276835e-15,0.6829268292682927,0.5944004211454096
arxiv_ai_abstracts,medarxiv_abstracts,all,82,0.7425574894349418,1.4086179551663068e-15,0.7195121951219512,0.8216680105477696
arxiv_qbio_abstracts,medarxiv_abstracts,all,83,0.6850419295761444,9.159606297020232e-13,0.7228915662650602,0.5273588680492765
arxiv_ai_titles,arxiv_stat_titles,all,50,0.6398032213097344,5.665031618999827e-07,0.74,0.1263349312942448
arxiv_ai_titles,arxiv_qbio_titles,all,52,0.6314805589219963,5.178020899265504e-07,0.6923076923076923,0.13350845316471543
arxiv_qbio_abstracts,arxiv_qbio_titles,all,53,0.5919887916293245,3.0285646639509625e-06,0.5094339622641509,0.7458091112633186
arxiv_qbio_titles,arxiv_stat_titles,all,49,0.5713992176111256,1.802568240945283e-05,0.673469387755102,0.1386847120075062
arxiv_ai_abstracts,arxiv_qbio_titles,all,53,0.5569775952491177,1.4810629166231311e-05,0.5283018867924528,1.5506486770063865
arxiv_qbio_titles,arxiv_stat_abstracts,all,53,0.512193016197883,8.835841255154473e-05,0.5660377358490566,0.8440735137909247
arxiv_ai_abstracts,arxiv_ai_titles,all,57,0.49216276650139845,0.00010086858014570181,0.7368421052631579,1.5988746382989634
arxiv_ai_titles,arxiv_qbio_abstracts,all,57,0.46098247809630777,0.0003077101851528669,0.7192982456140351,0.6246268967973877
arxiv_ai_titles,arxiv_stat_abstracts,all,57,0.45671555004021896,0.000355546160606072,0.6666666666666666,0.8775373241016646
medarxiv_abstracts,medarxiv_titles,all,55,0.44942949757503664,0.0005771575241651217,0.6,0.8952379088911323
arxiv_qbio_abstracts,arxiv_stat_titles,all,50,0.4025202868263616,0.003756212437922895,0.6,0.8489494365915599
arxiv_stat_abstracts,arxiv_stat_titles,all,50,0.33888680855839415,0.016066827641644233,0.6,1.0547495239131173
arxiv_ai_abstracts,arxiv_stat_titles,all,50,0.33727284929215556,0.016611102945052126,0.58,1.587642435396197
arxiv_qbio_titles,medarxiv_titles,all,48,0.2552294609931938,0.07998105825330118,0.4166666666666667,0.3534287143090611
arxiv_ai_titles,medarxiv_abstracts,all,57,0.24884964651695268,0.06195294337309347,0.5263157894736842,0.5522271233601621
arxiv_stat_abstracts,medarxiv_titles,all,55,0.22997203485355755,0.09120669305935471,0.5272727272727272,0.825156482061177
arxiv_ai_titles,medarxiv_titles,all,48,0.19746186730618115,0.1785337182967944,0.4791666666666667,0.454973087688954
arxiv_qbio_abstracts,medarxiv_titles,all,55,0.16777820365032745,0.22080201029465316,0.4727272727272727,0.6573696330471943
arxiv_ai_abstracts,medarxiv_titles,all,55,0.16714863166117552,0.2225642443248283,0.45454545454545453,1.418423871280889
arxiv_qbio_titles,medarxiv_abstracts,all,53,0.11629617004671003,0.40694623457753965,0.49056603773584906,0.5686141514588358
arxiv_stat_titles,medarxiv_abstracts,all,50,0.1115619674395627,0.44051605498873553,0.6,0.6777998042139686
arxiv_stat_titles,medarxiv_titles,all,48,0.0836821137488889,0.5717489790864072,0.4583333333333333,0.3877765229916317
