dataset_a,dataset_b,n_bigrams,pearson_r,pearson_p,same_direction_share,median_abs_difference
arxiv_qbio_abstracts,arxiv_stat_abstracts,899,0.9774063985809794,0.0,0.6863181312569522,3.2525869546353415e-06
arxiv_ai_abstracts,arxiv_qbio_abstracts,908,0.97502314230684,0.0,0.7158590308370044,3.004487997212974e-06
arxiv_ai_abstracts,arxiv_stat_abstracts,1062,0.9673729272510726,0.0,0.7269303201506592,1.4839225317897564e-06
arxiv_qbio_abstracts,medarxiv_abstracts,900,0.9296723282252666,0.0,0.6233333333333333,4.200282141209699e-06
arxiv_stat_abstracts,medarxiv_abstracts,1018,0.9217230781991379,0.0,0.6100196463654224,3.207997022114373e-06
arxiv_ai_abstracts,medarxiv_abstracts,1093,0.8816467024979828,0.0,0.6047575480329369,2.441725056066028e-06
medarxiv_abstracts,medarxiv_titles,432,0.7501142698980243,3.039053568816743e-79,0.5138888888888888,3.151581143355266e-05
arxiv_qbio_abstracts,medarxiv_titles,432,0.6655570891001732,1.333641913714033e-56,0.5300925925925926,4.3619132971403654e-05
arxiv_stat_abstracts,medarxiv_titles,433,0.662752982708029,4.197811274341747e-56,0.49191685912240185,3.650119130551465e-05
arxiv_ai_abstracts,medarxiv_titles,433,0.6334482360902027,5.978924378481702e-50,0.5288683602771362,3.866221489693401e-05
