dataset,dependency_bigram,head_dep,child_dep,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_ai_abstracts,ROOT->acl,ROOT,acl,2.3435312951944238e-05,3.943427644416916e-06,1.5706194768887083e-05,3.116443113500139e-05
arxiv_ai_abstracts,ROOT->acomp,ROOT,acomp,-0.00020103535692896795,2.4167572537272645e-05,-0.0002484037991020223,-0.00015366691475591357
arxiv_ai_abstracts,ROOT->advcl,ROOT,advcl,0.0006417814695356798,0.00021241910576679285,0.0002254400222327658,0.0010581229168385936
arxiv_ai_abstracts,ROOT->advmod,ROOT,advmod,-0.0012008029583207506,9.341829049301779e-05,-0.0013839028076870655,-0.0010177031089544358
arxiv_ai_abstracts,ROOT->agent,ROOT,agent,1.281686625666363e-05,9.00406053347314e-06,-4.831092388943726e-06,3.0464824902270987e-05
arxiv_ai_abstracts,ROOT->amod,ROOT,amod,4.3188115464727454e-05,9.427661106137243e-06,2.470989969669846e-05,6.166633123275645e-05
arxiv_ai_abstracts,ROOT->appos,ROOT,appos,4.351306990491427e-05,4.241802434608937e-06,3.5199137133080756e-05,5.1827002676747784e-05
arxiv_ai_abstracts,ROOT->attr,ROOT,attr,-0.0003303298053881147,2.507071260800277e-05,-0.0003794684020998001,-0.00028119120867642924
arxiv_ai_abstracts,ROOT->aux,ROOT,aux,-0.0010280051304680715,5.230668762313684e-05,-0.0011305262382094196,-0.0009254840227267232
arxiv_ai_abstracts,ROOT->auxpass,ROOT,auxpass,-0.0004837974094122638,6.800865145266073e-05,-0.0006170943662594788,-0.0003505004525650488
arxiv_ai_abstracts,ROOT->case,ROOT,case,1.3243467363330995e-07,1.7857652226073912e-07,-2.1757530999773874e-07,4.824446572643587e-07
arxiv_ai_abstracts,ROOT->cc,ROOT,cc,0.00026743074617168296,9.989645294919026e-05,7.163369839127006e-05,0.0004632277939520959
arxiv_ai_abstracts,ROOT->ccomp,ROOT,ccomp,0.0003718605564368235,0.00011971233904419854,0.00013722437191019435,0.0006064967409634527
arxiv_ai_abstracts,ROOT->compound,ROOT,compound,7.504038290480561e-05,7.5825154645444745e-06,6.0178652594298444e-05,8.990211321531278e-05
arxiv_ai_abstracts,ROOT->conj,ROOT,conj,0.0004340523429893294,0.00012311113781381182,0.00019275451287425826,0.0006753501731044005
arxiv_ai_abstracts,ROOT->csubj,ROOT,csubj,-6.11134410165516e-05,1.649013093599069e-05,-9.343409765109336e-05,-2.879278438200985e-05
arxiv_ai_abstracts,ROOT->csubjpass,ROOT,csubjpass,-4.6193049610206656e-06,2.467374444821326e-06,-9.455358872870464e-06,2.1674895082913332e-07
arxiv_ai_abstracts,ROOT->dative,ROOT,dative,-5.071793011697956e-07,7.053573279544413e-07,-1.8896796639605005e-06,8.753210616209094e-07
arxiv_ai_abstracts,ROOT->dep,ROOT,dep,4.712557975216203e-05,6.666595139856115e-06,3.4059053278044046e-05,6.019210622628001e-05
arxiv_ai_abstracts,ROOT->det,ROOT,det,3.2156549971945055e-06,2.892749247133916e-06,-2.4541335271879703e-06,8.885443521576982e-06
arxiv_ai_abstracts,ROOT->dobj,ROOT,dobj,0.0008440465179100983,0.0001881297948710834,0.00047531211996277477,0.0012127809158574217
arxiv_ai_abstracts,ROOT->expl,ROOT,expl,-9.52905503137818e-05,8.13252588466275e-06,-0.00011123030104772079,-7.935079957984281e-05
arxiv_ai_abstracts,ROOT->intj,ROOT,intj,5.839167285613899e-08,1.2203904343559633e-06,-2.333573578481549e-06,2.450356924193827e-06
arxiv_ai_abstracts,ROOT->mark,ROOT,mark,5.6462894818290105e-06,2.015670119900992e-06,1.6955760468230662e-06,9.597002916834956e-06
arxiv_ai_abstracts,ROOT->meta,ROOT,meta,-9.628443221215976e-06,4.256631755450272e-06,-1.797144146189851e-05,-1.285444980533444e-06
arxiv_ai_abstracts,ROOT->neg,ROOT,neg,-8.34296746453928e-05,1.568811221828791e-05,-0.00011417837459323712,-5.26809746975485e-05
arxiv_ai_abstracts,ROOT->nmod,ROOT,nmod,1.3517712586612897e-05,2.2470452029806855e-06,9.113503988770753e-06,1.792192118445504e-05
arxiv_ai_abstracts,ROOT->npadvmod,ROOT,npadvmod,4.0717604258752244e-05,1.1445161069548198e-05,1.8285088562437774e-05,6.315011995506672e-05
arxiv_ai_abstracts,ROOT->nsubj,ROOT,nsubj,-4.5644500750422964e-05,0.00016226943863473022,-0.00036369260047449417,0.00027240359897364824
arxiv_ai_abstracts,ROOT->nsubjpass,ROOT,nsubjpass,-0.00048516147529129115,6.553825817218291e-05,-0.0006136164613087696,-0.00035670648927381264
arxiv_ai_abstracts,ROOT->nummod,ROOT,nummod,3.1254178276164445e-06,1.8910158612012703e-06,-5.809732603380454e-07,6.831808915570935e-06
arxiv_ai_abstracts,ROOT->oprd,ROOT,oprd,-6.914289582433101e-06,3.7309821269372565e-06,-1.4227014551230124e-05,3.9843538636392146e-07
arxiv_ai_abstracts,ROOT->parataxis,ROOT,parataxis,6.694901178344595e-06,2.219215312750046e-06,2.345239165354505e-06,1.1044563191334685e-05
arxiv_ai_abstracts,ROOT->pcomp,ROOT,pcomp,5.782785043221195e-06,5.822230648338644e-07,4.641627836146821e-06,6.923942250295569e-06
arxiv_ai_abstracts,ROOT->pobj,ROOT,pobj,1.1659310528558042e-05,3.3461838053198742e-06,5.1007902701310885e-06,1.8217830786984995e-05
arxiv_ai_abstracts,ROOT->poss,ROOT,poss,-1.7168071053589235e-06,2.6514477673593655e-06,-6.91364472938328e-06,3.480030518665433e-06
arxiv_ai_abstracts,ROOT->preconj,ROOT,preconj,-1.1617248582503381e-05,6.896977613106103e-06,-2.5135324704191343e-05,1.90082753918458e-06
arxiv_ai_abstracts,ROOT->predet,ROOT,predet,-2.514962407092697e-07,1.8363520866013727e-07,-6.114212496831387e-07,1.0842876826459933e-07
arxiv_ai_abstracts,ROOT->prep,ROOT,prep,-0.0007887000940123724,0.00010519547816795387,-0.0009948832312215619,-0.0005825169568031828
arxiv_ai_abstracts,ROOT->prt,ROOT,prt,-3.1870177417952635e-05,3.850771266063501e-06,-3.94176890994371e-05,-2.4322665736468172e-05
arxiv_ai_abstracts,ROOT->quantmod,ROOT,quantmod,4.340113370780051e-07,1.6290570854700402e-07,1.1471614832587725e-07,7.53306525830133e-07
arxiv_ai_abstracts,ROOT->relcl,ROOT,relcl,6.129033605098927e-06,2.7415192653824513e-06,7.556558449493221e-07,1.1502411365248532e-05
arxiv_ai_abstracts,ROOT->xcomp,ROOT,xcomp,-0.0006573983036340394,4.2534503667823224e-05,-0.0007407659308229728,-0.0005740306764451059
arxiv_ai_abstracts,acl->acl,acl,acl,7.644071347031597e-07,6.205982779169302e-07,-4.519654900140236e-07,1.980779759420343e-06
arxiv_ai_abstracts,acl->acomp,acl,acomp,-4.0539907277384175e-06,2.3555912050316736e-06,-8.670949489600498e-06,5.629680341236628e-07
arxiv_ai_abstracts,acl->advcl,acl,advcl,-9.349378966591718e-06,7.275287792674155e-06,-2.360894304023306e-05,4.910185107049625e-06
arxiv_ai_abstracts,acl->advmod,acl,advmod,5.2221815813114e-06,1.6065991506270536e-05,-2.6267161770978846e-05,3.671152493360165e-05
arxiv_ai_abstracts,acl->agent,acl,agent,-2.0709050513602247e-05,1.4111809974011948e-05,-4.836819806266567e-05,6.9500970354611714e-06
arxiv_ai_abstracts,acl->amod,acl,amod,2.2721815863934908e-06,9.765224661047154e-07,3.5819755282824854e-07,4.1861656199587335e-06
arxiv_ai_abstracts,acl->appos,acl,appos,6.290402434638039e-07,3.824628497260975e-07,-1.2058694199934717e-07,1.378667428926955e-06
arxiv_ai_abstracts,acl->attr,acl,attr,-2.1317903157715506e-06,1.5887516530457891e-06,-5.245743555741297e-06,9.821629241981958e-07
arxiv_ai_abstracts,acl->aux,acl,aux,-0.0002305757221487361,4.561448328370862e-05,-0.000319980109384805,-0.0001411713349126672
arxiv_ai_abstracts,acl->auxpass,acl,auxpass,-6.88896495547161e-06,5.728138326722893e-06,-1.811611607584848e-05,4.338186164905261e-06
arxiv_ai_abstracts,acl->cc,acl,cc,-3.4714016406053917e-06,1.5397613094870135e-05,-3.3650723306550855e-05,2.670792002534007e-05
arxiv_ai_abstracts,acl->ccomp,acl,ccomp,1.2681595510790998e-05,4.555888699085806e-06,3.752053660582819e-06,2.1611137360999176e-05
