dataset_a,dataset_b,n_roles,pearson_r,pearson_p,same_direction_share,median_abs_difference
arxiv_ai_abstracts,arxiv_qbio_abstracts,44,0.9848025318558794,1.45658028860805e-33,0.9090909090909091,0.00010191096019366382
arxiv_qbio_abstracts,arxiv_stat_abstracts,44,0.9824968194765097,2.7667135025729803e-32,0.8863636363636364,0.000125657084684787
arxiv_ai_abstracts,arxiv_stat_abstracts,44,0.9813461376993438,1.0419378970496952e-31,0.8863636363636364,0.00014714058910901556
arxiv_qbio_abstracts,medarxiv_abstracts,44,0.9649061755521062,5.158699236505601e-26,0.8409090909090909,0.00014491436288689192
arxiv_stat_abstracts,medarxiv_abstracts,44,0.9414266447337173,1.9272105017827257e-21,0.7272727272727273,0.0001185859556206318
arxiv_ai_abstracts,medarxiv_abstracts,44,0.9370392073389622,8.413806686380262e-21,0.7954545454545454,0.00026500414710551603
medarxiv_abstracts,medarxiv_titles,43,0.8832151123236183,4.580406476730856e-15,0.5581395348837209,0.00020249977674636826
arxiv_ai_titles,arxiv_stat_titles,44,0.8523769856140615,2.1281823566318283e-13,0.5681818181818182,0.00011883376970302266
arxiv_stat_abstracts,medarxiv_titles,43,0.8013080437053849,1.0861357712397611e-10,0.4186046511627907,0.0003061644024615947
arxiv_qbio_abstracts,medarxiv_titles,43,0.7974232089020844,1.552461921824503e-10,0.4883720930232558,0.00042494711988187673
arxiv_qbio_titles,arxiv_stat_titles,42,0.7790277282702718,1.2319236440795192e-09,0.6428571428571429,0.00013909140367575945
arxiv_ai_abstracts,medarxiv_titles,43,0.7391078342125993,1.5146158012485335e-08,0.5348837209302325,0.00032162745947411544
arxiv_ai_titles,arxiv_qbio_titles,42,0.72001648978646,7.673754524747603e-08,0.6666666666666666,8.9129823650712e-05
arxiv_qbio_abstracts,arxiv_qbio_titles,42,0.6602449362687086,1.962158424285316e-06,0.5714285714285714,0.0004444827440666457
arxiv_qbio_titles,medarxiv_abstracts,42,0.6470154565742918,3.6557167472887606e-06,0.6190476190476191,0.00016215677590119144
arxiv_qbio_titles,arxiv_stat_abstracts,42,0.6271005105240456,8.835422453918462e-06,0.5,0.00020001517880926178
arxiv_qbio_titles,medarxiv_titles,42,0.6207252986621344,1.1570226882240728e-05,0.5714285714285714,0.0001878630045237606
arxiv_ai_abstracts,arxiv_qbio_titles,42,0.5838623446405856,4.9295355593535725e-05,0.5238095238095238,0.0005474396633812003
arxiv_stat_abstracts,arxiv_stat_titles,44,0.4602423011643855,0.0016695545754356513,0.6818181818181818,0.00019157891768322946
arxiv_qbio_abstracts,arxiv_stat_titles,44,0.45229929204621666,0.0020532434601288666,0.6136363636363636,0.00023256918959409565
arxiv_ai_abstracts,arxiv_stat_titles,44,0.4103496072716157,0.005664449421168094,0.6136363636363636,0.000403564947369358
arxiv_stat_titles,medarxiv_abstracts,44,0.3854170280790072,0.009776454627075932,0.5454545454545454,0.00016621724892064373
arxiv_stat_titles,medarxiv_titles,43,0.3543356594217077,0.019739077893411637,0.46511627906976744,0.0002367863884362781
arxiv_ai_titles,arxiv_qbio_abstracts,44,0.2823668502552135,0.06329986425066167,0.5454545454545454,0.0004085146799160182
arxiv_ai_titles,medarxiv_abstracts,44,0.2582305155438566,0.09056304635175288,0.7045454545454546,0.00016072945807515016
arxiv_ai_titles,arxiv_stat_abstracts,44,0.22609471230516542,0.14001012123416967,0.5681818181818182,0.00027367321361006485
arxiv_ai_abstracts,arxiv_ai_titles,44,0.21541666073570226,0.160221779085464,0.5,0.00043765691283323275
arxiv_ai_titles,medarxiv_titles,43,0.20073771218717218,0.19680027681395917,0.5116279069767442,0.00016595033663380405
