family,dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
adjectives,arxiv_qbio_titles,medarxiv_abstracts,5,0.7967524545149803,0.10657789938562448,0.8,0.10031220307086988
adjectives,arxiv_ai_abstracts,arxiv_qbio_abstracts,6,0.7895174701376261,0.06179185031628021,1.0,0.5754223867650313
adjectives,arxiv_ai_titles,arxiv_qbio_titles,5,0.7769811216431538,0.12211138535273296,0.4,0.3311101593146192
adjectives,arxiv_ai_abstracts,arxiv_stat_abstracts,6,0.6318701100913237,0.17833501313567016,1.0,0.8231772139684019
adjectives,arxiv_qbio_abstracts,arxiv_stat_abstracts,6,0.5843547132586572,0.22323785798167672,1.0,0.2279187174559913
adjectives,arxiv_qbio_abstracts,medarxiv_abstracts,6,0.40299263591300805,0.4282346656722632,0.3333333333333333,0.6327656106115086
adjectives,arxiv_ai_abstracts,arxiv_stat_titles,5,0.35604261558391204,0.5564411558670743,0.2,1.316866746517791
adjectives,arxiv_stat_abstracts,medarxiv_titles,5,0.2744614513158389,0.654983142376027,0.4,0.613494532002631
adjectives,arxiv_qbio_abstracts,medarxiv_titles,5,0.2736158541712508,0.656018574565855,0.4,0.7839161963142343
adjectives,arxiv_qbio_titles,medarxiv_titles,5,0.2597215913073747,0.6730685284426702,0.6,0.259168773829977
adjectives,arxiv_ai_abstracts,medarxiv_abstracts,6,0.23951481737757208,0.6475979388427413,0.3333333333333333,1.2981601278668045
adjectives,medarxiv_abstracts,medarxiv_titles,5,0.23127317008777767,0.7081803603512009,0.8,0.2125522403727862
adjectives,arxiv_qbio_abstracts,arxiv_qbio_titles,5,0.21460625500667627,0.7288669860366952,0.4,0.5626423291199236
adjectives,arxiv_stat_abstracts,arxiv_stat_titles,5,0.1817999850572001,0.7698065558246941,0.2,0.3561283313861666
adjectives,arxiv_ai_titles,arxiv_qbio_abstracts,6,0.12692784265478207,0.8106306827707803,1.0,0.3396220790548967
adjectives,arxiv_stat_abstracts,medarxiv_abstracts,6,0.12499368969104831,0.8134858800730275,0.3333333333333333,0.25509142075622926
adjectives,arxiv_ai_abstracts,medarxiv_titles,5,-0.08664043303249722,0.8898241435360972,0.4,1.2456074951250897
adjectives,arxiv_ai_abstracts,arxiv_ai_titles,6,-0.08730646177916947,0.8693730505158532,1.0,1.0066358915615417
adjectives,arxiv_ai_titles,medarxiv_titles,5,-0.20814582026070902,0.7369067909204846,0.4,0.49415024123178664
adjectives,arxiv_ai_abstracts,arxiv_qbio_titles,5,-0.2690383454432088,0.6616281994278107,0.4,1.3417164906004304
