order,feature,label,family,manuscript_group,arxiv_ai_abstracts_estimate,arxiv_ai_abstracts_ci_low,arxiv_ai_abstracts_ci_high,arxiv_ai_abstracts_q,arxiv_ai_abstracts_stars,arxiv_ai_abstracts,arxiv_qbio_abstracts_estimate,arxiv_qbio_abstracts_ci_low,arxiv_qbio_abstracts_ci_high,arxiv_qbio_abstracts_q,arxiv_qbio_abstracts_stars,arxiv_qbio_abstracts,arxiv_stat_abstracts_estimate,arxiv_stat_abstracts_ci_low,arxiv_stat_abstracts_ci_high,arxiv_stat_abstracts_q,arxiv_stat_abstracts_stars,arxiv_stat_abstracts,medarxiv_abstracts_estimate,medarxiv_abstracts_ci_low,medarxiv_abstracts_ci_high,medarxiv_abstracts_q,medarxiv_abstracts_stars,medarxiv_abstracts
1,word_across_per_1k_words,$\it{across}$,marker_words,Lexical markers,6.100739871010344,5.511445946512625,6.690033795508063,1.8475016636302352e-90,***,"6.10 [5.51, 6.69]***",3.876553017225164,3.0249795505427497,4.728126483907579,1.825844553018017e-18,***,"3.88 [3.02, 4.73]***",3.8820701558864417,3.413263020928029,4.350877290844855,3.698354712061267e-58,***,"3.88 [3.41, 4.35]***",3.099271289093557,2.29861153501924,3.899931043167874,9.825114467159251e-14,***,"3.10 [2.30, 3.90]***"
2,verb_align_per_1k_words,$\it{align}$,verbs,Lexical markers,3.1374793331590545,2.709309654440835,3.5656490118772743,8.040822022227523e-46,***,"3.14 [2.71, 3.57]***",1.5106365630781025,1.1984541542922986,1.8228189718639063,2.1950558966510224e-20,***,"1.51 [1.20, 1.82]***",1.9221409595928765,1.621021309342774,2.2232606098429786,5.828498991945683e-35,***,"1.92 [1.62, 2.22]***",2.71180829654342,2.1995316359946995,3.2240849570921406,2.8837226787181862e-24,***,"2.71 [2.20, 3.22]***"
3,word_while_per_1k_words,$\it{while}$,marker_words,Lexical markers,3.242070220565256,2.666651429067725,3.8174890120627865,9.4596748652978e-28,***,"3.24 [2.67, 3.82]***",1.8032660937514968,1.472742286383849,2.1337899011191443,6.56202738914901e-26,***,"1.80 [1.47, 2.13]***",1.7969723446013814,1.4195798151814687,2.174364874021294,4.130934922156669e-20,***,"1.80 [1.42, 2.17]***",2.0657364945202543,1.687569078592691,2.443903910447818,5.693845617150951e-26,***,"2.07 [1.69, 2.44]***"
4,verb_exhibit_per_1k_words,$\it{exhibit}$,verbs,Lexical markers,2.1854281587407822,1.436290914363875,2.9345654031176887,4.855193444989197e-08,***,"2.19 [1.44, 2.93]***",0.7595962630500097,0.5199157328848221,0.9992767932151972,2.359580904963166e-09,***,"0.76 [0.52, 1.00]***",0.9468989937967552,0.6411761512927768,1.252621836300734,5.734385748070568e-09,***,"0.95 [0.64, 1.25]***",1.368884269022727,0.7486218524744811,1.989146685570973,6.844972455799988e-05,***,"1.37 [0.75, 1.99]***"
5,em_dash_per_1k_words,em dash,punctuation,Punctuation,2.346475158467144,1.4542212898803784,3.238729027053909,3.815341503634828e-07,***,"2.35 [1.45, 3.24]***",1.4465130405011632,0.8233178596501051,2.0697082213522218,1.613955503466774e-05,***,"1.45 [0.82, 2.07]***",1.4629657577919302,0.7565718542624208,2.1693596613214394,0.0001477065858221,***,"1.46 [0.76, 2.17]***",2.844746052612079,2.1480948015379533,3.541397303686204,3.625667397131474e-15,***,"2.84 [2.15, 3.54]***"
6,avg_syllables_per_word,syllables/word,readability,Readability,4.154266046167649,3.902164161595314,4.406367930739982,8.733933048148834e-229,***,"4.15 [3.90, 4.41]***",3.7810465666776896,3.4780268194742447,4.084066313881134,2.9923582447196427e-131,***,"3.78 [3.48, 4.08]***",2.748489754298036,2.477418272890905,3.019561235705168,4.866651585178367e-87,***,"2.75 [2.48, 3.02]***",1.2426607774508431,0.6711984752612157,1.8141230796404708,0.0001417762833693,***,"1.24 [0.67, 1.81]***"
7,flesch_reading_ease,FRE,readability,Readability,-3.4963845338067863,-3.6517385289459785,-3.341030538667594,0.0,***,"-3.50 [-3.65, -3.34]***",-3.4064302792445904,-3.702296227483891,-3.1105643310052886,3.2506900257702597e-112,***,"-3.41 [-3.70, -3.11]***",-2.561784436944293,-2.881453841588413,-2.2421150323001733,3.152412884202347e-55,***,"-2.56 [-2.88, -2.24]***",-0.8665238351548871,-1.3181021819189114,-0.4149454883908627,0.0005923210957265,***,"-0.87 [-1.32, -0.41]***"
8,dale_chall,Dale-Chall,readability,Readability,2.558246735711338,2.420868136364625,2.695625335058052,2.0224506458400416e-291,***,"2.56 [2.42, 2.70]***",3.159582197075655,2.871334021265856,3.447830372885454,5.105481749624191e-102,***,"3.16 [2.87, 3.45]***",3.4034531355412803,3.03218952663051,3.7747167444520495,1.2201988102969314e-71,***,"3.40 [3.03, 3.77]***",0.7578990617000464,0.2014109332148087,1.3143871901852842,0.0088654818003301,**,"0.76 [0.20, 1.31]**"
9,gunning_fog,Gunning Fog,readability,Readability,4.023894969576652,3.824160747213926,4.223629191939379,0.0,***,"4.02 [3.82, 4.22]***",2.7324132787424067,2.46439952798751,3.000427029497304,1.0993973966121088e-88,***,"2.73 [2.46, 3.00]***",1.890145267585852,1.5233909755401764,2.256899559631528,7.634262354983404e-24,***,"1.89 [1.52, 2.26]***",0.5908436422256943,0.2549240448491755,0.9267632396022132,0.0009904701805503,***,"0.59 [0.25, 0.93]***"
10,clause_depth,max tree depth,syntax,Syntax,-2.13434199950914,-2.4460228053314856,-1.8226611936867936,1.502573835336393e-40,***,"-2.13 [-2.45, -1.82]***",-1.3095539952944553,-1.605851300412476,-1.0132566901764342,1.5361342146732836e-17,***,"-1.31 [-1.61, -1.01]***",-1.6918892016673155,-2.1129561900061176,-1.2708222133285143,1.1314961447554658e-14,***,"-1.69 [-2.11, -1.27]***",-1.8792523401789012,-2.252699439105344,-1.505805241252459,2.0060366620785715e-22,***,"-1.88 [-2.25, -1.51]***"
