feature,family,arxiv_ai_abstracts,arxiv_ai_titles,arxiv_qbio_abstracts,arxiv_qbio_titles,arxiv_stat_abstracts,arxiv_stat_titles,medarxiv_abstracts,medarxiv_titles
adjective_comprehensive_per_1k_words,adjectives,-0.1985849786839601,-0.2851543579559555,-0.0674639106439795,-0.0501728905541459,-0.0697851116668748,0.0547786995019937,0.1499806442305554,0.2089958832758311
adjective_crucial_per_1k_words,adjectives,-1.2975614975775227,-0.1498572781612779,-0.6029918530270059,0.1812528811533413,-0.6654485344550639,0.0193052489402684,0.1605982379203533,-0.0519540024524329
adjective_intricate_per_1k_words,adjectives,-1.2582590949300814,-0.0864825918048194,-0.7111094886022071,,-0.4538064392256643,,-0.4491395399139006,
adjective_pivotal_per_1k_words,adjectives,-1.1692861338233418,-0.4362763275117845,-0.8258439625957956,-0.263201633475872,-0.2408671128796184,0.1152612185065482,-0.0149945717610336,-0.0419277662815614
adjective_potential_per_1k_words,adjectives,-1.3869177363865095,-0.2670176434913968,-0.4260419129133324,0.0647242941060206,-0.2084110830315481,-0.04282714733877,0.0758992173623256,0.4359348704886858
marker_adjectives_total_per_1k_words,adjectives,-1.3040991179954189,-0.4107274277674482,-0.7004039507932305,0.0376173726050116,-0.4621973457630322,0.0218595734988879,0.1379295756758815,0.438714350161303
causal_marker_accordingly_per_1k_words,causal_markers,-0.4306952728962841,,-0.0618131136736847,,-0.183976132851501,,0.127698621329836,
causal_marker_consequently_per_1k_words,causal_markers,-0.6648334713037067,,-0.3177628598263922,,-0.1456987859787285,,-0.439259712525516,0.0732380235270772
causal_marker_hence_per_1k_words,causal_markers,-1.2563721797229497,,-0.6448177729098324,0.0122116458553815,-0.6112643699595615,,-0.2849819668096447,
causal_marker_thereby_per_1k_words,causal_markers,1.3007354037322876,-0.022825002916681,0.1888902668160087,-0.0309249923106864,1.7858943546074486,-0.0390256610497389,0.092991904175756,-0.0946882939531109
causal_marker_thus_per_1k_words,causal_markers,-1.687849930491565,0.1021914194561399,-0.6760023188856925,,-0.7753459046455248,,-0.6390335062698517,
contrast_marker_alternatively_per_1k_words,contrast_markers,-0.2915341627789042,,-0.1966134673827514,,-0.1867252310578622,,0.0705702895867387,
contrast_marker_conversely_per_1k_words,contrast_markers,0.3439323190471646,,0.0238877180749938,,0.0114072550395987,,-0.0731368998454117,
contrast_marker_however_per_1k_words,contrast_markers,-1.0229750955044972,,-0.7369544121421516,,-0.7418408405227092,,-0.7605584163327792,
contrast_marker_nevertheless_per_1k_words,contrast_markers,-1.1343921661817828,,-0.2881998295240314,,-0.6529650492507528,,-0.2653026187474369,
contrast_marker_nonetheless_per_1k_words,contrast_markers,-0.8592906958268581,,-0.0736577333350118,,-0.3114830224021797,,-0.0892165609122246,
causal_markers_total_per_1k_words,discourse_marker_totals,-1.5702483806646068,0.2898773419209383,-0.7654088149215389,-0.0195997036582203,-0.41627684433235,-0.0390256610497389,-0.7090189753734949,0.055198804324577
contrast_markers_total_per_1k_words,discourse_marker_totals,-1.0867362549145507,,-0.786055631606174,,-0.805256226153616,,-0.8181662863511548,
emphasis_markers_total_per_1k_words,discourse_marker_totals,1.548487333762784,-0.0503873045361793,0.8348028351752352,-0.0520976942341546,1.002589684189218,-0.0758313000644079,2.466620252188673,0.1774332021280409
sequential_markers_total_per_1k_words,discourse_marker_totals,-1.8383244006386843,-0.0559658374027826,-1.0694635589829284,0.0658541982060953,-1.3283964116914018,-0.1205825273217555,-1.8403402203328565,-0.2520674947475903
summary_markers_total_per_1k_words,discourse_marker_totals,0.5328891778536639,-0.027755480723017,0.3657080767071193,0.0117260236467113,0.4823465743734086,0.0458013549779066,-0.3363402365896859,-0.1730768288966561
emphasis_marker_crucially_per_1k_words,emphasis_markers,1.9052034755334863,,0.6753463248885733,,0.6622332194926863,,0.569665943498743,
emphasis_marker_importantly_per_1k_words,emphasis_markers,-0.2911211147603288,,-0.0945611274470786,,-0.3460276729004391,,0.2426462479514664,
emphasis_marker_notably_per_1k_words,emphasis_markers,0.4518723894195713,,0.1966596700448851,,-0.1386000139705908,,0.8625065774084194,-0.0327313314827129
emphasis_marker_particularly_per_1k_words,emphasis_markers,1.6165928327515533,-0.135608355297243,0.8208031609499314,-0.0520976942341546,1.4701585084555735,-0.0758313000644079,2.38008271014326,0.1981689614706643
emphasis_marker_remarkably_per_1k_words,emphasis_markers,-0.340079063151413,,-0.1884631437461601,,-0.2212178992204085,,-0.2370079059495966,
marker_words_total_per_1k_words,marker_words,3.944243430631971,0.6034215002863864,3.3314680226770186,0.5845829772276825,2.723358800949609,0.3297846903067038,2.775669055236537,1.107866504417642
word_across_per_1k_words,marker_words,6.100739871010344,0.8114449709051418,3.876553017225164,0.6147530255955438,3.8820701558864417,0.3918276257326186,3.099271289093557,0.8193505687261257
word_additionally_per_1k_words,marker_words,-1.60131822585737,,-0.5958804634941708,,-0.8357437261622691,,-1.003845300335752,-0.0946882939531109
word_finding_per_1k_words,marker_words,1.8399269854817568,0.016956463874508,1.1654644754808714,0.1268542417552139,0.5968357397761891,0.0746030405695519,2.016636193396679,0.5235712668540002
word_insight_per_1k_words,marker_words,0.54351088632793,0.2168615494999496,0.164767391094507,0.2988198873765343,0.3930931127673461,-0.0567699563641995,-0.1136353116499981,0.6509803850235387
word_interplay_per_1k_words,marker_words,0.0274726475180832,-0.1536614012363183,0.1907326804581023,-0.0464900826790899,-0.0639823499491036,-0.0357414083413995,0.1387774131556842,-0.0622950293478541
word_meticulously_per_1k_words,marker_words,-1.3333117959320084,,-1.0108484858909612,,-0.6024755259256013,,0.098428263269233,
word_notably_per_1k_words,marker_words,0.4518723894195713,,0.1966596700448851,,-0.1386000139705908,,0.8625065774084194,-0.0327313314827129
word_particularly_per_1k_words,marker_words,1.6165928327515533,-0.135608355297243,0.8208031609499314,-0.0520976942341546,1.4701585084555735,-0.0758313000644079,2.38008271014326,0.1981689614706643
word_realm_per_1k_words,marker_words,-1.903451080559038,-0.1812394939434767,-0.5749853252836266,,-0.7186238904467475,,-0.2713517662252242,
word_while_per_1k_words,marker_words,3.242070220565256,0.0616290994734303,1.8032660937514968,-0.2357902581356735,1.7969723446013814,0.1590087519237619,2.0657364945202543,-0.3189857095759801
word_within_per_1k_words,marker_words,0.8924993611978674,0.0309961324301962,0.5193149286302811,0.1156813529154934,1.0479695677424006,0.0160567492576781,0.2174645880529182,-0.1589198220421302
certainty_ratio,other,1.102803190166177,-0.2598080273499757,0.6459674620168439,-0.1207103088258641,0.7006991747729449,0.0221407865121498,1.3889408844959354,0.5842035160614449
hedge_ratio,other,-1.308222300060303,-0.0281383651473907,-0.560708494746351,-0.1362345364972896,-0.9803080502882142,0.2313364270836974,0.8056920853606008,0.4894106969267879
marker_phrases_total_per_1k_words,phrases,-0.2812439232563654,-0.2264387205089622,-0.1430727490000094,0.0019534837685377,0.2260800694862499,,-0.7387531247144691,
phrase_comprehensive_chapter_per_1k_words,phrases,,,,,,,,
phrase_deep_dive_per_1k_words,phrases,-0.5174311051396533,-0.2264387205089622,-0.2310651616036512,0.0019534837685377,0.1259235583163062,,0.3093610262378306,
phrase_essential_insight_per_1k_words,phrases,,,,,,,,
phrase_intricate_interplay_per_1k_words,phrases,-0.0239247262392157,,-0.1297095163079519,,0.2366054029158669,,-1.860431242168419,
phrase_intricate_web_per_1k_words,phrases,,,0.0213552064871489,,,,-0.0117918663811999,
phrase_meticulously_delve_per_1k_words,phrases,,,,,,,,
colon_per_1k_words,punctuation,2.316462558340883,0.7951661753247522,1.152431061430613,0.7617610297642996,1.0758488492523657,0.5330507271427332,0.0764702942900696,1.4637008334389168
em_dash_per_1k_words,punctuation,2.346475158467144,-0.494746741412974,1.4465130405011632,-0.3818730956582992,1.4629657577919302,-0.2489292077602005,2.844746052612079,-0.1230454706517577
semicolon_per_1k_words,punctuation,1.622265469288777,0.0203183147280357,0.4138484761058238,-0.1761738799894655,0.4546068101307181,0.0712992323235747,0.0871368178093515,-0.6797079758197809
automated_readability_index,readability,2.9325511061767133,0.144073114573859,3.004699042771838,0.3929448279844253,1.9728158422226267,0.2871193423565354,0.6963002379340211,-0.491920928869412
avg_syllables_per_word,readability,4.154266046167649,-0.3316264301145202,3.7810465666776896,0.0833567891447117,2.748489754298036,-0.1968765604209494,1.2426607774508431,-0.0302506757955845
dale_chall,readability,2.558246735711338,0.5251961909841817,3.159582197075655,0.3454197879808482,3.4034531355412803,0.3188546080068188,0.7578990617000464,-0.0398436613140294
flesch_kincaid_grade,readability,3.440728191614141,0.1830400251778001,2.793823516375478,0.4644749872926,1.8498916561639795,0.1922946361067766,0.6635754096418708,-0.4501163003720402
flesch_reading_ease,readability,-3.4963845338067863,-0.2049524131537014,-3.4064302792445904,-0.4449153012745118,-2.561784436944293,-0.1731943130638566,-0.8665238351548871,0.2725414141245885
gunning_fog,readability,4.023894969576652,0.4701162093649913,2.7324132787424067,0.5401495526994055,1.890145267585852,0.4236006053305648,0.5908436422256943,-0.4251688261563994
smog_index,readability,3.088840075983544,0.2559797915337493,2.222387489290016,0.4885383580337439,1.615751588830295,0.3498536460262377,0.1768042658431074,-0.75322308749925
sequential_marker_additionally_per_1k_words,sequential_markers,-1.60131822585737,,-0.5958804634941708,,-0.8357437261622691,,-1.003845300335752,-0.0946882939531109
sequential_marker_further_per_1k_words,sequential_markers,-1.0951632045374555,-0.0559658374027826,-0.5877185583310428,0.0658541982060953,-0.3899637901485179,-0.1205825273217555,-0.4243042038039159,-0.2331462795168186
sequential_marker_furthermore_per_1k_words,sequential_markers,-0.8663534926238794,,-0.5281376596123875,,-0.7647537059567983,,-1.055496527661664,
sequential_marker_moreover_per_1k_words,sequential_markers,-1.5426928931915451,,-0.8098647018662967,,-1.1151637071203122,,-0.5898071257849616,
sequential_marker_subsequently_per_1k_words,sequential_markers,-0.969383930608986,,-0.2880765272803192,,-0.4823444692340064,,-0.3313765908374098,0.0065497222791678
summary_marker_collectively_per_1k_words,summary_markers,0.3017732639602453,0.0798859249311141,0.5106222445798818,0.0538310555880441,-0.1112713169167437,,0.3454372490654676,
