dataset,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv_ai_abstracts,avg_words_per_sentence,syntax,2022-11-30,136,95,41,24.226804695008315,24.190543717958807,0.2584738611078857,0.0010624765288562,0.0127497183462745,-0.5036872234455716,0.2219869001137163,-0.9387815476684558,-0.0685928992226874,0.0232686143088012,0.0169832020618426,0.2037984247421118,0.0086045735500169,0.1032548826002029,0.0014188548457141,0.4061779946385094,0.7884682182893819,0.3994790117562596,0.0054893552471131,1.5714470813316506,0.0484111681083972,0.0180456785906988,0.2165481430883863,0.3252489513474166,monthly_segmented_wls_hac,6,0.0484111681083972,0.038781023848002
arxiv_ai_titles,avg_words_per_sentence,syntax,2022-11-30,136,95,41,9.36960101022804,10.595856132568288,0.4601687376689203,0.0158041340023003,0.1896496080276042,0.0121090585083881,0.0403955560533336,-0.0670662313561459,0.0912843483729221,0.7643585925186225,0.0069301734595238,0.0831620815142863,0.0016743154196096,0.0200917850353155,0.0437821828450678,0.1225419801835049,0.1807208415233965,0.0436617774973038,0.0951437576286809,0.266297925418112,3.486577886975587e-05,0.0227343074618242,0.2728116895418906,0.9448137188451126,monthly_segmented_wls_hac,6,0.0001743288943487,0.8492873250206916
arxiv_qbio_abstracts,avg_words_per_sentence,syntax,2022-11-30,136,95,41,24.870322573273725,24.600974061420228,0.3658456934914073,0.0011253610744138,0.013504332892966,-0.3764896800623964,0.142160962367456,-0.6551251663026103,-0.0978541938221826,0.0080889614670639,0.001040173956822,0.012482087481865,0.0050423416424171,0.0605080997090057,-0.1061137879477862,0.1310779629115163,0.0341184485807217,0.1653924066497913,-0.2900506684528693,0.3582875656143128,0.8365660469736395,0.0021655350312359,0.025986420374831,0.1437662266794719,monthly_segmented_wls_hac,6,0.8365660469736393,0.026963204890213
arxiv_qbio_titles,avg_words_per_sentence,syntax,2022-11-30,136,95,41,11.078792246802172,11.502172131479192,0.3128100409531681,0.0056945374844879,0.0683344498138553,-0.0855771071249629,0.089621503826876,-0.2612352546256399,0.090081040375714,0.339642191051962,0.0051730490645068,0.062076588774082,0.0017703756174404,0.0212445074092854,0.0204373542518826,0.1037158232962814,0.19844819745852,0.0679150430866956,0.0653347130085966,0.3315616819084434,0.0034778428049144,0.0108675865489947,0.1304110385879373,0.5266667902292371,monthly_segmented_wls_hac,6,0.0170069621036905,0.4245527388149525
arxiv_stat_abstracts,avg_words_per_sentence,syntax,2022-11-30,136,95,41,24.381195753633012,24.63436818948098,0.3149583288700517,0.007570947337526,0.0908513680503125,-0.1412694196452332,0.1156556733569401,-0.3679545394248358,0.0854157001343693,0.2219098048640907,-0.0044935087859832,-0.053922105431799,0.0056619150158861,0.0679429801906343,-0.1870903466054423,0.0792461357418443,-0.1712039355341089,0.2157205381244795,-0.5940161902580888,0.251608319189871,0.4274064220716317,0.0030774385515427,0.0369292626185135,0.401610283280181,monthly_segmented_wls_hac,6,0.4274064220716317,0.2219098048640907
arxiv_stat_titles,avg_words_per_sentence,syntax,2022-11-30,136,95,41,9.63375836912004,10.330270595899451,0.3073842956048718,0.0074244651368197,0.0890935816418368,0.1335184866011697,0.0716963534168216,-0.0070063660958006,0.2740433392981402,0.0625640230015317,0.0052152404157608,0.0625828849891301,0.0022288893686144,0.026746672423373,0.0101594070393189,0.1150063629389414,0.2035981859970412,0.0870137895976138,0.033051158385718,0.3741452136083644,0.0192920973962714,0.0126397055525805,0.151676466630967,0.7149933917692037,monthly_segmented_wls_hac,6,0.0643069913209048,0.1251280460030634
medarxiv_abstracts,avg_words_per_sentence,syntax,2022-11-30,83,42,41,22.44199610349112,21.933234547265847,0.3553950449763478,0.0069398895750351,0.0832786749004222,-0.2938093069517542,0.12143788712537,-0.5318275657174794,-0.055791048186029,0.0155452606753069,-0.0271829663017635,-0.326195595621163,0.0058667150626848,0.0704005807522181,-0.4641807338955107,-0.1882104573468154,-0.9178394584619828,0.1980910588016314,-1.3060979337131804,-0.5295809832107851,3.596704124988669e-06,-0.0202430767267284,-0.2429169207207408,0.711686014394188,monthly_segmented_wls_hac,6,7.193408249977337e-06,0.0310905213506139
medarxiv_titles,avg_words_per_sentence,syntax,2022-11-30,83,42,41,14.987666175333448,15.94554823350808,0.6870087539598438,0.0600647587317584,0.7207771047811008,-0.1199406221632597,0.1500209153132735,-0.4139816161772759,0.1741003718507565,0.424004795151483,-0.0570419662349152,-0.6845035948189827,0.0092101786123824,0.1105221433485891,-0.9011269957822172,-0.4678801938557481,-0.9963535266087634,0.1608744324021367,-1.3116674141169515,-0.6810396391005754,5.889441620187017e-10,0.0030227924968431,0.036273509962118,0.8669803462770544,monthly_segmented_wls_hac,6,2.944720810093508e-09,0.6466211576852954
arxiv_ai_abstracts,clause_depth,syntax,2022-11-30,136,95,41,11.33731480534559,11.170313930199528,0.0958029932569461,0.000802510924248,0.0096301310909771,0.1412334778180745,0.0296957713423193,0.0830297659871286,0.1994371896490204,1.974536522505557e-06,-0.0170396960155825,-0.204476352186991,0.0012695558732362,0.0152346704788355,-0.2343363063255087,-0.1746163980484733,-2.13434199950914,0.1590208192971152,-2.4460228053314856,-1.8226611936867936,4.50772150600918e-41,-0.0162371850913344,-0.1948462210960139,0.9080396495717238,monthly_segmented_wls_hac,6,1.502573835336393e-40,6.581788408351856e-06
arxiv_ai_titles,clause_depth,syntax,2022-11-30,136,95,41,5.227112449186091,5.593408442341764,0.1584736162595271,0.0054016865219168,0.0648202382630022,0.0337933992733616,0.0219688121847319,-0.009265472608713,0.0768522711554362,0.1239889024938033,-0.0013938386445797,-0.0167260637349568,0.0009911115700143,0.0118933388401727,-0.0400370078616954,0.0065848803917817,-0.1055447848654195,0.0750493307396697,-0.2526414731151721,0.041551903384333,0.1596235472990146,0.0040078478773371,0.0480941745280454,0.9193579318881872,monthly_segmented_wls_hac,6,0.2280336389985923,0.4058050809329385
arxiv_qbio_abstracts,clause_depth,syntax,2022-11-30,136,95,41,11.69769371294169,11.48766312170377,0.1464633732786968,0.0008571036585884,0.0102852439030613,0.0640499099132202,0.0447053494293073,-0.0235725749682221,0.1516723947946626,0.1519400351478811,-0.015983474636785,-0.1918016956414205,0.0018450979082046,0.0221411748984554,-0.2351983984423931,-0.1484049928404479,-1.3095539952944553,0.1511720944479699,-1.605851300412476,-1.0132566901764342,4.6084026440198514e-18,-0.0151263709781966,-0.1815164517383592,0.576556219982737,monthly_segmented_wls_hac,6,1.5361342146732836e-17,0.1899250439348514
arxiv_qbio_titles,clause_depth,syntax,2022-11-30,136,95,41,5.749207151589282,5.84997158153609,0.1142283262092886,0.0015363506994471,0.0184362083933658,0.0593285049691721,0.0322500400126477,-0.0038815734556174,0.1225385833939618,0.0658209193196811,-0.0031524971318294,-0.0378299655819532,0.0010647381034521,0.0127768572414253,-0.0628726057751469,-0.0127873253887594,-0.3311784986907828,0.111853667697237,-0.5504116873773675,-0.1119453100041982,0.0030682189189821,-0.0016161464323822,-0.0193937571885873,0.2673632704073764,monthly_segmented_wls_hac,6,0.0170069621036905,0.2056882502576345
arxiv_stat_abstracts,clause_depth,syntax,2022-11-30,136,95,41,11.472332768746169,11.405283744279313,0.1125982833939587,0.0014643386019444,0.0175720632233339,0.185991723848713,0.0644777305692823,0.0596153719329196,0.3123680757645063,0.0039192550989253,-0.0158753183167095,-0.1905038198005149,0.0020157916701025,0.0241895000412311,-0.237915239881328,-0.1430923997197019,-1.6918892016673155,0.2148300960912252,-2.1129561900061176,-1.2708222133285143,3.3944884342663976e-15,-0.014410979714765,-0.172931756577181,0.5688149217497118,monthly_segmented_wls_hac,6,1.1314961447554658e-14,0.0083087311558674
arxiv_stat_titles,clause_depth,syntax,2022-11-30,136,95,41,5.294389653022043,5.465742153396472,0.1076688453920612,0.0023023836645347,0.0276286039744168,0.0562930161101456,0.025939091603094,0.0054523965680813,0.1071336356522099,0.029991699512647,-0.0012691131253455,-0.0152293575041464,0.0009509179727416,0.0114110156728995,-0.0375949482230296,0.0071362332147367,-0.1414462786211818,0.1059825210472717,-0.3491720198738343,0.0662794626314707,0.1820010998485979,0.0010332705391892,0.0123992464702704,0.5369354410062843,monthly_segmented_wls_hac,6,0.2112645539482264,0.0749792487816177
medarxiv_abstracts,clause_depth,syntax,2022-11-30,83,42,41,11.811033132027482,11.781743816000647,0.1655807435021281,0.0090651396943901,0.108781676332682,0.1562648187116098,0.0692128587363454,0.0206076155883727,0.2919220218348469,0.0239617125109756,-0.0259306666429113,-0.3111679997149367,0.0026290666793772,0.0315488001525271,-0.3730036480138899,-0.2493323514159836,-1.8792523401789012,0.1905342341461441,-2.252699439105344,-1.505805241252459,6.018109986235714e-23,-0.0168655269485212,-0.2023863233822547,0.7081093962327463,monthly_segmented_wls_hac,6,2.0060366620785715e-22,0.0342310178728222
