feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.8625992309108923,1.0608045955959922,0.8215286829169064,0.12204116248177367,-0.0004782342591645723,-0.005738811109974868,0.239275912679078,0.06372282645776534,0.11437917282185794,0.36417265253629805,1.9606164658978305,0.5221420802778904,0.9372179885531653,2.984014943242496,0.0001733773298159692,0.5250410671686297,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0010402639788958151
coordination_per_sentence_std,syntax,2022-11-30,2023,54,42,12,0.9816976809595529,0.9930990304107784,1.0315408322548163,0.02753032902525285,0.001933659456349647,0.023203913476195763,-0.03844180184404697,0.010566688483811173,-0.05915251127231687,-0.01773109241577707,-1.396343712738969,0.38381991272674676,-2.1486307416833927,-0.6440566837945454,0.00027474433473599483,0.5832227048231498,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0027474433473599486
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023,54,42,12,1.1562100359055725,1.539993113978711,1.1346134603137454,0.15400520136664544,0.0004105524615071639,0.0049266295380859665,0.4053796536649553,0.12311718892730113,0.16406996336744512,0.6466893439624655,2.632246508998447,0.7994352647492199,1.0653533900899759,4.199139627906917,0.0009925412858424083,0.6557084910898581,pretrend_plus_first_post_year_indicator_wls_hac,6,0.002977623857527225
contrast_marker_alternatively_per_1k_words,contrast_markers,2022-11-30,2023,54,42,12,0.0033796611188234723,0.005908290538658436,0.0018818355861140743,0.0039521399771488535,-9.561442946963859e-05,-0.001147373153635663,0.004026454952544317,0.0011873680505504933,0.0016992135734653505,0.006353696331623284,1.0188037305928308,0.30043673994742526,0.42994772029587736,1.6076597408897844,0.0006961886687489111,0.060845512715010375,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0034809433437445556
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023,54,42,12,0.33440134396502874,0.36828121517863377,0.32005045090711437,0.0754894136691581,-0.0001127175348774594,-0.0013526104185295129,0.04823076427151666,0.0147514223538632,0.01931797645794479,0.07714355208508852,0.6389076550904751,0.1954104772692125,0.2559031196428186,1.0219121905381316,0.0010771221142587926,0.1934586757608553,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0053856105712939625
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,54,42,12,0.13953443581369274,0.2222000040749226,0.17946667223144389,0.036808594335873634,0.0016691252359200461,0.020029502831040553,0.04273333184347734,0.014308656590426324,0.014688364926241749,0.07077829876071294,1.1609607107932798,0.3887314049502052,0.39904715709087746,1.922874264495682,0.0028215672332096184,0.6571178475103503,pretrend_plus_first_post_year_indicator_wls_hac,6,0.007053918083024046
certainty_ratio,other,2022-11-30,2023,54,42,12,0.0015889266196776235,0.001511687981960863,0.0011837792446118774,0.00030377035064433055,-1.7227805331551764e-05,-0.00020673366397862118,0.0003279087373489724,0.00011450659124210659,0.00010347581851444351,0.0005523416561835013,1.0794626159315472,0.37695117709554415,0.34063830882428076,1.818286923038814,0.0041876810784802,0.4185416691344793,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0083753621569604
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.10323193441150465,0.16235143169300378,0.08998153357707252,0.03767270268492429,-0.0008153801297795446,-0.009784561557354535,0.07236989811593016,0.027329824399077076,0.018803442293739085,0.12593635393812122,1.9210168891039199,0.7254543064682697,0.49912644842611115,3.3429073297817284,0.008096494097276051,0.36356888982891755,pretrend_plus_first_post_year_indicator_wls_hac,6,0.013558027852085383
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.16576846796135716,0.27390247092606274,0.20451291890530868,0.057538702303512775,0.001700845499056738,0.020410145988680857,0.06938955202075239,0.02658005245045473,0.017292649217861125,0.12148645482364366,1.2059631038379557,0.4619508502337565,0.30053943737979294,2.1113867702961184,0.009038685234723589,0.6155831316151369,pretrend_plus_first_post_year_indicator_wls_hac,6,0.013558027852085383
avg_words_per_sentence,syntax,2022-11-30,2023,54,42,12,23.76043059492916,23.48175415139055,23.987037755587576,0.387847386677852,0.005548669204025067,0.0665840304483008,-0.5052836041972251,0.17688037914575466,-0.8519691473229042,-0.15859806107154595,-1.3027897610069916,0.4560566481080157,-2.196660791298702,-0.4089187307152808,0.004281508516404766,0.2895715319407721,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01630095929269119
coordination_count,syntax,2022-11-30,2023,54,42,12,12.397145768542762,13.345011768966142,13.995060308272462,0.7694131312030211,0.06653722234710403,0.7984466681652485,-0.6500485393064313,0.2309909524383347,-1.1027908060855673,-0.19730627252729527,-0.8448628089957907,0.3002170655408067,-1.433288257455772,-0.25643736053580957,0.004890287787807357,0.8066667813312518,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01630095929269119
clause_depth,syntax,2022-11-30,2023,54,42,12,12.030083683563443,12.18676443961615,12.305479141362829,0.1726740020774862,0.00999039529915595,0.11988474358987139,-0.11871470174678378,0.04369398717252492,-0.20435491660493263,-0.03307448688863493,-0.6875076752637691,0.25304322970934306,-1.1834724054940815,-0.1915429450334567,0.0065885087449159925,0.5204296785161188,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01647127186228998
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023,54,42,12,0.8374362127233402,0.9869384848284567,0.8957073575528027,0.07752349266818873,0.002938515214657207,0.03526218257588648,0.0912311272756461,0.033169145133790774,0.026219602813416176,0.15624265173787602,1.176819105224373,0.4278592719726819,0.33821493215791637,2.0154232782908297,0.005950771214456653,0.5849470930218914,pretrend_plus_first_post_year_indicator_wls_hac,6,0.029753856072283265
word_additionally_per_1k_words,marker_words,2022-11-30,2023,54,42,12,0.13953443581369274,0.2222000040749226,0.17946667223144389,0.036808594335873634,0.0016691252359200461,0.020029502831040553,0.04273333184347734,0.014308656590426324,0.014688364926241749,0.07077829876071294,1.1609607107932798,0.3887314049502052,0.39904715709087746,1.922874264495682,0.0028215672332096184,0.6571178475103503,pretrend_plus_first_post_year_indicator_wls_hac,6,0.03385880679851542
