feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
contrast_marker_alternatively_per_1k_words,contrast_markers,2022-11-30,2023-2024,66,42,24,0.0033796611188234723,0.004971973834849624,0.0009585557133348781,0.0039521399771488535,-0.00010501088124517933,-0.001260130574942152,0.004013418121514768,0.0011975801257024517,0.001666161075137963,0.006360675167891574,1.0155050541529964,0.30302067553953593,0.4215845300955059,1.6094255782104867,0.0008044091451230711,0.0458480822623325,pretrend_plus_first_two_year_indicator_wls_hac,6,0.004022045725615355
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,66,42,24,0.33440134396502874,0.3726969981866371,0.3286753988180852,0.0754894136691581,0.00017381736756746057,0.0020858084108095268,0.0440215993685535,0.01475552013486702,0.015100779904214143,0.07294241883289286,0.5831493083451904,0.19546476012563765,0.20003837849894054,0.9662602381914401,0.002850663966974862,0.2934872933940489,pretrend_plus_first_two_year_indicator_wls_hac,6,0.014253319834874309
adjective_potential_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.8625992309108923,1.182529271137856,0.9483711259806551,0.12204116248177367,0.0035026357172805527,0.04203162860736663,0.23415814515720565,0.10003665269882313,0.03808630586751233,0.43022998444689897,1.9186817004645966,0.8196959998128761,0.3120775408313597,3.5252858600978336,0.01924641423151045,0.7204608016664558,pretrend_plus_first_two_year_indicator_wls_hac,6,0.09342265592406039
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,1.1562100359055725,1.7789915938502945,1.3670001843809871,0.15400520136664544,0.007449622160774353,0.08939546592929223,0.4119914094693139,0.19920235253488525,0.021554798500938832,0.802428020437689,2.6751785382136015,1.2934780823450074,0.13996149681738726,5.210395579609816,0.03862069936634675,0.7878835055582682,pretrend_plus_first_two_year_indicator_wls_hac,6,0.09342265592406039
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.0021121980711543927,0.019359756638439824,0.00550993194405908,0.004496026855237854,0.000103669005654133,0.001244028067849596,0.013849824694380801,0.006963531124645795,0.00020130369007504388,0.02749834569868656,3.080458622760629,1.5488188458067833,0.04477368497933367,6.116143560541925,0.046711327962030195,0.5071891318003716,pretrend_plus_first_two_year_indicator_wls_hac,6,0.09342265592406039
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.16576846796135716,0.3273540163927376,0.252909679934705,0.057538702303512775,0.002847626137681583,0.03417151365217899,0.07444433645803375,0.040259266786769915,-0.004463826444035285,0.15335249936010278,1.293813267900011,0.6996902115450049,-0.07757954672819872,2.6652060825282207,0.06444005295818138,0.7755459004627648,pretrend_plus_first_two_year_indicator_wls_hac,6,0.09666007943727206
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,66,42,24,0.8374362127233402,1.0368063713199898,0.9423071176764342,0.07752349266818873,0.0037856877923020684,0.04542825350762482,0.09449925364355989,0.04040715999069712,0.015301220061793533,0.17369728722532624,1.2189756987347018,0.5212247100842754,0.197375266969522,2.2405761304998815,0.019352210291808686,0.778491884551429,pretrend_plus_first_two_year_indicator_wls_hac,6,0.09676105145904343
avg_words_per_sentence,syntax,2022-11-30,2023-2024,66,42,24,23.76043059492916,23.35099073870763,23.843829746145794,0.387847386677852,6.450955884347576e-05,0.0007741147061217091,-0.4928390074380682,0.1920970944020101,-0.8693493124660079,-0.11632870241012844,-1.27070343739978,0.49529041834582965,-2.241472657357606,-0.2999342174419539,0.010300571618368342,0.4737535309705996,pretrend_plus_first_two_year_indicator_wls_hac,6,0.10300571618368343
coordination_per_sentence_std,syntax,2022-11-30,2023-2024,66,42,24,0.9816976809595529,0.9866977058572598,1.0234127114530123,0.02753032902525285,0.0013025502580683206,0.015630603096819847,-0.036715005595748064,0.01590537243829118,-0.06788953557479876,-0.005540475616697356,-1.3336202978929292,0.5777400053483414,-2.465990708375678,-0.20124988741018032,0.020980239669153664,0.3009539236832173,pretrend_plus_first_two_year_indicator_wls_hac,6,0.10490119834576832
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.10323193441150465,0.2153033899606201,0.14090021898227062,0.03767270268492429,0.0009058474536571794,0.010870169443886152,0.07440317097835014,0.04837150399559092,-0.02040497685300806,0.16921131880970836,1.974988935639186,1.2839934633876966,-0.5416382526006991,4.491616123879072,0.12400920346761103,0.5837848870915546,pretrend_plus_first_two_year_indicator_wls_hac,6,0.14881104416113325
