feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
verb_align_per_1k_words,verbs,2021-01-01,83,19,64,0.02317030554827083,0.0710468981825697,0.01777313869797355,-0.0013393323161760232,-0.01607198779411228,-0.02112914562736218,0.008904886140847562,-0.038582722463423404,-0.0036755687913009594,0.017655796481776002,0.0037783315769207965,0.045339978923049556,0.0003800811452231699,0.004560973742678039,0.0364004703874006,0.05427948745869851,2.551039503687613,0.25662173801626104,2.0480608971757417,3.0540181101994843,2.764439150733867e-23,0.0024389992607447733,0.029267991128937278,0.8848499600387092,monthly_segmented_wls_hac,6,2021,2.48799523566048e-22
verb_underscore_per_1k_words,verbs,2021-01-01,83,19,64,0.02331399238357005,0.15078647251219895,0.016947256537653586,0.0008141741562374583,0.0097700898748495,-0.05856086808145087,0.025481956401373622,-0.10850550262814317,-0.008616233534758572,0.021554347458375357,0.004690529508808301,0.05628635410569961,0.0006187792325099868,0.007425350790119842,0.04173266655706472,0.0708400416543345,3.3212664233082223,0.4381447093588347,2.4625027929649064,4.180030053651538,3.447684665534129e-14,0.0055047036650457595,0.0660564439805491,0.8556327087380812,monthly_segmented_wls_hac,6,2021,1.551458099490358e-13
em_dash_per_1k_words,punctuation,2021-01-01,83,19,64,0.12482500115980817,0.2031220365258918,0.07252759322279989,-0.003152629513916755,-0.03783155416700106,-0.10352043378891837,0.045028348297915084,-0.19177599645283194,-0.015264871125004811,0.02150461010538389,0.009695325335785486,0.11634390402942582,0.0015725543232760716,0.01887065187931286,0.07935742634597262,0.15333038171287902,1.6041329769764339,0.2601858277765193,1.094168754534456,2.1140971994184117,7.033375789336377e-10,0.0065426958218687305,0.07851234986242477,0.6500842226030576,monthly_segmented_wls_hac,6,2021,2.110012736800913e-09
marker_verbs_total_per_1k_words,verbs,2021-01-01,83,19,64,0.3289517503705368,0.9066521936707561,0.08254094567698965,0.006868323255220645,0.08241987906264774,-0.21147403392126118,0.08682097887893231,-0.3816431525239685,-0.041304915318553875,0.014861029689357695,0.016090875843001624,0.1930905101160195,0.003628943878152256,0.04354732653782707,0.10773775010187842,0.27844327013016057,2.3393299959470695,0.5275845361433383,1.3052643051061263,3.373395686788013,9.248422106194594e-06,0.02295919909822227,0.2755103891786672,0.8758096049060783,monthly_segmented_wls_hac,6,2021,2.774526631858378e-05
word_finding_per_1k_words,marker_words,2021-01-01,83,19,64,0.8588917052631677,1.1705010354101766,0.15769354994718715,-0.004799040578838674,-0.05758848694606409,-0.1280303100663676,0.058277308061421985,-0.24225383386675467,-0.013806786265980503,0.028026495511903074,0.020326166043417578,0.24391399252101092,0.004425295736276823,0.05310354883532187,0.13983103680378006,0.3479969482382418,1.5467594749607685,0.336751559294002,0.8867264187445245,2.2067925311770127,4.365487491741311e-06,0.015527125464578904,0.18632550557494684,0.9040691137895078,monthly_segmented_wls_hac,6,2021,5.2385849900895735e-05
contrast_marker_however_per_1k_words,contrast_markers,2021-01-01,83,19,64,1.0679313477279722,1.072220610790199,0.13315043352734204,-0.010212614826194854,-0.12255137791433825,0.12320804052389946,0.04006059674264707,0.04468927090831119,0.20172681013948773,0.002101204610905426,0.010207108407218191,0.1224853008866183,0.00232292064754721,0.02787504777056652,0.06785020725630792,0.17712039451692865,0.9199016303725839,0.20935003388361076,0.5095755639607067,1.3302276967844608,1.1124080920616857e-05,-5.5064189766629995e-06,-6.6077027719956e-05,0.11932351009183917,monthly_segmented_wls_hac,6,2021,5.5620404603084285e-05
contrast_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,1.143685304890311,1.152602584919757,0.13517790155776427,-0.009447220715150546,-0.11336664858180655,0.11893101710638525,0.04349367869357049,0.03368340686698709,0.2041786273457834,0.00624857739873159,0.009545580114878192,0.1145469613785383,0.00233836438338002,0.02806037260056024,0.059548631081440234,0.16954529167563637,0.8473793427662438,0.20758106374783064,0.44052045782049587,1.254238227711992,4.461884984336785e-05,9.835939972764607e-05,0.0011803127967317528,0.1122276161335376,monthly_segmented_wls_hac,6,2021,0.00022309424921683924
causal_marker_thus_per_1k_words,causal_markers,2021-01-01,83,19,64,0.20428683077774912,0.1835755069084144,0.08309376008641546,0.006536835614525416,0.078442027374305,-0.0045493569949687975,0.016673557798920664,-0.0372295302808533,0.028130816290915704,0.7849695947361925,-0.009593758863703016,-0.1151251063644362,0.0026145106736669248,0.0313741280840031,-0.17661839740908228,-0.053631815319790124,-1.3854843762601299,0.3775750194885245,-2.125531414457638,-0.6454373380626218,0.00024309372122567721,-0.0030569232491776,-0.0366830789901312,0.7698818512886337,monthly_segmented_wls_hac,6,2021,0.0012154686061283861
avg_words_per_sentence,syntax,2021-01-01,83,19,64,23.574300020646767,23.47573810163308,0.48076369930037793,0.020373781990219636,0.24448538388263563,0.2835050147688758,0.11498378422704769,0.05813679768386232,0.5088732318538893,0.013678067956590203,-0.04062869087150939,-0.48754429045811265,0.010668159986883701,0.1280179198426044,-0.7384594133496173,-0.23662916756660798,-1.014103791878634,0.2662803369491083,-1.5360132522988863,-0.49219433145838176,0.00013986515793577945,-0.02025490888128975,-0.24305890657547702,0.7054149636230139,monthly_segmented_wls_hac,6,2021,0.0013986515793577945
word_across_per_1k_words,marker_words,2021-01-01,83,19,64,0.8599126890689025,1.3399728827021524,0.15697371477654506,-0.001465810298350227,-0.017589723580202724,-0.2532214195956013,0.1305192868409879,-0.5090392218039376,0.002596382612734982,0.052366652518024526,0.02531392814471944,0.3037671377366333,0.00707752864971971,0.08493034379663653,0.1373036638952257,0.4702306115780409,1.9351465190783776,0.5410481870645439,0.8746920724318715,2.995600965724884,0.00034800961058724096,0.023848117846369213,0.28617741415643055,0.7995111254445723,monthly_segmented_wls_hac,6,2021,0.0020880576635234458
