feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
marker_words_total_per_1k_words,marker_words,2022-11-30,83,42,41,4.044682766552446,6.044144669219324,0.34558778417719066,0.01657053964928111,0.19884647579137332,-0.41072570544381715,0.1065883769664227,-0.6196389242980056,-0.20181248658962864,0.00011649754405198973,0.08382811644493399,1.0059373973392078,0.005774573762921333,0.069294885155056,0.8701194224352982,1.1417553722431175,2.910801374921982,0.20051312091380794,2.517795657930919,3.3038070919130456,9.488690524542662e-48,0.1003986560942151,1.204783873130581,0.978542615010712,monthly_segmented_wls_hac,6,1.1386428629451195e-46,0.0006989852643119384
word_while_per_1k_words,marker_words,2022-11-30,83,42,41,0.8116252195992718,1.0515018209132165,0.10366222186928684,0.0004457418279475273,0.005348901935370328,-0.1504624136233259,0.037600300580217155,-0.22415900276055153,-0.07676582448610028,6.290816242588341e-05,0.017737422433438677,0.21284906920126412,0.0016452609723341051,0.019743131668009263,0.17415253113196597,0.2515456072705623,2.0532944920827254,0.19045638142798463,1.6799999844838758,2.4265889996815755,4.2363997120989096e-27,0.018183164261386203,0.21819797113663442,0.8859934895925492,monthly_segmented_wls_hac,6,2.5418398272593457e-26,0.0006989852643119384
verb_align_per_1k_words,verbs,2022-11-30,83,42,41,0.02468495338758861,0.09635290845909475,0.014453428929567953,0.00030790512672842704,0.0036948615207411245,-0.003988686721565039,0.007241537421444999,-0.018182100067597236,0.01020472662446716,0.5817662483554333,0.0030544843274779706,0.036653811929735644,0.0002890903704505795,0.003469084445406954,0.02985440641673802,0.043453217442733276,2.535994199601417,0.24001809275237865,2.065558737806755,3.006429661396079,4.2908223544786043e-26,0.0033623894542063977,0.04034867345047677,0.9223061829089673,monthly_segmented_wls_hac,6,3.8617401190307438e-25,0.6544870293998625
word_finding_per_1k_words,marker_words,2022-11-30,83,42,41,0.8772232440134431,1.3265276199435827,0.11846473368613174,0.00361388420950129,0.04336661051401548,-0.07099418500224369,0.03346458579048919,-0.1365847731516025,-0.0054035968528848705,0.03388209363324755,0.018609935963335867,0.22331923156003042,0.0018755746583136363,0.022506895899763638,0.17920571559649368,0.26743274752356716,1.885111497837889,0.189988152587207,1.512734718766963,2.257488276908815,3.3313255119452825e-23,0.022223820172837156,0.2666858420740459,0.9516745155822972,monthly_segmented_wls_hac,6,1.332530204778113e-22,0.05816422492161066
clause_depth,syntax,2022-11-30,83,42,41,12.030083683563443,11.999275985391538,0.1726740020774859,0.010403116060422754,0.12483739272507305,0.12402348403171937,0.06969826403564584,-0.012585113478146476,0.26063208154158524,0.0751685817268535,-0.027543214137127403,-0.33051856964552884,0.0028229841635771438,0.033875809962925725,-0.39691515717286324,-0.26412198211819443,-1.914118892647265,0.19618361510914806,-2.298638778261195,-1.529599007033335,1.7255958345255693e-22,-0.01714009807670465,-0.2056811769204558,0.7242942796525171,monthly_segmented_wls_hac,6,1.7255958345255694e-21,0.09396072715856688
clause_depth_std,syntax,2022-11-30,83,42,41,2.3054466229525437,2.281308058780557,0.04273281095897934,0.0014827960580458743,0.01779355269655049,0.056216676907388685,0.017350889817422447,0.022208932865240692,0.09022442094953667,0.0011953467904421828,-0.006718568185691574,-0.08062281822829889,0.0007219754716471835,0.0086637056597662,-0.09760368132144064,-0.06364195513515714,-1.886672475295188,0.2027413003109667,-2.2840454239046823,-1.4892995266856932,1.3297204750528876e-20,-0.0052357721276457,-0.0628292655317484,0.7479552501117785,monthly_segmented_wls_hac,6,4.432401583509626e-20,0.005976733952210914
sentence_depth_std,syntax,2022-11-30,83,42,41,2.3054466229525437,2.281308058780557,0.04273281095897934,0.0014827960580458743,0.01779355269655049,0.056216676907388685,0.017350889817422447,0.022208932865240692,0.09022442094953667,0.0011953467904421828,-0.006718568185691574,-0.08062281822829889,0.0007219754716471835,0.0086637056597662,-0.09760368132144064,-0.06364195513515714,-1.886672475295188,0.2027413003109667,-2.2840454239046823,-1.4892995266856932,1.3297204750528876e-20,-0.0052357721276457,-0.0628292655317484,0.7479552501117785,monthly_segmented_wls_hac,6,4.432401583509626e-20,0.005976733952210914
em_dash_per_1k_words,punctuation,2022-11-30,83,42,41,0.1165223777980691,0.2555498900530373,0.05641633412315041,-0.0005068632806266307,-0.006082359367519569,-0.10830432732655577,0.03397212562872969,-0.17488969355886597,-0.04171896109424558,0.00143243170587319,0.0129693236653546,0.1556318839842552,0.001624384102379116,0.019492609228549392,0.11742636989629837,0.193837398072212,2.758631633961338,0.34551357388800297,2.081425029140852,3.4358382387818236,1.414957637058364e-15,0.012462460384727968,0.14954952461673562,0.814097179871602,monthly_segmented_wls_hac,6,4.244872911175092e-15,0.00429729511761957
hedge_ratio,other,2022-11-30,83,42,41,0.004391110207375312,0.003845860656919266,0.0003325898520606708,-2.5788103891328274e-05,-0.0003094572466959393,-1.4556549134179739e-05,6.901017157782744e-05,-0.00014981648542672151,0.00012070338715836204,0.8329392522068784,2.2857637201759864e-05,0.00027429164642111837,3.0648944832979892e-06,3.677873379957587e-05,0.00020220532817394966,0.00034637796466828707,0.8247144184395688,0.11058285023340615,0.6079720319820928,1.041456804897045,8.792091705120038e-14,-2.93046668956841e-06,-3.516560027482092e-05,0.80271519898157,monthly_segmented_wls_hac,6,1.7584183410240076e-13,0.8329392522068784
word_across_per_1k_words,marker_words,2022-11-30,83,42,41,0.9161747741748544,1.551640611461049,0.13644880594094086,0.005548108114301363,0.06657729737161636,-0.3367013256732616,0.1058577400662761,-0.5441824962031627,-0.12922015514336047,0.0014692154643125529,0.03581801293564013,0.4298161552276816,0.004798965901870332,0.05758759082244399,0.31694447721569136,0.5426878332396718,3.1500177100393163,0.42204539955717624,2.3228087269072506,3.977226693171382,8.412986637548417e-14,0.041366121049941494,0.4963934525992979,0.9195396699078511,monthly_segmented_wls_hac,6,2.523895991264525e-13,0.0058768618572502115
