dependency_bigram,head_dep,child_dep,pre_count,post_count,pre_proportion,post_proportion,proportion_change,abs_proportion_change,relative_change_pct
prep->pobj,prep,pobj,1286037.0,1447376.0,0.12725569316784235,0.1182317452517004,-0.009023947916141958,0.009023947916141958,-7.091193872355818
pobj->det,pobj,det,337037.0,321698.0,0.03335042231149655,0.02627853162134892,-0.007071890690147627,0.007071890690147627,-21.204801018995813
dobj->amod,dobj,amod,239678.0,356976.0,0.023716572716867494,0.02916028419220092,0.005443711475333426,0.005443711475333426,22.95319623253067
pobj->prep,pobj,prep,314323.0,325894.0,0.031102830823371112,0.026621290105029824,-0.004481540718341288,0.004481540718341288,-14.408787238021416
dobj->compound,dobj,compound,122951.0,181247.0,0.01216622440153696,0.014805516418425441,0.0026392920168884816,0.0026392920168884816,21.693599672179808
ROOT->dobj,ROOT,dobj,159859.0,224736.0,0.015818337928160786,0.01835800061689992,0.0025396626887391333,0.0025396626887391333,16.055180387933603
conj->amod,conj,amod,107495.0,158247.0,0.010636825174607897,0.012926716341051553,0.0022898911664436562,0.0022898911664436562,21.527957156897315
advcl->dobj,advcl,dobj,62609.0,98636.0,0.0061952740811854114,0.008057274975297863,0.0018620008941124516,0.0018620008941124516,30.055181896910913
conj->compound,conj,compound,87607.0,128574.0,0.00866887151097143,0.01050281918035958,0.0018339476693881498,0.0018339476693881498,21.15555256606449
pobj->nummod,pobj,nummod,116619.0,120370.0,0.011539661519490192,0.009832659361456301,-0.0017070021580338907,0.0017070021580338907,-14.792480309329765
amod->npadvmod,amod,npadvmod,54406.0,86441.0,0.005383572356386038,0.0070611024994902735,0.001677530143104235,0.001677530143104235,31.160167116809244
nsubj->prep,nsubj,prep,99067.0,100739.0,0.00980285929180781,0.008229062651937746,-0.0015737966398700638,0.0015737966398700638,-16.054465263877407
conj->conj,conj,conj,98818.0,137870.0,0.009778220290287019,0.011262181159458174,0.0014839608691711546,0.0014839608691711546,15.176185697567224
ROOT->advcl,ROOT,advcl,75754.0,109408.0,0.007495995667493805,0.00893720690718793,0.0014412112396941252,0.0014412112396941252,19.226415057093764
nsubj->amod,nsubj,amod,115348.0,156346.0,0.011413893764739492,0.012771429430308607,0.0013575356655691154,0.0013575356655691154,11.893712115692708
dobj->conj,dobj,conj,46028.0,70941.0,0.004554554064252776,0.005794954621260044,0.0012404005570072676,0.0012404005570072676,27.23429208454832
compound->amod,compound,amod,72659.0,102428.0,0.0071897398052173135,0.008367031927184897,0.0011772921219675835,0.0011772921219675835,16.374613739335445
