year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2019,ROOT->acl,ROOT,acl,130,0.0005289971841072969,0.546514707551572,912,237871.0,245748
2020,ROOT->acl,ROOT,acl,1624,0.00045487749678448666,0.4758907420496356,14066,3412548.0,3570192
2021,ROOT->acl,ROOT,acl,1573,0.0004658743347666941,0.488952106939079,12748,3217084.0,3376447
2022,ROOT->acl,ROOT,acl,1467,0.0005035108469347619,0.5261219362004528,10523,2788327.0,2913542
2023,ROOT->acl,ROOT,acl,1680,0.000548550471704428,0.5700217422578833,11046,2947256.0,3062617
2024,ROOT->acl,ROOT,acl,2293,0.0006359022712776283,0.6584416498083973,12862,3482465.0,3605900
2025,ROOT->acl,ROOT,acl,3062,0.0007336685078663305,0.7609273970393413,15004,4024037.0,4173547
2026,ROOT->acl,ROOT,acl,994,0.0007101055013887778,0.7392720030106369,4849,1344566.0,1399792
2019,ROOT->acomp,ROOT,acomp,945,0.0038454026075491967,3.972741527971043,912,237871.0,245748
2020,ROOT->acomp,ROOT,acomp,14193,0.0039754164481910215,4.159062378023694,14066,3412548.0,3570192
2021,ROOT->acomp,ROOT,acomp,13858,0.0041043143872834375,4.307627652868249,12748,3217084.0,3376447
2022,ROOT->acomp,ROOT,acomp,11224,0.003852355655075506,4.025352837023778,10523,2788327.0,2913542
2023,ROOT->acomp,ROOT,acomp,11525,0.0037631215395199594,3.9104170116203005,11046,2947256.0,3062617
2024,ROOT->acomp,ROOT,acomp,13022,0.0036113036967192658,3.739305348366746,12862,3482465.0,3605900
2025,ROOT->acomp,ROOT,acomp,15336,0.003674572252331171,3.811098158391685,15004,4024037.0,4173547
2026,ROOT->acomp,ROOT,acomp,5163,0.003688405134477122,3.8399007560804006,4849,1344566.0,1399792
2019,ROOT->advcl,ROOT,advcl,1789,0.007279815095138109,7.520883167767403,912,237871.0,245748
2020,ROOT->advcl,ROOT,advcl,26754,0.007493714623751328,7.8398897246280494,14066,3412548.0,3570192
2021,ROOT->advcl,ROOT,advcl,25621,0.007588154056616319,7.9640444576517115,12748,3217084.0,3376447
2022,ROOT->advcl,ROOT,advcl,21590,0.007410224393538861,7.7429942757789885,10523,2788327.0,2913542
2023,ROOT->advcl,ROOT,advcl,24043,0.007850475589993786,8.157757588753741,11046,2947256.0,3062617
2024,ROOT->advcl,ROOT,advcl,31357,0.00869602595745861,9.00425417053725,12862,3482465.0,3605900
2025,ROOT->advcl,ROOT,advcl,40428,0.009686724505558462,10.04662730486822,15004,4024037.0,4173547
2026,ROOT->advcl,ROOT,advcl,13580,0.009701441357001612,10.099913280567856,4849,1344566.0,1399792
2019,ROOT->advmod,ROOT,advmod,2101,0.008549408336995622,8.832518465891175,912,237871.0,245748
2020,ROOT->advmod,ROOT,advmod,30685,0.008594775855192102,8.991814913665683,14066,3412548.0,3570192
2021,ROOT->advmod,ROOT,advmod,28063,0.008311399527373005,8.723116959333359,12748,3217084.0,3376447
2022,ROOT->advmod,ROOT,advmod,24462,0.008395966147047134,8.773002592594054,10523,2788327.0,2913542
2023,ROOT->advmod,ROOT,advmod,25890,0.008453554590730737,8.784442206581307,11046,2947256.0,3062617
2024,ROOT->advmod,ROOT,advmod,30867,0.008560137552344768,8.863549238829393,12862,3482465.0,3605900
2025,ROOT->advmod,ROOT,advmod,33185,0.007951270226500384,8.246693556744134,15004,4024037.0,4173547
2026,ROOT->advmod,ROOT,advmod,10755,0.007683284373678375,7.998863573822334,4849,1344566.0,1399792
2019,ROOT->agent,ROOT,agent,234,0.0009521949313931344,0.9837264735928297,912,237871.0,245748
2020,ROOT->agent,ROOT,agent,3104,0.0008694210283368513,0.9095842754446237,14066,3412548.0,3570192
2021,ROOT->agent,ROOT,agent,2942,0.0008713301289787756,0.9144927518212145,12748,3217084.0,3376447
2022,ROOT->agent,ROOT,agent,2501,0.0008584053361853029,0.8969536212933419,10523,2788327.0,2913542
2023,ROOT->agent,ROOT,agent,2477,0.0008087854276261119,0.8404427711742719,11046,2947256.0,3062617
2024,ROOT->agent,ROOT,agent,2763,0.0007662442108766189,0.7934035230791983,12862,3482465.0,3605900
2025,ROOT->agent,ROOT,agent,3022,0.000724084334020918,0.7509871305855289,15004,4024037.0,4173547
2026,ROOT->agent,ROOT,agent,1105,0.0007894029970166996,0.821826522461523,4849,1344566.0,1399792
2019,ROOT->amod,ROOT,amod,226,0.0009196412585249931,0.9500947992819637,912,237871.0,245748
2020,ROOT->amod,ROOT,amod,3122,0.0008744627739908666,0.9148589265264547,14066,3412548.0,3570192
2021,ROOT->amod,ROOT,amod,3190,0.0009447801194569321,0.99158119589044,12748,3217084.0,3376447
2022,ROOT->amod,ROOT,amod,2657,0.0009119484119329668,0.9529011482512632,10523,2788327.0,2913542
2023,ROOT->amod,ROOT,amod,2691,0.0008786603091408427,0.9130526835809308,11046,2947256.0,3062617
2024,ROOT->amod,ROOT,amod,3668,0.0010172217754236114,1.0532769173559533,12862,3482465.0,3605900
2025,ROOT->amod,ROOT,amod,4502,0.0010786987663011821,1.1187769893765889,15004,4024037.0,4173547
2026,ROOT->amod,ROOT,amod,1626,0.0011616011521711797,1.20931214979406,4849,1344566.0,1399792
2019,ROOT->appos,ROOT,appos,166,0.000675488712013933,0.6978572419504689,912,237871.0,245748
2020,ROOT->appos,ROOT,appos,2480,0.0006946405123309894,0.726729704607818,14066,3412548.0,3570192
2021,ROOT->appos,ROOT,appos,2454,0.0007267995025540161,0.7628025876849968,12748,3217084.0,3376447
2022,ROOT->appos,ROOT,appos,2283,0.0007835823200763881,0.81877053874958,10523,2788327.0,2913542
2023,ROOT->appos,ROOT,appos,2391,0.0007807048677650519,0.811263086749166,11046,2947256.0,3062617
2024,ROOT->appos,ROOT,appos,2931,0.0008128345212013644,0.8416452139504633,12862,3482465.0,3605900
2025,ROOT->appos,ROOT,appos,3570,0.0008553875157030699,0.8871687810027591,15004,4024037.0,4173547
2026,ROOT->appos,ROOT,appos,1290,0.0009215654897299027,0.9594173882129996,4849,1344566.0,1399792
2019,ROOT->attr,ROOT,attr,1147,0.004667382847469766,4.821941304320409,912,237871.0,245748
2020,ROOT->attr,ROOT,attr,16018,0.004486593438112012,4.693853390487108,14066,3412548.0,3570192
2021,ROOT->attr,ROOT,attr,14402,0.004265430495429071,4.4767248850201,12748,3217084.0,3376447
2022,ROOT->attr,ROOT,attr,12991,0.0044588339553711595,4.659066171220233,10523,2788327.0,2913542
2023,ROOT->attr,ROOT,attr,13645,0.0044553399919088806,4.629730162564772,11046,2947256.0,3062617
2024,ROOT->attr,ROOT,attr,15035,0.004169555450788984,4.317344180056368,12862,3482465.0,3605900
2025,ROOT->attr,ROOT,attr,15991,0.003831513099049801,3.9738700215728633,15004,4024037.0,4173547
2026,ROOT->attr,ROOT,attr,4856,0.0034690868357584556,3.6115742923738963,4849,1344566.0,1399792
