feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
adjective_potential_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.8671098476916169,1.0806229243147005,0.8504144566056235,0.1254762941467646,0.0005745710105539326,0.006894852126647191,0.23020846770906891,0.06044156199311006,0.1117430062025732,0.3486739292155646,1.8346769744395168,0.48169706002325813,0.8905507367939308,2.7788032120851027,0.00013965549527250948,0.5625833914699241,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0008379329716350569
coordination_per_sentence_std,syntax,2022-11-30,2023,54,42,12,0.9529991043921826,0.9636516542979886,0.998264413047181,0.02680487162225034,0.001770006534256434,0.02124007841107721,-0.03461275874920111,0.00924211156113602,-0.05272729740902771,-0.016498220089374512,-1.2912861227982737,0.3447922337171082,-1.9670789008838057,-0.6154933447127415,0.00018031208664600547,0.5515811650816171,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0018031208664600546
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023,54,42,12,1.1593807896886485,1.5663642061660397,1.1665884666790713,0.14953685174014253,0.0014951143849345153,0.017941372619214184,0.39977573948695755,0.11760653268399568,0.169266935426326,0.6302845435475891,2.6734262145739653,0.7864719051887376,1.1319412804040399,4.214911148743892,0.0006756728063583446,0.6841974970602525,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0020270184190750336
contrast_marker_alternatively_per_1k_words,contrast_markers,2022-11-30,2023,54,42,12,0.0035771056561138812,0.006302323478626194,0.0019579835583456886,0.0041818583379256815,-0.00010274095604434397,-0.0012328914725321276,0.0043443399202804595,0.0012578835882229046,0.0018788880873635665,0.0068097917531973525,1.03885391833607,0.3007953609559261,0.4492950108624549,1.6284128258096853,0.000552972703138804,0.06272249974565836,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00276486351569402
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023,54,42,12,0.35461665793511005,0.39192065693668676,0.3402168824871532,0.0810152469371113,-6.909617483552382e-05,-0.0008291540980262858,0.05170377444953031,0.015339231947709324,0.021638879832020036,0.08176866906704058,0.638198072637682,0.1893375941891101,0.2670963880270263,1.0092997572483378,0.0007498055830939945,0.20761796594355575,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0037490279154699727
avg_words_per_sentence,syntax,2022-11-30,2023,54,42,12,22.441996103491118,22.184166511589062,22.651809145363128,0.3553950449763483,0.005249089911639873,0.06298907893967848,-0.46764263377425896,0.1427143507226536,-0.74736276119066,-0.1879225063578579,-1.3158389245561395,0.40156539248359896,-2.1029070938239935,-0.5287707552882855,0.0010500048253692096,0.28046380788876135,pretrend_plus_first_post_year_indicator_wls_hac,6,0.005250024126846048
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023,54,42,12,0.14857407552095325,0.23672285969438822,0.19087549250906383,0.039455585588947864,0.0017698033285800724,0.021237639942960868,0.04584736718532294,0.015200313650982521,0.016054752429397197,0.07563998194124869,1.1619994102473925,0.38525124957821866,0.406906961074084,1.9170918594207011,0.002559543059417509,0.6557014179204548,pretrend_plus_first_post_year_indicator_wls_hac,6,0.006398857648543773
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.158944394404131,0.26887017327859136,0.20386772243579707,0.04916303757024631,0.0018549573522735876,0.02225948822728305,0.06500245084279267,0.023300696747122127,0.019333085218433306,0.11067181646715205,1.322181338976753,0.4739474592844079,0.3932443187793135,2.2511183591741926,0.005275342474746733,0.6554372021110977,pretrend_plus_first_post_year_indicator_wls_hac,6,0.008781114786557551
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023,54,42,12,0.1087142175988989,0.17215305756999258,0.09254685679813882,0.040492549357637415,-0.0009628719808718804,-0.011554463770462564,0.07960620077185261,0.028886314824530523,0.022989023715772786,0.13622337782793242,1.9659468725655294,0.7133735781711702,0.5677346593500358,3.3641590857810226,0.0058540765243717,0.3687744868672743,pretrend_plus_first_post_year_indicator_wls_hac,6,0.008781114786557551
certainty_ratio,other,2022-11-30,2023,54,42,12,0.0016563199903681404,0.0015782340246602948,0.001250598316130486,0.00031159180982660633,-1.7387351491665405e-05,-0.00020864821789998487,0.00032763570852979435,0.00011628511712635228,9.971687896214389e-05,0.0005555545380974448,1.051490116868335,0.3731969630108772,0.3200240693670159,1.7829561643696545,0.004839601578763525,0.40781025630790657,pretrend_plus_first_post_year_indicator_wls_hac,6,0.00967920315752705
