feature,family,intervention_date,target_years,n_months,n_pre_months,n_target_period_months,pre_mean,target_period_observed_mean,target_period_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_two_year_excess,first_two_year_excess_se,first_two_year_excess_ci_low,first_two_year_excess_ci_high,standardized_first_two_year_excess,standardized_first_two_year_excess_se,standardized_first_two_year_excess_ci_low,standardized_first_two_year_excess_ci_high,first_two_year_excess_p,r_squared,model,hac_lags,first_two_year_excess_q
adjective_intricate_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.002239959931923457,0.02059633338965829,-0.0007469154548962557,0.004733142703043631,-9.244405139376454e-05,-0.0011093286167251745,0.021343248844554547,0.004232429976196261,0.013047686091209874,0.029638811597899217,4.50931868815826,0.894211360556404,2.7566644214677076,6.261972954848812,4.5879648039425513e-07,0.06103097044028494,strict_pretrend_counterfactual_wls_hac,6,1.752472809659921e-06
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,1.1593807896886485,1.8107988987503247,1.1233823614093252,0.14953685174014253,-0.00012411188390089659,-0.001489342606810759,0.6874165373409994,0.1375828504786348,0.41775415040287517,0.9570789242791236,4.596970775709232,0.9200598305875747,2.7936535077575853,6.400288043660878,5.841576032199736e-07,0.00013823170069870994,strict_pretrend_counterfactual_wls_hac,6,1.752472809659921e-06
adjective_potential_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.8671098476916169,1.2074489222669855,0.8330316510520255,0.1254762941467646,-7.155623869216539e-05,-0.0008586748643059847,0.3744172712149598,0.07753585541126597,0.22244699460887854,0.5263875478210411,2.983968197028667,0.6179323029780859,1.7728208831916188,4.195115510865715,1.372503995536967e-06,6.579722964039636e-05,strict_pretrend_counterfactual_wls_hac,6,2.7450079910739344e-06
adjective_crucial_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.1087142175988989,0.2285759651199353,0.07297993060344302,0.040492549357637415,-0.0013721386633773584,-0.0164656639605283,0.15559603451649232,0.03584910663180561,0.08533178551815332,0.2258602835148313,3.8425843021697745,0.8853259970168811,2.1073453480166875,5.577823256322861,1.422854873296057e-05,0.19791354690359775,strict_pretrend_counterfactual_wls_hac,6,2.1342823099440853e-05
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.158944394404131,0.3185130292534514,0.20565551643135088,0.04916303757024631,0.0015432164582609422,0.018518597499131307,0.11285751282210048,0.02652517180570179,0.06086817608292497,0.164846849561276,2.2955764818405435,0.5395348439933447,1.2380881876135876,3.3530647760674994,2.092990011913734e-05,0.1736554721945911,strict_pretrend_counterfactual_wls_hac,6,2.511588014296481e-05
sequential_marker_additionally_per_1k_words,sequential_markers,2022-11-30,2023-2024,66,42,24,0.14857407552095325,0.2849979077497853,0.19370805495378565,0.039455585588947864,0.0015068989511740076,0.018082787414088093,0.09128985279599962,0.02176040472710477,0.04863945953087427,0.13394024606112498,2.3137371156283475,0.5515164558399104,1.232764862182123,3.394709369074572,2.725975921684235e-05,0.2341649187269219,strict_pretrend_counterfactual_wls_hac,6,0.00013629879608421174
phrase_intricate_interplay_per_1k_words,phrases,2022-11-30,2023-2024,66,42,24,6.53120938404143e-05,0.003914305083037607,-0.00015181925295119054,0.0004232707446498063,-7.233918213310406e-06,-8.680701855972487e-05,0.0040661243359887975,0.0009674805156337304,0.002169862525346686,0.005962386146630909,9.606438402334922,2.2857249830346222,5.126417435587062,14.08645936908278,2.636368476277515e-05,0.023078695210996703,strict_pretrend_counterfactual_wls_hac,6,0.00015192009051740894
marker_phrases_total_per_1k_words,phrases,2022-11-30,2023-2024,66,42,24,0.00026914219027811194,0.003914305083037607,-0.00030228378350182736,0.0008569937299479559,-2.0097194995199892e-05,-0.0002411663399423987,0.004216588866539435,0.001031313672649215,0.0021952140681469738,0.006237963664931897,4.920209704212775,1.2034086558741164,2.5615287386995074,7.278890669726043,4.340574014783112e-05,0.044220345701473485,strict_pretrend_counterfactual_wls_hac,6,0.00015192009051740894
coordination_per_sentence_std,syntax,2022-11-30,2023-2024,66,42,24,0.9529991043921826,0.9574479728273887,1.0137223334167271,0.02680487162225034,0.0018938954115340946,0.022726744938409135,-0.056274360589338504,0.013283067072505395,-0.08230917205144908,-0.03023954912722793,-2.0994079502558023,0.49554675208663607,-3.070679584345609,-1.1281363161659956,2.2698170387707204e-05,0.6184343347177197,strict_pretrend_counterfactual_wls_hac,6,0.00018177026504715807
avg_words_per_sentence,syntax,2022-11-30,2023-2024,66,42,24,22.441996103491118,22.063156060342653,22.740843467411935,0.3553950449763483,0.006939889574951036,0.08327867489941243,-0.677687407069287,0.1641085149572486,-0.9993400963854941,-0.35603471775307977,-1.9068566561314535,0.4617636550565023,-2.8119134200421976,-1.0017998922207092,3.635405300943161e-05,0.08342895842987008,strict_pretrend_counterfactual_wls_hac,6,0.00018177026504715807
word_additionally_per_1k_words,marker_words,2022-11-30,2023-2024,66,42,24,0.14857407552095325,0.2849979077497853,0.19370805495378565,0.039455585588947864,0.0015068989511740076,0.018082787414088093,0.09128985279599962,0.02176040472710477,0.04863945953087427,0.13394024606112498,2.3137371156283475,0.5515164558399104,1.232764862182123,3.394709369074572,2.725975921684235e-05,0.2341649187269219,strict_pretrend_counterfactual_wls_hac,6,0.0003271171106021082
emphasis_marker_notably_per_1k_words,emphasis_markers,2022-11-30,2023-2024,66,42,24,0.05490445195432049,0.13452108454911255,0.0629622114631546,0.023526685116577965,0.00017605614903756718,0.002112673788450806,0.07155887308595797,0.01847159207713355,0.035354552614776213,0.10776319355713973,3.04160457503358,0.7851336465636476,1.502742627768831,4.580466522298329,0.00010706518790607712,0.010119700094649575,strict_pretrend_counterfactual_wls_hac,6,0.0005353259395303856
word_notably_per_1k_words,marker_words,2022-11-30,2023-2024,66,42,24,0.05490445195432049,0.13452108454911255,0.0629622114631546,0.023526685116577965,0.00017605614903756718,0.002112673788450806,0.07155887308595797,0.01847159207713355,0.035354552614776213,0.10776319355713973,3.04160457503358,0.7851336465636476,1.502742627768831,4.580466522298329,0.00010706518790607712,0.010119700094649575,strict_pretrend_counterfactual_wls_hac,6,0.0006423911274364627
verb_garner_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.0030467483469001446,0.0044447501341525935,-0.002110011265717391,0.009669160250949067,-0.0001260699200770496,-0.001512839040924595,0.006554761399869984,0.001750840789294161,0.0031231134528534278,0.009986409346886539,0.6779038954522041,0.18107475146275595,0.32299738258520244,1.0328104083192056,0.00018127293551238325,0.0678574492555103,strict_pretrend_counterfactual_wls_hac,6,0.0008112237239489751
verb_exhibit_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.1391750540986668,0.2987961600450349,0.18212066999509893,0.04576122081744647,0.000947700889433527,0.011372410673202325,0.11667549004993592,0.031546775463165644,0.054843810142131265,0.17850716995774057,2.5496585966398295,0.689377925230929,1.1984778631872088,3.90083933009245,0.0002168843639845828,0.08659527956818369,strict_pretrend_counterfactual_wls_hac,6,0.0008112237239489751
marker_verbs_total_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.3839336555921908,1.0610627994970683,0.5270254137398536,0.09011739895456618,0.0040382237813208115,0.04845868537584974,0.5340373857572147,0.14662839647953674,0.2466457286573227,0.8214290428571067,5.926018637382737,1.6270819861707426,2.7369379444880813,9.115099330277392,0.0002704079079829917,0.31958628551651713,strict_pretrend_counterfactual_wls_hac,6,0.0008112237239489751
certainty_ratio,other,2022-11-30,2023-2024,66,42,24,0.0016563199903681404,0.0017182832262335288,0.0011010349920080873,0.00031159180982660633,-1.8534345309939357e-05,-0.00022241214371927228,0.0006172482342254417,0.0001816431934724119,0.0002612275750195144,0.000973268893431369,1.9809514074485017,0.5829524003647341,0.8383647027336231,3.1235381121633807,0.0006784673843696927,0.4437870378418549,strict_pretrend_counterfactual_wls_hac,6,0.0013569347687393855
verb_delve_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.00018037729966123095,0.009356469946131825,0.0004907775858195066,0.0007279330491685653,8.232513384048528e-06,9.879016060858234e-05,0.008865692360312316,0.0026228334480573687,0.0037249388021198737,0.014006445918504758,12.17926891825915,3.6031245607726308,5.117144779144793,19.241393057373504,0.000724340317685472,0.011220653011675519,strict_pretrend_counterfactual_wls_hac,6,0.0014912675411169745
verb_underscore_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.03418547824462939,0.18734623335316072,0.05190924072337895,0.01765088827596126,0.0004351498271130375,0.00522179792535645,0.1354369926297818,0.04051240287974436,0.05603268298548285,0.21484130227408071,7.673097835774836,2.2952047651289136,3.1744964961221664,12.171699175427506,0.0008284819672872081,0.09969363027227784,strict_pretrend_counterfactual_wls_hac,6,0.0014912675411169745
verb_enhance_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.15965091841442874,0.44152431242415136,0.23297057573404664,0.05269987253737312,0.0022226346190660595,0.026671615428792712,0.2085537366901047,0.066938801177963,0.07735368638129725,0.3397537869989122,3.9573859792963417,1.2701890527437627,1.4678154359185671,6.446956522674117,0.00183578461776889,0.24687255949575326,strict_pretrend_counterfactual_wls_hac,6,0.0022467406661387033
verb_align_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.025281342210665015,0.07643514077409465,0.03570382735472114,0.01411919078561002,0.00033535831430420214,0.004024299771650426,0.04073131341937351,0.013142770824654638,0.014971482603050423,0.0664911442356966,2.884819253302109,0.930844481402537,1.0603640697531365,4.709274436851081,0.0019408195694994115,0.09059306961483404,strict_pretrend_counterfactual_wls_hac,6,0.0022467406661387033
verb_showcase_per_1k_words,verbs,2022-11-30,2023-2024,66,42,24,0.005701439808110269,0.018098854151862923,0.006166455317344469,0.006043021195647358,7.685156546228771e-06,9.222187855474525e-05,0.011932398834518456,0.0038607895959216747,0.004365251226511974,0.01949954644252494,1.9745750425487627,0.6388840070100215,0.7223623888091206,3.226787696288405,0.001997102814345514,0.00022932329572300514,strict_pretrend_counterfactual_wls_hac,6,0.0022467406661387033
coordination_count,syntax,2022-11-30,2023-2024,66,42,24,11.745781239849206,12.8121131002175,13.727606954868403,0.7329300669763237,0.06506336037352958,0.780760324482355,-0.9154938546509013,0.2795610040279935,-1.4634334225457684,-0.3675542867560341,-1.249087594983977,0.38142930222703547,-1.9966890273489661,-0.5014861626189875,0.0010575356755499127,0.747071645670542,strict_pretrend_counterfactual_wls_hac,6,0.0035251189184997093
word_insight_per_1k_words,marker_words,2022-11-30,2023-2024,66,42,24,0.20570297725032133,0.36604730435556043,0.2619395146091185,0.07250201808703649,0.0016580358501204029,0.019896430201444833,0.10410778974644189,0.032149678411579626,0.041094420059745826,0.16712115943313793,1.4359295436640622,0.44343149694102174,0.5668038096596596,2.3050552776684645,0.0012027725831170696,0.15921634635761384,strict_pretrend_counterfactual_wls_hac,6,0.004811090332468278
sequential_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,2023-2024,66,42,24,0.8902971081541241,1.1025332616455308,0.9587933502021128,0.08324840275505913,0.0027202209235709417,0.032642651082851304,0.14373991144341813,0.04384204941435214,0.05780949459128795,0.22967032829554831,1.7266386703699592,0.526641328402998,0.6944216667000832,2.758855674039835,0.001043287209748765,0.1475475259614344,strict_pretrend_counterfactual_wls_hac,6,0.005216436048743825
adjective_pivotal_per_1k_words,adjectives,2022-11-30,2023-2024,66,42,24,0.022372370062078043,0.03566464872029412,0.0124621787774019,0.043261829150016064,-0.00013118938869855078,-0.0015742726643826095,0.023202469942892223,0.008571141555500579,0.006403032494111088,0.04000190739167336,0.536326604740512,0.19812249560181613,0.1480065133609523,0.9246466961200716,0.00678849582802324,0.004199689050565447,strict_pretrend_counterfactual_wls_hac,6,0.00678849582802324
word_meticulously_per_1k_words,marker_words,2022-11-30,2023-2024,66,42,24,0.0006630195869190048,0.004288111647631439,-0.00023374643495622778,0.0015944550909248881,-3.1672433120957046e-05,-0.00038006919745148455,0.004521858082587667,0.0014860704445785495,0.0016091600112137102,0.007434556153961623,2.8359896169698287,0.932024020643022,1.0092225365095058,4.662756697430152,0.0023436555507959783,0.037628218337910746,strict_pretrend_counterfactual_wls_hac,6,0.007030966652387935
sequential_marker_further_per_1k_words,sequential_markers,2022-11-30,2023-2024,66,42,24,0.35461665793511005,0.39614258239947486,0.33911823023727483,0.0810152469371113,-8.910562752096913e-05,-0.0010692675302516295,0.0570243521622001,0.019946428148008243,0.017929352992103943,0.09611935133229627,0.7038718552134474,0.24620585509653273,0.2213083792242433,1.1864353312026517,0.004251457793460329,0.0004231316969016685,strict_pretrend_counterfactual_wls_hac,6,0.010628644483650822
