feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
verb_align_per_1k_words,verbs,2021-01-01,83,19,64,0.02325960240247655,0.07427798000044768,0.016394208377905443,-0.0012866063726291064,-0.015439276471549277,-0.0229303239603197,0.009346694033052437,-0.041249844265102475,-0.004610803655536927,0.01415488832321735,0.003848257398938874,0.04617908878726649,0.00041680611591668037,0.005001673391000164,0.03637580894090617,0.05598236863362681,2.8167928406657485,0.3050878258776401,2.218820701945574,3.414764979385923,2.6382597037704495e-20,0.0025616510263097676,0.03073981231571721,0.8829445182781146,monthly_segmented_wls_hac,6,2021,2.3744337333934047e-19
verb_underscore_per_1k_words,verbs,2021-01-01,83,19,64,0.02486861214215292,0.1608527024746946,0.01809159355659428,0.0008527314691326116,0.01023277762959134,-0.06260255929236608,0.02721352072685279,-0.11594105991699755,-0.00926405866773461,0.02142437038801271,0.005019358578131124,0.06023230293757349,0.000679489501143055,0.00815387401371666,0.04425070987068884,0.07621389600445816,3.3292978171963834,0.450699601901272,2.4459265974698905,4.212669036922877,1.502290630006224e-13,0.005872090047263736,0.07046508056716483,0.8547839759818416,monthly_segmented_wls_hac,6,2021,6.760307835028009e-13
em_dash_per_1k_words,punctuation,2021-01-01,83,19,64,0.12516365832500084,0.2078608746627857,0.0746159081671918,-0.0033821717776387236,-0.04058606133166468,-0.1124850600456453,0.04814030687574361,-0.20684006152210277,-0.018130058569187826,0.019459539485082524,0.01039578925131523,0.12474947101578276,0.0016685962982499662,0.020023155578999596,0.08550408608094355,0.16399485595062196,1.6718883959203008,0.26834968669326825,1.145923010001495,2.1978537818391066,4.656608456316998e-10,0.007013617473676506,0.08416340968411806,0.6532237231825626,monthly_segmented_wls_hac,6,2021,1.3969825368950994e-09
contrast_marker_however_per_1k_words,contrast_markers,2021-01-01,83,19,64,1.1394911458236148,1.141999681294621,0.13895185363263274,-0.01144868081470356,-0.13738416977644274,0.13567318526465771,0.0427533366395886,0.05187664545106406,0.21946972507825135,0.0015066786742939603,0.011365883840020444,0.13639060608024534,0.00247395598946209,0.029687471873545077,0.07820316120809698,0.1945780509523937,0.9815673739829412,0.2136529387512467,0.5628076140304977,1.4003271339353849,4.343829260931717e-06,-8.279697468311677e-05,-0.0009935636961974012,0.11998684376505664,monthly_segmented_wls_hac,6,2021,2.1719146304658587e-05
marker_verbs_total_per_1k_words,verbs,2021-01-01,83,19,64,0.3329400589178871,0.9250017275510292,0.08878213422316741,0.007553989729969699,0.09064787675963638,-0.2281218978373984,0.09028708078049708,-0.40508457616717264,-0.051159219507624115,0.011516329957494813,0.016127603317499694,0.1935312398099963,0.0037079864720791565,0.044495837664949876,0.10631939798669458,0.2807430816332981,2.17984441918828,0.5011800859968382,1.1975314506344776,3.1621573877420834,1.3649591906371699e-05,0.023681593047469394,0.28417911656963274,0.8739598396421411,monthly_segmented_wls_hac,6,2021,4.09487757191151e-05
contrast_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,1.220263227117613,1.227375340540529,0.14073731029697517,-0.010655559643929002,-0.12786671572714803,0.13116679021398744,0.04635587320742578,0.04030927872743292,0.22202430170054197,0.004661185286172516,0.01068333273201024,0.1281999927841229,0.0024681937446293226,0.029618324935551874,0.07014807591044123,0.18625190965780458,0.9109168884470166,0.21045112254208295,0.4984326882645341,1.3234010886294993,1.501956924258933e-05,2.7773088081238517e-05,0.0003332770569748622,0.11247273010075354,monthly_segmented_wls_hac,6,2021,7.509784621294664e-05
avg_words_per_sentence,syntax,2021-01-01,83,19,64,22.27719101485811,22.164997242222228,0.4540713104461026,0.022213749172831653,0.2665649900739798,0.24666149006322424,0.10922872349111981,0.032573192020629416,0.46074978810581907,0.02393251625990677,-0.0416599906033021,-0.49991988723962516,0.010104164532291364,0.12124997438749638,-0.737569837039118,-0.2622699374401323,-1.1009721947605071,0.2670284856102762,-1.6243480265566486,-0.5775963629643658,3.7388608420114984e-05,-0.019446241430470444,-0.23335489716564534,0.7072287748152059,monthly_segmented_wls_hac,6,2021,0.00037388608420114983
word_finding_per_1k_words,marker_words,2021-01-01,83,19,64,0.872731467555725,1.2202597682945648,0.1412403391917451,-0.002794613658712328,-0.033535363904547935,-0.13317138043702234,0.061111981004394446,-0.2529508632056354,-0.01339189766840923,0.02932149053296401,0.019114214539200078,0.22937057447040093,0.00476151353466519,0.05713816241598228,0.11737977613507566,0.3413613728057262,1.6239735459641735,0.4045456329470622,0.8310641053879316,2.4168829865404153,5.9618718417542914e-05,0.01631960088048775,0.19583521056585299,0.9053967103793736,monthly_segmented_wls_hac,6,2021,0.000715424621010515
causal_marker_thus_per_1k_words,causal_markers,2021-01-01,83,19,64,0.21741089475609562,0.19578575807363896,0.08891110218753964,0.007017441804035746,0.08420930164842895,-0.004062334667810264,0.017674969790514115,-0.03870527545721793,0.0305806061215974,0.8182196354736775,-0.010297385402849146,-0.12356862483418975,0.0027659241869992866,0.03319109024399144,-0.18862316171241297,-0.058514087955966534,-1.389799718977133,0.3733064761021821,-2.12148041213741,-0.6581190258168561,0.00019691192670032273,-0.0032799435988133995,-0.0393593231857608,0.769837621401734,monthly_segmented_wls_hac,6,2021,0.0009845596335016137
word_across_per_1k_words,marker_words,2021-01-01,83,19,64,0.87119684167956,1.357178938835427,0.16873811468650268,-0.0015925046481609305,-0.019110055777931165,-0.2585713864449086,0.13585909250157327,-0.5248552077479922,0.007712434858174966,0.05701026581905949,0.026011554918624846,0.31213865902349813,0.0074245594393071625,0.08909471327168594,0.1375130210109937,0.4867642970360026,1.8498408590342394,0.5280058594776549,0.814949374458036,2.884732343610443,0.00045927701387320056,0.024419050270463916,0.293028603245567,0.7992198463286048,monthly_segmented_wls_hac,6,2021,0.0027556620832392036
