feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
marker_words_total_per_1k_words,marker_words,2022-11-30,83,42,41,4.171000659750027,6.22764093243282,0.3714429530855232,0.0180442888967162,0.2165314667605944,-0.4594105161450035,0.1087357252809092,-0.6725325376955855,-0.24628849459442145,2.389205134267986e-05,0.0859168925554303,1.0310027106651636,0.005951679165332416,0.07142014998398899,0.8910192166965452,1.170986204633782,2.775669055236537,0.19227757422966857,2.3988050097463867,3.1525331007266875,3.083190404603884e-47,0.1039611814521465,1.247534177425758,0.978778157261198,monthly_segmented_wls_hac,6,3.6998284855246606e-46,0.00028670461611215835
word_while_per_1k_words,marker_words,2022-11-30,83,42,41,0.8627187470692825,1.1169143960002923,0.10991659365488556,0.00044465881714274036,0.005335905805712885,-0.1615012949926355,0.040151130855152255,-0.24019751146873392,-0.08280507851653707,5.76240442190522e-05,0.018921559905520878,0.22705871886625054,0.0017672990727052764,0.021207588872463316,0.18549184467622243,0.26862559305627864,2.0657364945202543,0.1929425591467161,1.687569078592691,2.443903910447818,9.489742695251584e-27,0.019366218722663617,0.23239462467196342,0.884440973261699,monthly_segmented_wls_hac,6,5.693845617150951e-26,0.0003457442653143132
verb_align_per_1k_words,verbs,2022-11-30,83,42,41,0.025281342210665064,0.10082699494701886,0.014119190785610023,0.00033535831430443205,0.004024299771653184,-0.00431470245105104,0.007848865214868285,-0.019698478272192878,0.011069073370090797,0.58250931614289,0.0031907115594080556,0.03828853871289667,0.00030752261502136767,0.003690271380256412,0.031055606807594102,0.045521470618199236,2.71180829654342,0.26136564313710225,2.1995316359946995,3.2240849570921406,3.2041363096868737e-25,0.0035260698737124875,0.04231283848454985,0.9197949425492471,monthly_segmented_wls_hac,6,2.8837226787181862e-24,0.6553229806607512
clause_depth_std,syntax,2022-11-30,83,42,41,2.2617407334082125,2.23252834633322,0.04009397022517472,0.0010258167309312209,0.012309800771174651,0.0651415862223294,0.018076444796573467,0.029711754421045414,0.1005714180236134,0.00031375240320558143,-0.006389312098497701,-0.07667174518197241,0.0006422657474898745,0.007707188969878494,-0.09177783556293426,-0.06156565480101056,-1.9123011453186236,0.19222813122755314,-2.2890682825246276,-1.5355340081126194,2.5709114841722234e-23,-0.00536349536756648,-0.06436194441079776,0.7681806513226922,monthly_segmented_wls_hac,6,1.2854557420861118e-22,0.001568762016027907
sentence_depth_std,syntax,2022-11-30,83,42,41,2.2617407334082125,2.23252834633322,0.04009397022517472,0.0010258167309312209,0.012309800771174651,0.0651415862223294,0.018076444796573467,0.029711754421045414,0.1005714180236134,0.00031375240320558143,-0.006389312098497701,-0.07667174518197241,0.0006422657474898745,0.007707188969878494,-0.09177783556293426,-0.06156565480101056,-1.9123011453186236,0.19222813122755314,-2.2890682825246276,-1.5355340081126194,2.5709114841722234e-23,-0.00536349536756648,-0.06436194441079776,0.7681806513226922,monthly_segmented_wls_hac,6,1.2854557420861118e-22,0.001568762016027907
clause_depth,syntax,2022-11-30,83,42,41,11.811033132027482,11.781743816000647,0.16558074350212815,0.009065139694390168,0.10878167633268201,0.1562648187116098,0.06921285873634546,0.020607615588372707,0.2919220218348469,0.02396171251097561,-0.025930666642911396,-0.31116799971493675,0.00262906667937726,0.03154880015252712,-0.3730036480138899,-0.2493323514159836,-1.8792523401789014,0.19053423414614412,-2.252699439105344,-1.505805241252459,6.018109986235714e-23,-0.016865526948521226,-0.2023863233822547,0.7081093962327463,monthly_segmented_wls_hac,6,2.0060366620785715e-22,0.034231017872822296
word_finding_per_1k_words,marker_words,2022-11-30,83,42,41,0.9037355090664637,1.383454431063889,0.11271331106778779,0.004578577449777446,0.05494292939732935,-0.08873280481879509,0.034605411181246076,-0.1565594107340374,-0.020906198903552775,0.010343452097511188,0.018941811881406614,0.22730174257687935,0.001926080821808096,0.02311296986169715,0.18200032164795296,0.27260316350580577,2.016636193396679,0.20505980742413468,1.6147189708453755,2.4185534159479833,8.005871903001654e-23,0.02352038933118406,0.2822446719742087,0.9546841561435789,monthly_segmented_wls_hac,6,3.2023487612006613e-22,0.031030356292533562
coordination_per_sentence_std,syntax,2022-11-30,83,42,41,0.9529991043921824,0.951105074035573,0.026804871622250342,0.001893895411537381,0.022726744938448572,-0.015288629911363899,0.005539908680823547,-0.02614685092577805,-0.004430408896949746,0.0057849862032376955,-0.0028823867305687624,-0.03458864076682515,0.00034757530764791564,0.004170903691774988,-0.04276361200270413,-0.02641366953094617,-1.2903863616385916,0.15560244982903707,-1.5953671633035043,-0.9854055599736787,1.1057518976633244e-16,-0.0009884913190313814,-0.011861895828376576,0.569434317323757,monthly_segmented_wls_hac,6,2.7643797441583113e-16,0.01446246550809424
em_dash_per_1k_words,punctuation,2022-11-30,83,42,41,0.11496958911245624,0.26469470107000337,0.0587862257053953,-0.0006699535817998,-0.0080394429815976,-0.11130036534218873,0.03690483698183494,-0.1836338458265852,-0.03896688485779225,0.0025623909640997613,0.0139359902936155,0.167231883523386,0.0017412201396083992,0.02089464167530079,0.12627838583979645,0.20818538120697555,2.844746052612079,0.35543431177251295,2.1480948015379533,3.541397303686204,1.2085557990438247e-15,0.0132660367118157,0.1591924405417884,0.8147031544388244,monthly_segmented_wls_hac,6,3.625667397131474e-15,0.007687172892299284
word_across_per_1k_words,marker_words,2022-11-30,83,42,41,0.9267402957485573,1.5729048696570622,0.14248814474738059,0.005759922349229024,0.06911906819074828,-0.3525618807389712,0.10659303104163312,-0.5614842215805721,-0.1436395398973703,0.0009411559100340843,0.0368007846709803,0.4416094160517636,0.004850532437582631,0.05820638925099157,0.32752489311982014,0.555693938983707,3.0992712890935574,0.40849987452771297,2.2986115350192398,3.899931043167874,3.27503815571975e-14,0.042560707020209324,0.5107284842425119,0.921546448030131,monthly_segmented_wls_hac,6,9.82511446715925e-14,0.0037646236401363367
hedge_ratio,other,2022-11-30,83,42,41,0.0046356831172137776,0.004070485887238822,0.00034329641671909395,-2.6202573020924606e-05,-0.00031443087625109527,-2.5249900809010692e-05,7.120469978709035e-05,-0.0001648111123917078,0.0001143113107736864,0.7228817601809188,2.3049267156935716e-05,0.0002765912058832286,3.1775938079344387e-06,3.813112569521326e-05,0.00020185419952061057,0.0003513282122458466,0.8056920853606008,0.11107347422858327,0.5879880758725774,1.0233960948486238,4.055802937205265e-13,-3.1533058639888895e-06,-3.7839670367866674e-05,0.799080447113738,monthly_segmented_wls_hac,6,6.329731781135954e-13,0.7228817601809188
certainty_ratio,other,2022-11-30,83,42,41,0.0016563199903681892,0.0018252192271954206,0.00031159180982660525,-1.85343453099288e-05,-0.0002224121437191456,9.497038087693659e-05,7.230031767226926e-05,-4.673824176071117e-05,0.00023667900351458435,0.18899629361933545,3.6065216995187865e-05,0.0004327826039422544,5.0138039729684905e-06,6.0165647675621885e-05,0.00031485793449803547,0.0005507072733864733,1.3889408844959354,0.1930912359638172,1.0104820620068535,1.7673997069850171,6.329731781135954e-13,1.7530871685259066e-05,0.0002103704602231088,0.6415075584883362,monthly_segmented_wls_hac,6,6.329731781135954e-13,0.3779925872386709
word_particularly_per_1k_words,marker_words,2022-11-30,83,42,41,0.25389936238212096,0.4669626986092301,0.05287397880382406,0.0007461646375251894,0.008953975650302273,-0.04081243739566648,0.031796150611973786,-0.1031328925951351,0.02150801780380214,0.19929407787506495,0.01048703689728857,0.12584444276746284,0.002143493090856831,0.025721917090281973,0.07542948527051017,0.1762594002644155,2.38008271014326,0.4864759125791695,1.4265899214880877,3.333575498798432,9.956383613462327e-07,0.01123320153481376,0.1347984184177651,0.8469123444531457,monthly_segmented_wls_hac,6,2.3895320672309585e-06,0.19929407787506495
emphasis_marker_particularly_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.25389936238212096,0.4669626986092301,0.05287397880382406,0.0007461646375251894,0.008953975650302273,-0.04081243739566648,0.031796150611973786,-0.1031328925951351,0.02150801780380214,0.19929407787506495,0.01048703689728857,0.12584444276746284,0.002143493090856831,0.025721917090281973,0.07542948527051017,0.1762594002644155,2.38008271014326,0.4864759125791695,1.4265899214880877,3.333575498798432,9.956383613462327e-07,0.01123320153481376,0.1347984184177651,0.8469123444531457,monthly_segmented_wls_hac,6,4.978191806731163e-06,0.24911759734383118
sequential_marker_furthermore_per_1k_words,sequential_markers,2022-11-30,83,42,41,0.17963849811159555,0.19001401206603158,0.04626713087929167,0.0012565680076403192,0.015078816091683829,0.04473461972537865,0.018824764674206962,0.007838080963933007,0.08163115848682428,0.017483886575694295,-0.004069566332330008,-0.0488347959879601,0.0008365438167409923,0.010038525800891908,-0.06851030655770823,-0.029159285418211965,-1.055496527661664,0.21696884181303255,-1.4807554576152075,-0.6302375977081202,1.1460863423139535e-06,-0.002812998324689689,-0.03375597989627627,0.4011237745183184,monthly_segmented_wls_hac,6,5.7304317115697675e-06,0.029139810959490493
avg_words_per_sentence,syntax,2022-11-30,83,42,41,22.441996103491118,21.933234547265847,0.35539504497634783,0.006939889575035186,0.08327867490042223,-0.2938093069517542,0.12143788712537,-0.5318275657174794,-0.055791048186029035,0.015545260675306982,-0.02718296630176359,-0.32619559562116307,0.0058667150626848475,0.07040058075221817,-0.46418073389551073,-0.18821045734681546,-0.9178394584619827,0.19809105880163144,-1.3060979337131804,-0.5295809832107851,3.596704124988669e-06,-0.020243076726728405,-0.24291692072074086,0.711686014394188,monthly_segmented_wls_hac,6,7.193408249977337e-06,0.031090521350613964
emphasis_markers_total_per_1k_words,discourse_marker_totals,2022-11-30,83,42,41,0.3982134011526971,0.6800855366609435,0.06419479280230028,-2.0574397623856814e-05,-0.0002468927714862818,-0.000857288149670607,0.051384586056251944,-0.10157107681992442,0.0998565005205832,0.9866889022534572,0.013195348000934127,0.15834417601120954,0.0028028685005458344,0.033634422006550015,0.0924207088783715,0.22426764314404757,2.466620252188673,0.5239431508118334,1.4396916765974794,3.4935488277798665,2.5040299008621996e-06,0.01317477360331027,0.15809728323972325,0.8526933799050599,monthly_segmented_wls_hac,6,1.2520149504310999e-05,0.9866889022534572
emphasis_marker_crucially_per_1k_words,emphasis_markers,2022-11-30,83,42,41,0.0064330271523612625,0.007909213521531441,0.009880452930953344,-0.00010597220040599987,-0.0012716664048719984,-0.003223213885621052,0.0024724926646786495,-0.008069299508391206,0.001622871737149101,0.19236000508778142,0.00046904646175887146,0.0056285575411064576,0.00011006511792761595,0.0013207814151313915,0.0030398259674489303,0.008217289114763984,0.569665943498743,0.13367620132004943,0.3076605889114462,0.8316712980860398,2.030266455078033e-05,0.0003630742613528716,0.004356891136234459,0.2453613340530011,monthly_segmented_wls_hac,6,5.0756661376950825e-05,0.24911759734383118
verb_exhibit_per_1k_words,verbs,2022-11-30,83,42,41,0.13917505409866682,0.33451167140747284,0.04576122081744647,0.0009477008894343516,0.011372410673212218,0.03700061852385274,0.03016948637778346,-0.02213157477660284,0.09613281182430831,0.22003870571462447,0.0052201512756898175,0.06264181530827781,0.0012068012503583013,0.014481615004299616,0.03425784989985056,0.09102578071670506,1.368884269022727,0.31646041660624796,0.7486218524744811,1.989146685570973,1.5211049901777752e-05,0.006167852165124169,0.07401422598149003,0.8564491405944721,monthly_segmented_wls_hac,6,6.844972455799988e-05,0.3300580585719367
