feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
marker_adjectives_total_per_1k_words,adjectives,2021-01-01,83,19,64,1.2040310016719318,1.4969680181806835,-0.01526306144385179,-0.18315673732622148,0.019973260729263004,0.10775691982489868,-0.19123030212753842,0.23117682358606442,0.8529507700217484,0.028315889792118132,0.3397906775054176,0.008678548997071685,0.10414258796486023,0.13567120509429154,0.5439101499165436,0.0011033886782788405,0.013052828348266342,0.1566339401791961,0.5534700010786253,monthly_segmented_wls_hac,6,2021,0.006620332069673043
adjective_potential_per_1k_words,adjectives,2021-01-01,83,19,64,0.904064938032089,1.03347064968912,-0.011076275375751513,-0.13291530450901817,0.02876555955770589,0.06400110975232952,-0.09667661555685995,0.15420773467227172,0.6531041305581413,0.017959926661835657,0.21551911994202788,0.00613289953530405,0.07359479442364861,0.07127332287167663,0.3597649170123791,0.0034065000383574004,0.0068836512860841435,0.08260381543300972,0.4982385334119739,monthly_segmented_wls_hac,6,2021,0.010219500115072201
adjective_comprehensive_per_1k_words,adjectives,2021-01-01,83,19,64,0.16106790840995924,0.27010197242425144,-0.0018416127197992882,-0.022099352637591458,-0.0021332700014316773,0.02179508114716431,-0.04485162904987372,0.04058508904701037,0.922028766997904,0.0059386770026435215,0.07126412403172226,0.0021942431919190655,0.026330918303028784,0.019655524157785834,0.12287272390565868,0.0068000520670437,0.004097064282844233,0.0491647713941308,0.7146170207787654,monthly_segmented_wls_hac,6,2021,0.013600104134087401
adjective_pivotal_per_1k_words,adjectives,2021-01-01,83,19,64,0.030393498603873772,0.025105823386839345,-0.0019679005327433276,-0.02361480639291993,0.01227819161681562,0.006428673202027481,-0.00032200785915824197,0.024878391092789484,0.05614471452554583,0.0021979058488653964,0.026374870186384756,0.0010863953634196897,0.013036744361036277,0.0008228512387536569,0.05192688913401585,0.043060998917931116,0.00023000531612206877,0.002760063793464825,0.0973323286443778,monthly_segmented_wls_hac,6,2021,0.06459149837689668
adjective_crucial_per_1k_words,adjectives,2021-01-01,83,19,64,0.1055572124769109,0.1585255336664435,-0.0005392865400735278,-0.0064714384808823334,-0.01854653934494747,0.02431383951469761,-0.06620166479375479,0.029108586103859847,0.44558409017869477,0.002190582865351524,0.026286994384218287,0.002646380267152606,0.03175656320583127,-0.03595586949921101,0.08852985826764757,0.4078031922922433,0.001651296325277996,0.019815555903335953,0.23559412795295098,monthly_segmented_wls_hac,6,2021,0.48936383075069195
adjective_intricate_per_1k_words,adjectives,2021-01-01,83,19,64,0.0029474441490987932,0.009764039014029073,0.00016201372451586809,0.001944164694190417,-0.0003906810988793816,0.0034150952004451695,-0.0070842676917519136,0.00630290549399315,0.9089220583942139,2.8797413422037197e-05,0.0003455689610644464,0.0002127508491440922,0.002553010189729106,-0.004658331010804602,0.005349468932933496,0.8923292607310077,0.00019081113793790528,0.0022897336552548633,0.15867304059428466,monthly_segmented_wls_hac,6,2021,0.8923292607310077
causal_marker_thus_per_1k_words,causal_markers,2021-01-01,83,19,64,0.20428683077774912,0.1835755069084144,0.006536835614525416,0.078442027374305,-0.0045493569949687975,0.016673557798920664,-0.0372295302808533,0.028130816290915704,0.7849695947361925,-0.009593758863703016,-0.1151251063644362,0.0026145106736669248,0.0313741280840031,-0.17661839740908228,-0.053631815319790124,0.00024309372122567721,-0.0030569232491776,-0.0366830789901312,0.7698818512886337,monthly_segmented_wls_hac,6,2021,0.0012154686061283861
causal_marker_thereby_per_1k_words,causal_markers,2021-01-01,83,19,64,0.05014954452511878,0.05561620331630679,-0.001385819839191766,-0.01662983807030119,0.00563657826976259,0.006685801522533797,-0.007467592714403654,0.018740749253928834,0.3991910038141008,0.001916198913577959,0.022994386962935508,0.001087582368139691,0.013050988417676292,-0.0025855503357100247,0.04857432426158104,0.07808813079169294,0.000530379074386193,0.0063645488926343165,0.31341645655685846,monthly_segmented_wls_hac,6,2021,0.19522032697923236
causal_marker_accordingly_per_1k_words,causal_markers,2021-01-01,83,19,64,0.02909457549620621,0.01602601681259134,-0.0004964222714487965,-0.005957067257385559,0.000733095924197533,0.0038292560764137474,-0.006772245985573412,0.008238437833968477,0.8481761498603567,0.00031051074524958845,0.0037261289429950614,0.00044140091999231654,0.005296811039907799,-0.006655620695224224,0.014107878581214347,0.48176509791617766,-0.0001859115261992081,-0.002230938314390497,0.18640154202875914,monthly_segmented_wls_hac,6,2021,0.611017633157051
causal_marker_consequently_per_1k_words,causal_markers,2021-01-01,83,19,64,0.028275771089281358,0.030496228511420205,-0.00044390243679360273,-0.005326829241523233,0.012015279375606779,0.003120411383896178,0.00589927306317027,0.018131285688043286,0.00011785605536058853,0.00017151227622893395,0.0020581473147472072,0.00033721011293720164,0.00404652135524642,-0.005873034541535775,0.009989329171030192,0.611017633157051,-0.0002723901605646688,-0.0032686819267760256,0.1556432074794759,monthly_segmented_wls_hac,6,2021,0.611017633157051
