feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,83,42,41,0.16576846796135722,0.3264522156235199,0.001345002346188249,0.016140028154258988,0.09435436379953319,0.04548981664782897,0.005194323169788406,0.18351440442927797,0.03806199306560957,0.0009698436646814056,0.011638123976176867,0.0016827414043594751,0.0201928968523137,-0.02793995385435799,0.05121620180671173,0.5643803775870888,0.0023148460108696547,0.027778152130435857,0.7441218706755294,monthly_segmented_wls_hac,6,0.9217456917026661,0.04757749133201196
adjective_crucial_per_1k_words,adjectives,2022-11-30,83,42,41,0.10323193441150469,0.19062146210806089,-0.001198379312756951,-0.014380551753083413,0.11900127590216225,0.05108386362804257,0.01887690319119882,0.21912564861312567,0.019831126738160232,0.00043211050700646576,0.005185326084077589,0.0018747029106969664,0.022496434928363597,-0.03890768637551506,0.04927833854367023,0.817706792064716,-0.0007662688057504853,-0.009195225669005824,0.3953442257564459,monthly_segmented_wls_hac,6,0.9217456917026661,0.03489633907190296
adjective_intricate_per_1k_words,adjectives,2022-11-30,83,42,41,0.0021121980711544088,0.014443600408347622,-8.604043684794331e-05,-0.0010324852421753198,0.019329185246601575,0.008370859055290007,0.0029223014982331617,0.03573606899496999,0.020937803443141778,-0.00016990591310542952,-0.002038870957265154,0.0002827001296727265,0.003392401556072718,-0.00868797800716768,0.004610236092637372,0.547832599774788,-0.0002559463499533728,-0.0030713561994404736,0.351832210154311,monthly_segmented_wls_hac,6,0.9217456917026661,0.03489633907190296
adjective_pivotal_per_1k_words,adjectives,2022-11-30,83,42,41,0.022498204550663897,0.03022742875862039,-0.00015396642424102286,-0.0018475970908922743,0.020964869658132504,0.012059148065381945,-0.0026710605500161085,0.04460079986628111,0.08212215523767114,-4.115414327960233e-05,-0.0004938497193552279,0.0004189356513949345,0.005027227816739214,-0.010347216240164088,0.009359516801453633,0.9217456917026661,-0.00019512056752062518,-0.0023414468102475024,0.13082149624227102,monthly_segmented_wls_hac,6,0.9217456917026661,0.08212215523767114
adjective_potential_per_1k_words,adjectives,2022-11-30,83,42,41,0.8625992309108923,1.1485411635233143,-0.0011821964313744077,-0.014186357176492893,0.33229832625593425,0.10889115334426602,0.11887166570117286,0.5457249868106957,0.002275828605291119,0.0015879252391338174,0.01905510286960581,0.004141629130071661,0.04969954956085993,-0.07835601426967967,0.11646622000889129,0.701418794488008,0.00040572880775940966,0.004868745693112916,0.6151073445489158,monthly_segmented_wls_hac,6,0.9217456917026661,0.011379143026455596
marker_words_total_per_1k_words,marker_words,2022-11-30,83,42,41,4.044682766552446,6.044144669219324,0.01657053964928111,0.19884647579137332,-0.41072570544381715,0.1065883769664227,-0.6196389242980056,-0.20181248658962864,0.00011649754405198973,0.08382811644493399,1.0059373973392078,0.005774573762921333,0.069294885155056,0.8701194224352982,1.1417553722431175,9.488690524542662e-48,0.1003986560942151,1.204783873130581,0.978542615010712,monthly_segmented_wls_hac,6,2.5619464416265188e-46,0.0015727168447018615
word_while_per_1k_words,marker_words,2022-11-30,83,42,41,0.8116252195992718,1.0515018209132165,0.0004457418279475273,0.005348901935370328,-0.1504624136233259,0.037600300580217155,-0.22415900276055153,-0.07676582448610028,6.290816242588341e-05,0.017737422433438677,0.21284906920126412,0.0016452609723341051,0.019743131668009263,0.17415253113196597,0.2515456072705623,4.2363997120989096e-27,0.018183164261386203,0.21819797113663442,0.8859934895925492,monthly_segmented_wls_hac,6,5.719139611333527e-26,0.0015727168447018615
word_finding_per_1k_words,marker_words,2022-11-30,83,42,41,0.8772232440134431,1.3265276199435827,0.00361388420950129,0.04336661051401548,-0.07099418500224369,0.03346458579048919,-0.1365847731516025,-0.0054035968528848705,0.03388209363324755,0.018609935963335867,0.22331923156003042,0.0018755746583136363,0.022506895899763638,0.17920571559649368,0.26743274752356716,3.3313255119452825e-23,0.022223820172837156,0.2666858420740459,0.9516745155822972,monthly_segmented_wls_hac,6,2.9981929607507543e-22,0.07634054520961399
word_across_per_1k_words,marker_words,2022-11-30,83,42,41,0.9161747741748544,1.551640611461049,0.005548108114301363,0.06657729737161636,-0.3367013256732616,0.1058577400662761,-0.5441824962031627,-0.12922015514336047,0.0014692154643125529,0.03581801293564013,0.4298161552276816,0.004798965901870332,0.05758759082244399,0.31694447721569136,0.5426878332396718,8.412986637548417e-14,0.041366121049941494,0.4963934525992979,0.9195396699078511,monthly_segmented_wls_hac,6,5.678765980345181e-13,0.009917204384109733
sequential_marker_furthermore_per_1k_words,marker_words,2022-11-30,83,42,41,0.16854459553301923,0.1786926077237963,0.0011706964851229073,0.014048357821474887,0.04261820287364115,0.017726506181739245,0.007874250757432234,0.07736215498985008,0.016207561306353615,-0.0038101447100116668,-0.04572173652014,0.0007786693196912143,0.009344031836294571,-0.06403603891927737,-0.02740743412100264,9.923540831341035e-07,-0.0026394482248887595,-0.031673378698665114,0.40237448920033414,monthly_segmented_wls_hac,6,4.465593374103466e-06,0.04376041552715476
