feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
adjective_potential_per_1k_words,adjectives,2021-01-01,83,19,64,0.791239179262149,1.2113009439658389,-0.02531631425360179,-0.3037957710432215,0.23766804254787366,0.15528192810728034,-0.06668453654239581,0.5420206216381431,0.12587859657076844,0.037939100420934485,0.4552692050512138,0.009349949953518358,0.1121993994422203,0.23535838214446203,0.6751800279579656,4.956271696378159e-05,0.012622786167332697,0.15147343400799235,0.1820159773562583,monthly_segmented_wls_hac,6,2021,0.0002973763017826895
marker_adjectives_total_per_1k_words,adjectives,2021-01-01,83,19,64,1.0988879929660402,1.594711227020441,-0.04602849854861146,-0.5523419825833376,0.3070493177253783,0.2307857401067117,-0.14529073288377664,0.7593893683345332,0.1833694366882173,0.06458328018758543,0.7749993622510252,0.018547123765476847,0.22256548518572217,0.3387710112870097,1.2112277132150406,0.0004974637585117083,0.018554781638973963,0.22265737966768756,0.23105660328506594,monthly_segmented_wls_hac,6,2021,0.0014923912755351247
adjective_comprehensive_per_1k_words,adjectives,2021-01-01,83,19,64,0.1967510681174361,0.21626833384462785,-0.016079189096741393,-0.19295026916089672,0.044430378446502675,0.06978785983037782,-0.09235382682103783,0.1812145837140432,0.5243534324863797,0.019765330301399733,0.23718396361679678,0.008806971280235618,0.10568365536282742,0.030043999105655042,0.4443239281279386,0.024814239705509576,0.0036861412046583393,0.04423369445590007,0.08205621538350005,monthly_segmented_wls_hac,6,2021,0.049628479411019145
adjective_crucial_per_1k_words,adjectives,2021-01-01,83,19,64,0.11089774558645496,0.13218332611119604,-0.004632995198268669,-0.05559594237922402,0.0002763151799507965,0.08957631955400568,-0.17529327114590032,0.17584590150580193,0.9975387773525413,0.006562417417629318,0.07874900901155182,0.00675744426198335,0.08108933114380021,-0.08018608003029658,0.2376840980534002,0.33147908325999,0.0019294222193606495,0.023153066632327794,0.02692630747983027,monthly_segmented_wls_hac,6,2021,0.397774899911988
adjective_intricate_per_1k_words,adjectives,2021-01-01,83,19,64,0.0,0.010532790683957297,1.0038986756280478e-16,1.2046784107536574e-15,0.0018733320573605088,0.005352923045266279,-0.008618397111361399,0.012365061226082417,0.7263654772367589,0.00026644488081823905,0.0031973385698188684,0.00024188807272803884,0.002902656872736466,-0.002491868900744605,0.008886546040382342,0.2706698097533479,0.00026644488081833945,0.003197338569820073,0.014162924479380834,monthly_segmented_wls_hac,6,2021,0.397774899911988
adjective_pivotal_per_1k_words,adjectives,2021-01-01,83,19,64,0.0,0.02442583241482072,2.8102597800216103e-16,3.3723117360259324e-15,0.022801249493690535,0.013601539888187299,-0.0038577686871565688,0.049460267674537636,0.09366522224776525,4.998716680365041e-05,0.0005998460016438049,0.0004474384751695662,0.005369261702034795,-0.009923906934344391,0.011123598937632002,0.9110465898731621,4.9987166803931434e-05,0.0005998460016471772,0.020613869575682897,monthly_segmented_wls_hac,6,2021,0.9110465898731621
causal_marker_thereby_per_1k_words,causal_markers,2021-01-01,83,19,64,0.03627622787882989,0.04833930443647416,-0.004060376620989991,-0.048724519451879895,0.020243371918380708,0.020631443043399658,-0.020194256446682622,0.06068100028344404,0.32649890358960754,0.004933087212626339,0.05919704655151607,0.001549809971847247,0.018597719662166966,0.022745516013668823,0.09564857708936333,0.001457439491397119,0.000872710591636348,0.010472527099636177,0.021559845908274533,monthly_segmented_wls_hac,6,2021,0.007287197456985595
causal_marker_accordingly_per_1k_words,causal_markers,2021-01-01,83,19,64,0.015322148165172756,0.016222652124588607,-0.004085906177377756,-0.049030874128533075,0.0343362816968646,0.01884102920388572,-0.0025921355427514156,0.0712646989364806,0.06839117553371937,0.004188594726884151,0.05026313672260982,0.002100482342475075,0.0252057881097009,0.0008597920275960486,0.09966648141762358,0.046139936701759095,0.00010268854950639533,0.001232262594076744,0.028660099848378917,monthly_segmented_wls_hac,6,2021,0.07689989450293182
causal_marker_thus_per_1k_words,causal_markers,2021-01-01,83,19,64,0.16450009777085428,0.20202919283432869,0.007378443551151912,0.08854132261382294,0.051679747591586375,0.08703930086280454,-0.11891728209951051,0.22227677728268325,0.5526780851032282,-0.009857109535413033,-0.11828531442495639,0.004682691500871545,0.05619229801045854,-0.22842221852545513,-0.00814841032445765,0.035290491521432106,-0.002478665984261121,-0.029743991811133453,0.03961980489977668,monthly_segmented_wls_hac,6,2021,0.07689989450293182
causal_marker_consequently_per_1k_words,causal_markers,2021-01-01,83,19,64,0.026519060574788127,0.03954555906175174,0.0010841125392205017,0.013009350470646022,-0.01731931171996158,0.03216351231600124,-0.080359795859324,0.04572117241940084,0.5902477775608,-0.00045061108217617544,-0.005407332986114105,0.001995662650281745,0.02394795180338094,-0.05234531852074075,0.041530652548512535,0.8213606969135839,0.0006335014570443263,0.0076020174845319154,0.016071223636032084,monthly_segmented_wls_hac,6,2021,0.9170287000382327
causal_marker_hence_per_1k_words,causal_markers,2021-01-01,83,19,64,0.029005498537217574,0.047217281469357525,-0.001256706404794486,-0.015080476857533831,0.06294817163419454,0.03235694999961348,-0.00047145036504787907,0.12636779363343698,0.05172328269285658,0.00022821314144366804,0.002738557697324016,0.002190623920292571,0.026287487043510853,-0.04878491690795725,0.054262032302605276,0.9170287000382328,-0.0010284932633508178,-0.012341919160209814,0.024735194347439093,monthly_segmented_wls_hac,6,2021,0.9170287000382327
contrast_marker_conversely_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.0,0.023981566391694964,1.8247187443871498e-16,2.18966249326458e-15,-0.008936164692126528,0.00948411360778508,-0.02752502736338528,0.009652697979132227,0.3460776865214242,0.0010128532641173757,0.012154239169408509,0.00042094331186793546,0.005051319742415225,0.0022536524742746665,0.02205482586454235,0.016121589804176613,0.0010128532641175583,0.0121542391694107,0.10946394770123102,monthly_segmented_wls_hac,6,2021,0.026869316340294352
contrast_marker_however_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.9133811287731398,1.0796149481866664,-0.02822891578713925,-0.338746989445671,0.33040195966996666,0.18545588824448353,-0.03309158128922107,0.6938955006291544,0.07481998495706899,0.030994826612612915,0.371937919351355,0.012267951477626035,0.14721541773151242,0.08339570059759063,0.6604801381051193,0.011520947340544329,0.002765910825473665,0.03319092990568398,0.05513707005278479,monthly_segmented_wls_hac,6,2021,0.026869316340294352
contrast_marker_nevertheless_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.0,0.00942714522677758,1.576699862425468e-16,1.8920398349105616e-15,0.025423469050919578,0.009217465488357493,0.007357236693738892,0.04348970140810027,0.005812340900394786,-0.0004921945792045797,-0.005906334950454957,0.0001881423015610543,0.0022577076187326513,-0.010331441883170953,-0.00148122801773896,0.008894673022774023,-0.0004921945792044221,-0.005906334950453065,0.05615918134936948,monthly_segmented_wls_hac,6,2021,0.026869316340294352
contrast_marker_alternatively_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.0,0.0036295005807200926,4.1668970407552483e-17,5.000276448906298e-16,0.002765333775786573,0.0032002114488915317,-0.0035070806640408294,0.009037748215613976,0.3875276273480963,2.6589747844053793e-05,0.00031907697412864554,6.657942921349915e-05,0.0007989531505619898,-0.0012468712009728548,0.0018850251492301454,0.6896214675583916,2.6589747844095463e-05,0.00031907697412914557,0.003910088894844899,monthly_segmented_wls_hac,6,2021,0.6896214675583916
contrast_marker_nonetheless_per_1k_words,contrast_markers,2021-01-01,83,19,64,0.0,0.02471425444577048,2.7003391470419033e-16,3.240406976450284e-15,0.018857589448577645,0.01600408184907365,-0.01251041097560671,0.050225589872762,0.2386775306710583,0.00018020507683636985,0.0021624609220364382,0.00045015512900966644,0.005401861548115997,-0.008425187712270917,0.012750109556343793,0.688922514893014,0.00018020507683663987,0.0021624609220396787,0.01727791180766014,monthly_segmented_wls_hac,6,2021,0.6896214675583916
summary_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.4554012728181201,0.6107945319085024,0.05764969421490247,0.6917963305788297,-0.29817566332998924,0.16124916482109372,-0.6142240263793329,0.017872699719354457,0.06443457150035051,-0.059658258076866186,-0.7158990969223942,0.00837561425896229,0.10050737110754748,-0.9128935442931873,-0.5189046495516012,1.0571656939436212e-12,-0.0020085638619637136,-0.024102766343564563,0.12164650502920749,monthly_segmented_wls_hac,6,2021,5.285828469718106e-12
emphasis_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.4075784822237785,0.5157065865422473,-0.01830320571027453,-0.21963846852329436,-0.045724719026478185,0.1365470939467559,-0.3133570231621197,0.22190758510916336,0.7377276080438155,0.028105718779119722,0.3372686253494367,0.00720345359965993,0.08644144319591915,0.16784339668543513,0.5066938540134382,9.551928185759354e-05,0.009802513068845192,0.11763015682614231,0.16273825474723058,monthly_segmented_wls_hac,6,2021,0.00023879820464398386
contrast_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.9133811287731398,1.1413674148316295,-0.028228915787138594,-0.3387469894456631,0.36851218725312385,0.18358668910172052,0.00868227661375165,0.728342097892496,0.04471852546767658,0.03172228012220613,0.3806673614664736,0.012270860787895306,0.14725032945474367,0.09205671573517599,0.6692780071977712,0.00973305588574723,0.0034933643350675385,0.04192037202081046,0.07564902994074185,monthly_segmented_wls_hac,6,2021,0.016221759809578715
