feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
adjective_comprehensive_per_1k_words,adjectives,2022-11-30,83,42,41,0.16022897509307185,0.2646299196677671,-0.004235053151839426,-0.05082063782207312,0.120061488280118,0.08925021960332848,-0.05486894214240581,0.29499191870264185,0.17855308573317458,0.007623531528377463,0.09148237834052955,0.003658774274873916,0.04390529129848699,0.005428007395495059,0.17753674928556404,0.03719384379574472,0.0033884783765380363,0.04066174051845643,0.07348165397235629,monthly_segmented_wls_hac,6,0.2231630627744683,0.2628196870951926
marker_adjectives_total_per_1k_words,adjectives,2022-11-30,83,42,41,1.1335549345924676,1.8373434912873006,-0.002986378817272108,-0.035836545807265294,0.4250353603566055,0.27718909570034117,-0.11825526721606316,0.9683259879292742,0.12518301337044418,0.01917561510738535,0.2301073812886242,0.012246389259192764,0.1469566711103132,-0.05792769408758959,0.518142456664838,0.11739126218992435,0.01618923629011324,0.1942708354813589,0.22182432724012158,monthly_segmented_wls_hac,6,0.35217378656977305,0.2628196870951926
adjective_pivotal_per_1k_words,adjectives,2022-11-30,83,42,41,0.006901311249137336,0.031058492733774586,0.00016441013752917499,0.0019729216503501,0.04226677432633688,0.03438705680463279,-0.025131857010743386,0.10966540566341715,0.2190164059126605,-0.0011872673118647969,-0.014247207742377564,0.000936155535251948,0.011233866423023377,-0.03626558593150338,0.007771170446748255,0.20471324198916704,-0.001022857174335622,-0.012274286092027464,0.04284168987391801,monthly_segmented_wls_hac,6,0.3971445293375933,0.2628196870951926
adjective_potential_per_1k_words,adjectives,2022-11-30,83,42,41,0.8623286368131053,1.3741220017961977,0.0018285726690651016,0.02194287202878122,0.23755783695666496,0.18409536997581313,-0.12326908819592877,0.5983847621092587,0.19690960375180297,0.009445226774298897,0.11334272129158676,0.008469505952760878,0.10163407143313052,-0.08586005871734909,0.3125455013005226,0.26476301955839554,0.011273799443364,0.135285593320368,0.17505748888803763,monthly_segmented_wls_hac,6,0.3971445293375933,0.2628196870951926
adjective_crucial_per_1k_words,adjectives,2022-11-30,83,42,41,0.10409601143715312,0.15109164772923803,-0.0007443084720270181,-0.008931701664324217,0.0016359616295530538,0.07813715075250713,-0.1515128538453609,0.15478477710446703,0.9832958694537863,0.003630879821507659,0.043570557858091906,0.0038907447678062095,0.046688937213674515,-0.047939759080710145,0.13508087479689396,0.3507118316207761,0.0028865713494806407,0.03463885619376769,0.02609079465190023,monthly_segmented_wls_hac,6,0.4208541979449313,0.9832958694537863
adjective_intricate_per_1k_words,adjectives,2022-11-30,83,42,41,0.0,0.016441429360323587,5.4368051551725105e-17,6.524166186207012e-16,0.023513299163932324,0.018536529964943836,-0.012818299567357593,0.05984489789522224,0.20462501679504236,-0.0003367557049338725,-0.00404106845920647,0.0005881323463412483,0.00705758815609498,-0.01787394124515263,0.00979180432673969,0.5669257812579602,-0.00033675570493381813,-0.0040410684592058176,0.027913978819576024,monthly_segmented_wls_hac,6,0.5669257812579602,0.2628196870951926
causal_marker_hence_per_1k_words,causal_markers,2022-11-30,83,42,41,0.04022728475984113,0.045938159178846055,0.0008747408651431322,0.010496890381717586,0.06980491674223727,0.03851387943067953,-0.005682286941894613,0.14529212042636913,0.06991494541344856,-0.004780751820317701,-0.05736902184381241,0.0012224538943742605,0.014669446732491126,-0.08612113743949501,-0.028616906248129802,9.199742573274083e-05,-0.0039060109551745685,-0.04687213146209482,0.07968012461278462,monthly_segmented_wls_hac,6,0.0004599871286637042,0.1747873635336214
causal_marker_thus_per_1k_words,causal_markers,2022-11-30,83,42,41,0.19034075758984723,0.19661118000657768,-9.685698490984123e-05,-0.0011622838189180949,0.12500662529859488,0.09823537932542234,-0.0675347181792329,0.31754796877642266,0.20318791515792742,-0.0054626970480045455,-0.06555236457605454,0.0035175630460179126,0.04221075655221495,-0.14828544741839583,0.017180718266286754,0.12042845686987963,-0.005559554032914387,-0.06671464839497264,0.03800874816603361,monthly_segmented_wls_hac,6,0.3010711421746991,0.3386465252632123
causal_marker_consequently_per_1k_words,causal_markers,2022-11-30,83,42,41,0.02970464580148196,0.043589824566118124,0.00013144733658584484,0.001577368039030138,-0.02395885386411361,0.022944712572269717,-0.06893049050576225,0.021012782777535037,0.2963931694473875,0.001542331817163782,0.018507981805965384,0.0012836713528452158,0.01540405623414259,-0.011683968412954092,0.048699932024884866,0.22955709909269068,0.001673779153749627,0.020085349844995524,0.027215785071214138,monthly_segmented_wls_hac,6,0.3825951651544845,0.3704914618092343
causal_marker_accordingly_per_1k_words,causal_markers,2022-11-30,83,42,41,0.01285421509627988,0.019255939440687764,-9.356671382128789e-05,-0.0011228005658554547,0.024685476534318983,0.03382574129377301,-0.04161297640147612,0.09098392947011408,0.4655223751588556,-0.0006857492174441467,-0.00822899060932976,0.0009557505323237564,0.011469006387885077,-0.030708243129584513,0.014250261910924988,0.47306679130137114,-0.0007793159312654346,-0.009351791175185215,0.012894738574904308,monthly_segmented_wls_hac,6,0.5913334891267139,0.46552237515885564
