year,topic_id,count,total,pct,topic_label
2019,0,46,105,43.80952380952381,"cancer, lung, ai, breast, tumor, prs, sequencing"
2019,1,11,105,10.476190476190476,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2019,2,23,105,21.904761904761905,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2019,3,25,105,23.809523809523807,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2020,0,41,180,22.77777777777778,"cancer, lung, ai, breast, tumor, prs, sequencing"
2020,1,114,180,63.33333333333333,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2020,2,12,180,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2020,3,13,180,7.222222222222221,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021,0,42,180,23.333333333333332,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021,1,104,180,57.77777777777777,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021,2,12,180,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2021,3,22,180,12.222222222222221,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2022,0,41,180,22.77777777777778,"cancer, lung, ai, breast, tumor, prs, sequencing"
2022,1,83,180,46.111111111111114,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2022,2,17,180,9.444444444444445,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2022,3,39,180,21.666666666666668,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2023,0,71,180,39.44444444444444,"cancer, lung, ai, breast, tumor, prs, sequencing"
2023,1,48,180,26.666666666666668,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2023,2,37,180,20.555555555555554,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2023,3,24,180,13.333333333333334,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2024,0,75,180,41.66666666666667,"cancer, lung, ai, breast, tumor, prs, sequencing"
2024,1,27,180,15.0,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2024,2,37,180,20.555555555555554,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2024,3,41,180,22.77777777777778,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2025,0,72,180,40.0,"cancer, lung, ai, breast, tumor, prs, sequencing"
2025,1,33,180,18.333333333333332,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2025,2,32,180,17.77777777777778,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2025,3,43,180,23.88888888888889,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2026,0,24,60,40.0,"cancer, lung, ai, breast, tumor, prs, sequencing"
2026,1,8,60,13.333333333333334,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2026,2,14,60,23.333333333333332,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2026,3,14,60,23.333333333333332,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
