year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2019,ROOT->acl,ROOT,acl,65,0.004821243139000148,4.6240307320196345,912,14057.0,13482
2020,ROOT->acl,ROOT,acl,946,0.004678142787203845,4.665430442673401,14066,202768.0,202217
2021,ROOT->acl,ROOT,acl,860,0.0044379995974837575,4.42270803441484,12748,194451.0,193781
2022,ROOT->acl,ROOT,acl,778,0.004695544061464551,4.629960246613821,10523,168036.0,165689
2023,ROOT->acl,ROOT,acl,832,0.004789867587795049,4.663677130044842,11046,178400.0,173700
2024,ROOT->acl,ROOT,acl,965,0.004803313041617099,4.663593044722166,12862,206922.0,200903
2025,ROOT->acl,ROOT,acl,1014,0.00432044584955986,4.187746505048836,15004,242135.0,234698
2026,ROOT->acl,ROOT,acl,335,0.00440106150976116,4.261327498918768,4849,78614.0,76118
2019,ROOT->acomp,ROOT,acomp,18,0.0013351134846461949,1.2805008180977449,912,14057.0,13482
2020,ROOT->acomp,ROOT,acomp,180,0.0008901328770578141,0.8877140377179831,14066,202768.0,202217
2021,ROOT->acomp,ROOT,acomp,153,0.0007895510911802499,0.7868306154249656,12748,194451.0,193781
2022,ROOT->acomp,ROOT,acomp,84,0.0005069739089499001,0.49989288009712207,10523,168036.0,165689
2023,ROOT->acomp,ROOT,acomp,90,0.0005181347150259067,0.5044843049327354,11046,178400.0,173700
2024,ROOT->acomp,ROOT,acomp,99,0.0004927751203317024,0.4784411517383362,12862,206922.0,200903
2025,ROOT->acomp,ROOT,acomp,109,0.0004644266248540678,0.450162099655151,15004,242135.0,234698
2026,ROOT->acomp,ROOT,acomp,27,0.00035471242018970543,0.34345027603225886,4849,78614.0,76118
2019,ROOT->advcl,ROOT,advcl,15,0.0011125945705384957,1.0670840150814542,912,14057.0,13482
2020,ROOT->advcl,ROOT,advcl,395,0.00195334714687687,1.948039138325574,14066,202768.0,202217
2021,ROOT->advcl,ROOT,advcl,375,0.0019351742430888477,1.928506410355308,12748,194451.0,193781
2022,ROOT->advcl,ROOT,advcl,308,0.0018589043328163003,1.832940560356114,10523,168036.0,165689
2023,ROOT->advcl,ROOT,advcl,403,0.0023200921128382268,2.258968609865471,11046,178400.0,173700
2024,ROOT->advcl,ROOT,advcl,498,0.002478808181062503,2.4067039754110247,12862,206922.0,200903
2025,ROOT->advcl,ROOT,advcl,589,0.0025096080921013387,2.4325273091457245,15004,242135.0,234698
2026,ROOT->advcl,ROOT,advcl,175,0.002299061982711054,2.226066603912789,4849,78614.0,76118
2019,ROOT->advmod,ROOT,advmod,24,0.0017801513128615932,1.7073344241303265,912,14057.0,13482
2020,ROOT->advmod,ROOT,advmod,406,0.002007744156030403,2.002288329519451,14066,202768.0,202217
2021,ROOT->advmod,ROOT,advmod,324,0.0016719905460287645,1.666229538546986,12748,194451.0,193781
2022,ROOT->advmod,ROOT,advmod,265,0.0015993819746633754,1.577043014592111,10523,168036.0,165689
2023,ROOT->advmod,ROOT,advmod,231,0.0013298791018998273,1.2948430493273542,11046,178400.0,173700
2024,ROOT->advmod,ROOT,advmod,270,0.0013439321463591882,1.304839504740917,12862,206922.0,200903
2025,ROOT->advmod,ROOT,advmod,297,0.0012654560328592488,1.2265884733722923,15004,242135.0,234698
2026,ROOT->advmod,ROOT,advmod,94,0.0012349247221419375,1.1957157758160124,4849,78614.0,76118
2019,ROOT->agent,ROOT,agent,6,0.0004450378282153983,0.42683360603258164,912,14057.0,13482
2020,ROOT->agent,ROOT,agent,37,0.00018297175806188402,0.1824745521975854,14066,202768.0,202217
2021,ROOT->agent,ROOT,agent,63,0.00032510927283892644,0.32398907693969176,12748,194451.0,193781
2022,ROOT->agent,ROOT,agent,41,0.00024745155079697507,0.2439953343331191,10523,168036.0,165689
2023,ROOT->agent,ROOT,agent,36,0.0002072538860103627,0.20179372197309417,11046,178400.0,173700
2024,ROOT->agent,ROOT,agent,35,0.00017421342637989476,0.1691458617256744,12862,206922.0,200903
2025,ROOT->agent,ROOT,agent,28,0.0001193022522560908,0.11563797055361678,15004,242135.0,234698
2026,ROOT->agent,ROOT,agent,12,0.000157649964528758,0.15264456712544838,4849,78614.0,76118
2019,ROOT->amod,ROOT,amod,343,0.02544132917964694,24.400654478195918,912,14057.0,13482
2020,ROOT->amod,ROOT,amod,5118,0.02530944480434385,25.240669139114654,14066,202768.0,202217
2021,ROOT->amod,ROOT,amod,4745,0.02448640475588422,24.40203444569583,12748,194451.0,193781
2022,ROOT->amod,ROOT,amod,4022,0.024274393592815455,23.93534718750744,10523,168036.0,165689
2023,ROOT->amod,ROOT,amod,4258,0.024513529073114566,23.867713004484305,11046,178400.0,173700
2024,ROOT->amod,ROOT,amod,5165,0.025708924207204473,24.961096451803094,12862,206922.0,200903
2025,ROOT->amod,ROOT,amod,6020,0.025649984235059525,24.862163669027606,15004,242135.0,234698
2026,ROOT->amod,ROOT,amod,2170,0.028508368585617068,27.603225888518583,4849,78614.0,76118
