paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
10.1101/19000109,2019,2019-06-25,18.0,18,0,0,0,3,3,6,1,6,7,0.0,0.0,0.0,333.3333333333333,388.8888888888889,0.0,0.3333333333333333,0.3888888888888889,1.1666666666666667
10.1101/19000273,2019,2019-06-25,12.0,12,0,0,0,1,1,2,3,2,5,0.0,0.0,0.0,166.66666666666666,416.6666666666667,0.0,0.16666666666666666,0.4166666666666667,2.5
10.1101/19000919,2019,2019-07-02,16.0,16,0,1,1,3,3,2,3,6,5,0.0,62.5,62.5,375.0,312.5,0.0,0.375,0.3125,0.8333333333333334
10.1101/19000851,2019,2019-07-03,15.0,15,0,0,0,3,4,3,1,7,4,0.0,0.0,0.0,466.6666666666667,266.6666666666667,0.0,0.4666666666666667,0.26666666666666666,0.5714285714285714
10.1101/19003525,2019,2019-08-01,17.0,17,0,1,1,3,3,1,3,6,4,0.0,58.8235294117647,58.8235294117647,352.94117647058823,235.2941176470588,0.0,0.35294117647058826,0.23529411764705882,0.6666666666666666
10.1101/19003509,2019,2019-08-01,23.0,23,0,0,0,4,3,3,4,7,7,0.0,0.0,0.0,304.34782608695656,304.34782608695656,0.0,0.30434782608695654,0.30434782608695654,1.0
10.1101/19005124,2019,2019-09-04,17.0,17,1,2,3,2,2,3,4,4,7,58.8235294117647,117.6470588235294,176.47058823529412,235.2941176470588,411.7647058823529,0.3333333333333333,0.23529411764705882,0.4117647058823529,1.75
10.1101/19005496,2019,2019-09-04,20.0,21,0,0,0,3,4,7,0,7,7,0.0,0.0,0.0,350.0,350.0,0.0,0.3333333333333333,0.3333333333333333,1.0
10.1101/19007815,2019,2019-10-02,22.0,22,1,1,2,2,2,2,3,4,5,45.45454545454545,45.45454545454545,90.9090909090909,181.8181818181818,227.27272727272725,0.5,0.18181818181818182,0.22727272727272727,1.25
10.1101/19007195,2019,2019-10-02,24.0,24,2,2,4,4,4,4,4,8,8,83.33333333333333,83.33333333333333,166.66666666666666,333.3333333333333,333.3333333333333,0.5,0.3333333333333333,0.3333333333333333,1.0
10.1101/19009530,2019,2019-11-02,16.0,18,1,0,1,2,2,9,2,4,11,62.5,0.0,62.5,250.0,687.5,1.0,0.2222222222222222,0.6111111111111112,2.75
10.1101/19007849,2019,2019-11-02,26.0,28,1,0,1,3,3,5,3,6,8,38.46153846153847,0.0,38.46153846153847,230.76923076923077,307.69230769230774,1.0,0.21428571428571427,0.2857142857142857,1.3333333333333333
10.1101/19009407,2019,2019-12-02,21.0,21,0,1,1,3,3,2,4,6,6,0.0,47.61904761904761,47.61904761904761,285.7142857142857,285.7142857142857,0.0,0.2857142857142857,0.2857142857142857,1.0
10.1101/19000422,2019,2019-12-02,16.0,16,0,1,1,3,3,2,1,6,3,0.0,62.5,62.5,375.0,187.5,0.0,0.375,0.1875,0.5
10.1101/2019.12.26.19014274,2020,2020-01-02,21.0,21,1,2,3,3,2,4,1,5,5,47.61904761904761,95.23809523809523,142.85714285714286,238.09523809523807,238.09523809523807,0.3333333333333333,0.23809523809523808,0.23809523809523808,1.0
10.1101/19004184,2020,2020-01-02,11.0,11,0,0,0,1,1,2,2,2,4,0.0,0.0,0.0,181.8181818181818,363.6363636363636,0.0,0.18181818181818182,0.36363636363636365,2.0
10.1101/2020.01.31.20019265,2020,2020-02-02,10.0,11,0,0,0,3,2,0,1,5,1,0.0,0.0,0.0,500.0,100.0,0.0,0.45454545454545453,0.09090909090909091,0.2
10.1101/2020.01.31.20019901,2020,2020-02-02,12.0,13,0,1,1,2,2,2,1,4,3,0.0,83.33333333333333,83.33333333333333,333.3333333333333,250.0,0.0,0.3076923076923077,0.23076923076923078,0.75
10.1101/2020.02.25.20021568,2020,2020-03-01,17.0,18,0,1,1,2,1,5,2,3,7,0.0,58.8235294117647,58.8235294117647,176.47058823529412,411.7647058823529,0.0,0.16666666666666666,0.3888888888888889,2.3333333333333335
10.1101/2020.02.27.20028563,2020,2020-03-01,10.0,10,0,0,0,1,1,2,3,2,5,0.0,0.0,0.0,200.0,500.0,0.0,0.2,0.5,2.5
10.1101/2020.03.30.20048264,2020,2020-04-01,15.0,17,2,1,3,4,4,0,2,8,2,133.33333333333334,66.66666666666667,200.0,533.3333333333334,133.33333333333334,0.6666666666666666,0.47058823529411764,0.11764705882352941,0.25
10.1101/2020.03.30.20047985,2020,2020-04-01,11.0,12,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,363.6363636363636,272.7272727272727,0.0,0.3333333333333333,0.25,0.75
10.1101/2020.04.26.20050799,2020,2020-05-01,16.0,16,0,1,1,3,3,5,1,6,6,0.0,62.5,62.5,375.0,375.0,0.0,0.375,0.375,1.0
10.1101/2020.04.24.20073924,2020,2020-05-01,16.0,18,0,1,1,4,4,4,0,8,4,0.0,62.5,62.5,500.0,250.0,0.0,0.4444444444444444,0.2222222222222222,0.5
10.1101/2020.05.01.20088054,2020,2020-06-01,14.0,15,0,1,1,3,3,2,0,6,2,0.0,71.42857142857143,71.42857142857143,428.57142857142856,142.85714285714286,0.0,0.4,0.13333333333333333,0.3333333333333333
10.1101/2020.05.28.20115501,2020,2020-06-01,19.0,19,1,0,1,3,4,4,1,7,5,52.63157894736842,0.0,52.63157894736842,368.4210526315789,263.1578947368421,1.0,0.3684210526315789,0.2631578947368421,0.7142857142857143
10.1101/2020.06.23.20132522,2020,2020-07-01,7.0,7,1,1,2,1,1,2,0,2,2,142.85714285714286,142.85714285714286,285.7142857142857,285.7142857142857,285.7142857142857,0.5,0.2857142857142857,0.2857142857142857,1.0
10.1101/2020.06.22.20137554,2020,2020-07-01,30.0,32,1,0,1,3,3,10,4,6,14,33.333333333333336,0.0,33.333333333333336,200.0,466.6666666666667,1.0,0.1875,0.4375,2.3333333333333335
10.1101/2020.07.29.20164459,2020,2020-08-01,12.0,12,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,333.3333333333333,250.0,0.0,0.3333333333333333,0.25,0.75
10.1101/2020.07.29.20164806,2020,2020-08-01,11.0,12,1,0,1,3,3,3,1,6,4,90.9090909090909,0.0,90.9090909090909,545.4545454545454,363.6363636363636,1.0,0.5,0.3333333333333333,0.6666666666666666
10.1101/2020.08.26.20182246,2020,2020-09-01,18.0,21,1,0,1,5,5,1,1,10,2,55.55555555555555,0.0,55.55555555555555,555.5555555555555,111.1111111111111,1.0,0.47619047619047616,0.09523809523809523,0.2
10.1101/2020.08.26.20182204,2020,2020-09-01,6.0,7,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,333.3333333333333,500.0,0.0,0.2857142857142857,0.42857142857142855,1.5
10.1101/2020.09.29.20202846,2020,2020-10-01,9.0,10,0,0,0,2,2,2,1,4,3,0.0,0.0,0.0,444.4444444444444,333.3333333333333,0.0,0.4,0.3,0.75
10.1101/2020.09.29.20201509,2020,2020-10-01,15.0,17,1,0,1,2,2,1,3,4,4,66.66666666666667,0.0,66.66666666666667,266.6666666666667,266.6666666666667,1.0,0.23529411764705882,0.23529411764705882,1.0
10.1101/2020.08.13.20147595,2020,2020-11-01,14.0,15,1,1,2,3,2,2,0,5,2,71.42857142857143,71.42857142857143,142.85714285714286,357.14285714285717,142.85714285714286,0.5,0.3333333333333333,0.13333333333333333,0.4
10.1101/2020.10.27.20220897,2020,2020-11-01,10.0,11,1,1,2,3,3,0,1,6,1,100.0,100.0,200.0,600.0,100.0,0.5,0.5454545454545454,0.09090909090909091,0.16666666666666666
10.1101/2020.06.27.20141747,2020,2020-12-01,20.0,22,0,0,0,2,1,6,1,3,7,0.0,0.0,0.0,150.0,350.0,0.0,0.13636363636363635,0.3181818181818182,2.3333333333333335
10.1101/2020.05.26.20113324,2020,2020-12-01,20.0,20,1,1,2,4,4,4,0,8,4,50.0,50.0,100.0,400.0,200.0,0.5,0.4,0.2,0.5
10.1101/2020.11.18.20234039,2021,2021-01-01,15.0,16,1,1,2,3,3,0,2,6,2,66.66666666666667,66.66666666666667,133.33333333333334,400.0,133.33333333333334,0.5,0.375,0.125,0.3333333333333333
10.1101/2020.12.30.20248603,2021,2021-01-01,7.0,8,0,0,0,1,1,2,0,2,2,0.0,0.0,0.0,285.7142857142857,285.7142857142857,0.0,0.25,0.25,1.0
10.1101/2021.01.24.21250414,2021,2021-02-01,15.0,17,0,0,0,3,3,7,0,6,7,0.0,0.0,0.0,400.0,466.6666666666667,0.0,0.35294117647058826,0.4117647058823529,1.1666666666666667
10.1101/2021.01.28.21250718,2021,2021-02-01,13.0,14,0,1,1,2,2,3,1,4,4,0.0,76.92307692307693,76.92307692307693,307.69230769230774,307.69230769230774,0.0,0.2857142857142857,0.2857142857142857,1.0
10.1101/2020.06.21.20136085,2021,2021-03-01,23.0,23,0,1,1,4,4,4,5,8,9,0.0,43.47826086956522,43.47826086956522,347.82608695652175,391.304347826087,0.0,0.34782608695652173,0.391304347826087,1.125
10.1101/2021.02.09.21249859,2021,2021-03-01,19.0,20,3,1,4,4,4,3,2,8,5,157.89473684210526,52.63157894736842,210.52631578947367,421.05263157894734,263.1578947368421,0.75,0.4,0.25,0.625
10.1101/2021.03.29.21253174,2021,2021-04-01,10.0,13,0,0,0,3,3,3,1,6,4,0.0,0.0,0.0,600.0,400.0,0.0,0.46153846153846156,0.3076923076923077,0.6666666666666666
10.1101/2021.03.29.21254233,2021,2021-04-01,9.0,10,0,1,1,2,2,1,0,4,1,0.0,111.1111111111111,111.1111111111111,444.4444444444444,111.1111111111111,0.0,0.4,0.1,0.25
10.1101/2020.08.16.20167577,2021,2021-05-01,24.0,24,1,1,2,2,2,6,5,4,11,41.666666666666664,41.666666666666664,83.33333333333333,166.66666666666666,458.3333333333333,0.5,0.16666666666666666,0.4583333333333333,2.75
10.1101/2021.04.07.21255081,2021,2021-05-01,19.0,21,1,1,2,4,4,3,2,8,5,52.63157894736842,52.63157894736842,105.26315789473684,421.05263157894734,263.1578947368421,0.5,0.38095238095238093,0.23809523809523808,0.625
