feature,family,intervention_date,target_year,n_months,n_pre_months,n_target_year_months,pre_mean,target_year_observed_mean,target_year_counterfactual_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,first_post_year_excess,first_post_year_excess_se,first_post_year_excess_ci_low,first_post_year_excess_ci_high,standardized_first_post_year_excess,standardized_first_post_year_excess_se,standardized_first_post_year_excess_ci_low,standardized_first_post_year_excess_ci_high,first_post_year_excess_p,r_squared,model,hac_lags,first_post_year_excess_q
dependency_length,syntax,2022-11-30,2023,54,42,12,2.480873428412567,2.525177676784924,2.606625724762656,0.06178049156218635,0.004880541647320049,0.058566499767840584,-0.0814480479777539,0.02117015934468399,-0.12294156029333453,-0.03995453566217328,-1.3183457418070361,0.3426673826862442,-1.9899738118720747,-0.6467176717419975,0.00011942453580089187,0.6895493082505046,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0011942453580089188
colon_per_1k_words,punctuation,2022-11-30,2023,54,42,12,21.207822840697524,22.059304054850397,19.90685242911627,1.641255741728386,-0.052185162673574884,-0.6262219520828987,2.152451625733942,0.685944553610082,0.8080003006581815,3.4969029508097025,1.3114663187512887,0.41793885996567626,0.4923061532185633,2.1306264842840137,0.0017014073872066106,0.1848040717810343,pretrend_plus_first_post_year_indicator_wls_hac,6,0.0051042221616198315
marker_words_total_per_1k_words,marker_words,2022-11-30,2023,54,42,12,1.980484145145635,2.560193537061983,1.9330053237214315,0.5198957177079231,-0.0012699833668947365,-0.015239800402736838,0.6271882133405335,0.19413046439624695,0.24669250312388952,1.0076839235571775,1.2063731090258514,0.3734026993953993,0.47450381821086884,1.9382423998408338,0.001234631741611135,0.2845012325539883,pretrend_plus_first_post_year_indicator_wls_hac,6,0.007930134017020384
word_across_per_1k_words,marker_words,2022-11-30,2023,54,42,12,0.7167263377881978,0.9714641790204432,0.7616524620512439,0.32027997528227664,0.0006068975201400733,0.007282770241680879,0.2098117169691922,0.06533690513709589,0.08175138290048425,0.3378720510379002,0.6550884637238904,0.20399934488414906,0.25524974775095827,1.0549271796968227,0.0013216890028367304,0.1415881660809155,pretrend_plus_first_post_year_indicator_wls_hac,6,0.007930134017020384
word_finding_per_1k_words,marker_words,2022-11-30,2023,54,42,12,0.41508667533924076,0.4163069015810515,0.19649816526474573,0.2345841326729016,-0.008390822036386107,-0.10068986443663328,0.2198087363163023,0.0716367263891066,0.07940075259365334,0.3602167200389512,0.9370145107930137,0.305377544392549,0.3384745237836176,1.5355544978024096,0.002152223675145073,0.2390758040829024,pretrend_plus_first_post_year_indicator_wls_hac,6,0.008608894700580292
word_insight_per_1k_words,marker_words,2022-11-30,2023,54,42,12,0.4705412402156293,0.7712121417121017,0.41393729270706664,0.36485356573736144,0.0010924905706806306,0.013109886848167567,0.35727484900503054,0.12866168313151927,0.10509795006725275,0.6094517479428083,0.9792280590241335,0.3526392372553539,0.2880551540036398,1.6704009640446271,0.005488764487131212,0.32377728430150676,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01335831783123087
word_within_per_1k_words,marker_words,2022-11-30,2023,54,42,12,0.29324472897010756,0.29026406024937984,0.4219538647914241,0.17692178415339968,0.0037541302413076215,0.04504956289569146,-0.13168980454204696,0.04750179774023647,-0.22479332811291042,-0.03858628097118348,-0.7443391167017939,0.2684903838582711,-1.2705802690640051,-0.21809796433958253,0.005565965763012862,0.07489153145347593,pretrend_plus_first_post_year_indicator_wls_hac,6,0.01335831783123087
semicolon_per_1k_words,punctuation,2022-11-30,2023,54,42,12,0.30941039208207527,0.25132106385222336,0.4237667464485493,0.17408517396726678,0.004391900429945997,0.05270280515935197,-0.1724456825963285,0.07219379492885328,-0.3139455206568809,-0.03094584453577609,-0.9905822458422189,0.4147038675586921,-1.8034018262572553,-0.17776266542718241,0.016910420010542163,0.09963214495378636,pretrend_plus_first_post_year_indicator_wls_hac,6,0.025365630015813247
certainty_ratio,other,2022-11-30,2023,54,42,12,0.0005499430353019458,0.00043335760781258536,0.0002773143479540596,0.0003484526231366437,-1.092192357436134e-05,-0.00013106308289233606,0.00015604325985852112,7.301589696247981e-05,1.2932101812060685e-05,0.00029915441790498155,0.44781772182937374,0.209543255278773,0.037112941482978695,0.8585225021757689,0.03258876035924652,0.2802920825439046,pretrend_plus_first_post_year_indicator_wls_hac,6,0.03415057683542803
hedge_ratio,other,2022-11-30,2023,54,42,12,0.000585475189145831,0.00041582597368936236,0.00020671633938620414,0.00038319751793438705,-1.6802770031479555e-05,-0.00020163324037775465,0.00020910963430315353,9.871627888638523e-05,1.5625727685838494e-05,0.0004025935409204686,0.5456967347553601,0.2576119997293091,0.04077721528591426,1.0506162542248059,0.03415057683542803,0.3824024346707432,pretrend_plus_first_post_year_indicator_wls_hac,6,0.03415057683542803
