feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,placebo_year,slope_change_q
dependency_entropy,syntax,2021-01-01,83,19,64,1.9807496869690486,2.0085970280382868,0.01902128182763481,0.0018392018835328295,0.022070422602393953,0.015024423187645214,0.004100498978592953,0.006987445189603026,0.0230614011856874,0.00024826067704410506,-0.0019536674029232842,-0.02344400883507941,0.0003737938851719202,0.004485526622063043,-0.032235641014322976,-0.014652376655835847,-1.232514666862204,0.23581621168907274,-1.6947144417727866,-0.7703148919516214,1.7266474042113025e-07,-0.0001144655193904547,-0.0013735862326854564,0.4948909230121873,monthly_segmented_wls_hac,6,2021,1.7266474042113025e-06
summary_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.0624858741131566,0.060850299226480116,0.16697475421990754,-0.008562120420274126,-0.1027454450432895,0.07742304431923067,0.018751912614486558,0.040669295594837014,0.11417679304362433,3.646489471761316e-05,0.008801955221657609,0.10562346265989131,0.00259703050074905,0.0311643660089886,0.04454130528227365,0.16670562003750894,0.6325714516146799,0.18664118509762737,0.26675472882333023,0.9983881744060293,0.0007008707498924383,0.0002398348013834834,0.002878017616601801,0.12380940611448987,monthly_segmented_wls_hac,6,2021,0.0035043537494621915
summary_marker_overall_per_1k_words,summary_markers,2021-01-01,83,19,64,0.0624858741131566,0.060850299226480116,0.16697475421990754,-0.008562120420274126,-0.1027454450432895,0.07742304431923067,0.018751912614486558,0.040669295594837014,0.11417679304362433,3.646489471761316e-05,0.008801955221657609,0.10562346265989131,0.00259703050074905,0.0311643660089886,0.04454130528227365,0.16670562003750894,0.6325714516146799,0.18664118509762737,0.26675472882333023,0.9983881744060293,0.0007008707498924383,0.0002398348013834834,0.002878017616601801,0.12380940611448987,monthly_segmented_wls_hac,6,2021,0.0035043537494621915
avg_syllables_per_word,readability,2021-01-01,83,19,64,2.1880844620083177,2.186385294753369,0.06253200163458061,-0.0027288453059442813,-0.03274614367133138,0.019024331872037198,0.0073943657332783625,0.004531375034811607,0.03351728870926279,0.010087523891545554,0.003317543150565991,0.039810517806791894,0.000968127027770183,0.011617524333242197,0.01704017011363719,0.0625808654999466,0.6366423073969922,0.185785262418621,0.2725031930564951,1.0007814217374893,0.000610818977239617,0.0005886978446217098,0.007064374135460518,0.5796499811239078,monthly_segmented_wls_hac,6,2021,0.0042757328406773185
marker_verbs_total_per_1k_words,verbs,2021-01-01,83,19,64,0.23783753973342842,0.5941257200483476,0.29055432285085225,-0.003904434571213523,-0.04685321485456228,0.047073192075749816,0.05661433826266323,-0.06389091091907012,0.15803729507056974,0.4057074883341204,0.014803323886341853,0.17763988663610222,0.004562790489638756,0.05475348587566507,0.07032305431979868,0.2849567189524058,0.6113827008083738,0.1884449191408906,0.24203065929222817,0.9807347423245194,0.0011771587013221084,0.01089888931512833,0.13078667178153996,0.5670020460331364,monthly_segmented_wls_hac,6,2021,0.010594428311898977
emphasis_markers_total_per_1k_words,discourse_marker_totals,2021-01-01,83,19,64,0.006390013211559783,0.004251563115380626,0.02037962768210483,0.0031058005846273653,0.03726960701552838,-0.015796554803434944,0.008475631631412305,-0.03240879280100306,0.0008156831941331724,0.062355223120103415,-0.0032868930466137033,-0.03944271655936444,0.0012853613740685802,0.015424336488822962,-0.06967441607745745,-0.009211017041271434,-1.9353992710082109,0.7568507496516699,-3.4188267403254837,-0.45197180169093804,0.010552633297753631,-0.00018109246198633796,-0.0021731095438360555,0.07884827742899991,monthly_segmented_wls_hac,6,2021,0.02638158324438408
verb_align_per_1k_words,verbs,2021-01-01,83,19,64,0.01605177940533057,0.017189795304697983,0.062134928386922916,-0.001610505368030115,-0.01932606441636138,0.0008162883654713295,0.006231923722014786,-0.01139828212967765,0.01303085886062031,0.8957871941541156,0.0021923475649527862,0.026308170779433433,0.0008402458662587157,0.010082950395104588,0.006545588005028442,0.046070753553838426,0.4234038963658051,0.16227507871766814,0.10534474207917562,0.7414630506524347,0.009076111169827721,0.0005818421969226713,0.006982106363072055,0.13202274023088123,monthly_segmented_wls_hac,6,2021,0.036453319735098265
verb_enhance_per_1k_words,verbs,2021-01-01,83,19,64,0.17267039188967007,0.5312997958742876,0.26303936661402694,-0.001466021964235873,-0.017592263570830477,0.034747101097009715,0.054518164740095076,-0.07210850179357664,0.14160270398759606,0.5238975007436778,0.011869709335295481,0.1424365120235458,0.004733257266425602,0.05679908719710723,0.031110301117215612,0.2537627229298759,0.5415026421978548,0.21593378941051,0.11827241495325519,0.9647328694424542,0.012151106578366088,0.010403687371059608,0.1248442484527153,0.5799414773021432,monthly_segmented_wls_hac,6,2021,0.036453319735098265
emphasis_marker_particularly_per_1k_words,emphasis_markers,2021-01-01,83,19,64,0.006390013211559783,0.0010936515713585778,0.02037962768210483,0.0031058005846273185,0.037269607015527825,-0.02193716052374866,0.007072896805631452,-0.035800038262786306,-0.008074282784711015,0.0019249036972542547,-0.0032089661127323492,-0.038507593352788194,0.0012694897150435191,0.01523387658052223,-0.06836599145061176,-0.008649195254964619,-1.889514075205671,0.7475051467156567,-3.3546241627683577,-0.42440398764298337,0.011479258914299028,-0.00010316552810503074,-0.0012379863372603689,0.21394878680924834,monthly_segmented_wls_hac,6,2021,0.05739629457149514
verb_foster_per_1k_words,verbs,2021-01-01,83,19,64,0.0029850033432037445,0.007611806639105954,0.013011327919156181,0.001142238480730242,0.013706861768762903,-0.0008557419323784324,0.007051835811940116,-0.014677340123781059,0.012965856259024196,0.9034136322678362,-0.0012119205521130042,-0.01454304662535605,0.0005741482178400324,0.006889778614080388,-0.028047012708953614,-0.0010390805417584883,-1.1177219355101156,0.5295215566688453,-2.1555841865810526,-0.07985968443917871,0.03478823403809878,-6.968207138276228e-05,-0.0008361848565931473,0.015572565728928955,monthly_segmented_wls_hac,6,2021,0.07827352658572226
