feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
clause_depth,syntax,2022-11-30,83,42,41,6.668206980602413,6.814444619125978,0.1583770806958061,0.014271093186082849,0.1712531182329942,-0.0047919068825550415,0.03670062761205268,-0.07672513700217828,0.0671413232370682,0.8961175036865583,-0.01910039514649084,-0.22920474175789007,0.0022169444946314935,0.02660333393557792,-0.2813472762716228,-0.17706220724415733,-1.4472090327142866,0.1679746451866655,-1.776439337280151,-1.1179787281484221,6.955211853163768e-18,-0.00482930196040799,-0.057951623524895884,0.7864349592845494,monthly_segmented_wls_hac,6,6.955211853163768e-17,0.9431803170481121
marker_words_total_per_1k_words,marker_words,2022-11-30,83,42,41,1.9804841451456345,3.0066657244118766,0.5198957177079231,-0.004977599474189981,-0.059731193690279766,0.228360917861945,0.16688349683292375,-0.09873073593058551,0.5554525716544756,0.1711915143916634,0.04799792095323151,0.575975051438778,0.007390808471115831,0.08868970165338996,0.40214323619813375,0.7498068666794224,1.1078665044176421,0.17059132943890826,0.7735074987173821,1.4422255101179025,8.343585086916256e-11,0.04302032147904153,0.5162438577484983,0.7193604876063247,monthly_segmented_wls_hac,6,1.0012302104299507e-09,0.3423830287833269
avg_words_per_sentence,syntax,2022-11-30,83,42,41,14.987666175333448,15.945548233508081,0.6870087539598438,0.0600647587317584,0.7207771047811008,-0.11994062216325974,0.15002091531327358,-0.41398161617727597,0.1741003718507565,0.42400479515148304,-0.057041966234915226,-0.6845035948189827,0.009210178612382427,0.11052214334858912,-0.9011269957822173,-0.4678801938557481,-0.9963535266087634,0.16087443240213678,-1.3116674141169515,-0.6810396391005754,5.889441620187017e-10,0.003022792496843174,0.03627350996211809,0.8669803462770544,monthly_segmented_wls_hac,6,2.9447208100935085e-09,0.6466211576852954
colon_per_1k_words,punctuation,2022-11-30,83,42,41,21.207822840697524,24.09418720365926,1.641255741728386,-0.05570101694663274,-0.668412203359593,0.8323630214380957,0.5220149175484873,-0.19078621695693943,1.8555122598331308,0.11081970266711832,0.2001922830878538,2.402307397054246,0.03308329647653308,0.396999557718397,1.6241882639261875,3.180426530182304,1.4637008334389168,0.24188768856968124,0.9896009638423413,1.937800703035492,1.4380753352540632e-09,0.14449126614122107,1.7338951936946527,0.7432299184351525,monthly_segmented_wls_hac,6,4.31422600576219e-09,0.1786825618870822
dependency_length,syntax,2022-11-30,83,42,41,2.4808734284125666,2.5361970591079714,0.06178049156218631,0.0050034036431321205,0.060040843717585446,-0.04211957519222398,0.016994158485961988,-0.07542812582470948,-0.008811024559738485,0.01319458309961676,-0.004676244225024977,-0.05611493070029973,0.0007721907680237254,0.009266289216284706,-0.07427685756421774,-0.03795300383638171,-0.9082953094313954,0.14998730152474668,-1.2022704204198988,-0.6143201984428921,1.3970872930000357e-09,0.00032715941810714314,0.003925913017285718,0.7007666180289125,monthly_segmented_wls_hac,6,4.6569576433334525e-09,0.1003295221825284
coordination_count,syntax,2022-11-30,83,42,41,0.6511228234336592,0.6909928483320985,0.04467267838910702,0.003696070889451913,0.044352850673422956,-0.03459671313760332,0.015952102588814583,-0.0658628342116799,-0.0033305920635267397,0.030098856654758522,-0.003310128302474064,-0.03972153962968877,0.0005668589822405653,0.006802307786886784,-0.05305406289198686,-0.02638901636739067,-0.889168526760519,0.1522699787023618,-1.187617685017148,-0.59071936850389,5.2382515930935674e-09,0.00038594258697784893,0.004631311043734187,0.62800786219641,monthly_segmented_wls_hac,6,1.309562898273392e-08,0.1003295221825284
word_across_per_1k_words,marker_words,2022-11-30,83,42,41,0.7167263377881978,1.147916792978948,0.32027997528227664,9.973375550948833e-05,0.00119680506611386,-0.06786534411529008,0.1316029115608992,-0.32580705077465255,0.19007636254407237,0.606076042842048,0.02186846499159357,0.26242157989912285,0.004359220550888093,0.052310646610657124,0.15989271254223486,0.3649504472560108,0.8193505687261257,0.16332787138675617,0.4992279408080835,1.1394731966441678,5.25939589742178e-07,0.021968198747103058,0.2636183849652367,0.5210496830406367,monthly_segmented_wls_hac,6,3.155637538453068e-06,0.7272912514104576
semicolon_per_1k_words,punctuation,2022-11-30,83,42,41,0.30941039208207527,0.21695593603983995,0.17408517396726678,0.005096680436765841,0.061160165241190084,-0.08823355441396243,0.05661547201596103,-0.19919987956524604,0.02273277073732119,0.11912170792472146,-0.009860590101460445,-0.11832708121752533,0.0020930291200653645,0.025116349440784374,-0.16755512612146273,-0.06909903631358796,-0.6797079758197809,0.14427621185883985,-0.9624893510631072,-0.3969266005764549,2.4631362605317385e-06,-0.004763909664694604,-0.05716691597633525,0.25561741152469053,monthly_segmented_wls_hac,6,3.6947043907976077e-06,0.1786825618870822
certainty_ratio,other,2022-11-30,83,42,41,0.0005499430353019975,0.0005466559111052444,0.00034845262313665585,-1.1855324313098277e-05,-0.00014226389175717933,0.00010089731995389872,6.572649942036303e-05,-2.7926618910012802e-05,0.00022972125881781023,0.1247571338254851,1.6963937301438995e-05,0.00020356724761726793,3.700229956820568e-06,4.440275948184681e-05,0.0001165378390328482,0.00029059665620168767,0.5842035160614449,0.12742839781818194,0.3344438563378084,0.8339631757850815,4.549369355442482e-06,5.108612988340718e-06,6.130335586008862e-05,0.21652125209017836,monthly_segmented_wls_hac,6,9.098738710884965e-06,0.23919356385171142
dependency_entropy,syntax,2022-11-30,83,42,41,1.9985487078605755,2.0059855638223927,0.021604897660791475,0.0011607511843970866,0.013929014212765038,-0.021898625004242833,0.010079580209562676,-0.04165460221498568,-0.002142647793499989,0.029812460954557404,-0.0010016498931223507,-0.012019798717468208,0.0002692064330690986,0.0032304771968291834,-0.01835153402325341,-0.005688063411683009,-0.556346014972416,0.14952522560159343,-0.8494154571515391,-0.26327657279329286,0.00019863183136946085,0.00015910129127473592,0.001909215495296831,0.4015480527668618,monthly_segmented_wls_hac,6,0.00037228768294520674,0.1003295221825284
