topic_id,topic_label
-1,-1 (outliers)
0,"19, covid 19, covid, sars, cov, sars cov, vaccination"
1,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2,"health, study, care, review, clinical, data, language"
3,"cancer, learning, cell, breast, deep, breast cancer, based"
4,"stroke, study, pain, patients, injury, review, brain"
5,"diabetes, study, health, type, type diabetes, risk, women"
6,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
7,"dental, caries, hygiene, oral, cleft, sanitation, study"
8,"gastric, study, patients, urinary, surgery, laparoscopic, review"
