year,topic_id,count,total,pct,topic_label
2019,0,233,912,25.548245614035086,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2019,1,168,912,18.421052631578945,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2019,2,152,912,16.666666666666664,"health, study, care, review, clinical, data, language"
2019,3,103,912,11.293859649122808,"cancer, learning, cell, breast, deep, breast cancer, based"
2019,4,109,912,11.951754385964913,"stroke, study, pain, patients, injury, review, brain"
2019,5,67,912,7.346491228070176,"diabetes, study, health, type, type diabetes, risk, women"
2019,6,67,912,7.346491228070176,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
2019,7,8,912,0.8771929824561403,"dental, caries, hygiene, oral, cleft, sanitation, study"
2019,8,5,912,0.5482456140350876,"gastric, study, patients, urinary, surgery, laparoscopic, review"
2020,0,10042,14067,71.38693395891093,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2020,1,928,14067,6.597000071088363,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2020,2,854,14067,6.070946186109334,"health, study, care, review, clinical, data, language"
2020,3,770,14067,5.473803938295301,"cancer, learning, cell, breast, deep, breast cancer, based"
2020,4,514,14067,3.653941849719201,"stroke, study, pain, patients, injury, review, brain"
2020,5,485,14067,3.44778559749769,"diabetes, study, health, type, type diabetes, risk, women"
2020,6,307,14067,2.1824127390346204,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
2020,7,96,14067,0.6824482832160375,"dental, caries, hygiene, oral, cleft, sanitation, study"
2020,8,71,14067,0.5047273761285278,"gastric, study, patients, urinary, surgery, laparoscopic, review"
2021,0,8035,12748,63.02949482271729,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2021,1,1265,12748,9.923125196109194,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2021,2,985,12748,7.7267022278004385,"health, study, care, review, clinical, data, language"
2021,3,794,12748,6.2284279887041105,"cancer, learning, cell, breast, deep, breast cancer, based"
2021,4,572,12748,4.486978349545026,"stroke, study, pain, patients, injury, review, brain"
2021,5,571,12748,4.479133981801066,"diabetes, study, health, type, type diabetes, risk, women"
2021,6,360,12748,2.8239723878255414,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
2021,7,88,12748,0.6903043614684656,"dental, caries, hygiene, oral, cleft, sanitation, study"
2021,8,78,12748,0.6118606840288673,"gastric, study, patients, urinary, surgery, laparoscopic, review"
2022,0,5027,10523,47.77154803763185,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2022,1,1420,10523,13.494250688967025,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2022,2,1182,10523,11.23253824954861,"health, study, care, review, clinical, data, language"
2022,3,890,10523,8.457664164211726,"cancer, learning, cell, breast, deep, breast cancer, based"
2022,4,697,10523,6.623586429725363,"stroke, study, pain, patients, injury, review, brain"
2022,5,746,10523,7.089233108429155,"diabetes, study, health, type, type diabetes, risk, women"
2022,6,349,10523,3.316544711584149,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
2022,7,116,10523,1.1023472393804048,"dental, caries, hygiene, oral, cleft, sanitation, study"
2022,8,96,10523,0.9122873705217144,"gastric, study, patients, urinary, surgery, laparoscopic, review"
2023,0,3580,11046,32.40992214376245,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2023,1,1700,11046,15.390186492848091,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2023,2,1466,11046,13.27177258736194,"health, study, care, review, clinical, data, language"
2023,3,1067,11046,9.659605286981712,"cancer, learning, cell, breast, deep, breast cancer, based"
2023,4,1085,11046,9.82256020278834,"stroke, study, pain, patients, injury, review, brain"
2023,5,963,11046,8.718087995654535,"diabetes, study, health, type, type diabetes, risk, women"
2023,6,953,11046,8.627557486873076,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
2023,7,110,11046,0.9958355965960529,"dental, caries, hygiene, oral, cleft, sanitation, study"
2023,8,122,11046,1.1044722071338042,"gastric, study, patients, urinary, surgery, laparoscopic, review"
2024,-1,1,12862,0.007774840615767376,-1 (outliers)
2024,0,3569,12862,27.748406157673767,"19, covid 19, covid, sars, cov, sars cov, vaccination"
2024,1,2255,12862,17.532265588555436,"disease, alzheimer, parkinson disease, alzheimer disease, parkinson, brain, disorder"
2024,2,1949,12862,15.153164360130617,"health, study, care, review, clinical, data, language"
2024,3,1434,12862,11.149121443010419,"cancer, learning, cell, breast, deep, breast cancer, based"
2024,4,1206,12862,9.376457782615457,"stroke, study, pain, patients, injury, review, brain"
2024,5,1145,12862,8.902192505053646,"diabetes, study, health, type, type diabetes, risk, women"
2024,6,1012,12862,7.8681387031565855,"heart, cardiovascular, patients, risk, disease, coronary, heart failure"
