Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance,child_left_label,child_right_label,parent_label,child_left_abstract_count,child_left_abstract_share,child_right_abstract_count,child_right_abstract_share,parent_abstract_count,parent_abstract_share
26,patients_risk_data_health_clinical,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]",23,patients_data_risk_clinical_health,25,tattoo_tattooing_parents_tattooed_tools,1.2644758978719028,,,,,,,,,
25,tattoo_tattooing_parents_tattooed_tools,"[11, 12, 13]",24,tattoo_tattooing_parents_tattooed_tools,12,3d_muscle_durotomy_printing_printed,0.9882038281853411,,,,,,,,,
24,tattoo_tattooing_parents_tattooed_tools,"[11, 13]",13,tattoo_tattooing_tattooed_tattoo ink_ink,11,parents_tools_usability_knowledge translation_video,0.9862653089528238,,,,,,,,,
23,patients_data_risk_clinical_health,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",10,hearing_tinnitus_cochlear_hearing loss_speech,22,patients_data_risk_clinical_health,0.9209103636810052,,,,,,,,,
22,patients_data_risk_clinical_health,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",7,mri_imaging_radiation_dose_brain,21,patients_data_risk_health_associated,0.7870979125221597,,,,,,,,,
21,patients_data_risk_health_associated,"[0, 1, 2, 3, 4, 5, 6, 8, 9]",20,patients_data_risk_clinical_associated,8,pm2_exposure_health_pollution_mortality,0.7651444257618066,,,,,,,,,
20,patients_data_risk_clinical_associated,"[0, 1, 2, 3, 4, 5, 6, 9]",9,gastric_patients_bsgm_pylori_alimetry,19,patients_data_risk_clinical_health,0.7491924204673036,,,,,,,,,
19,patients_data_risk_clinical_health,"[0, 1, 2, 3, 4, 5, 6]",18,patients_data_risk_clinical_health,0,covid_covid 19_19_sars_sars cov,0.6469664895101025,,,,,,,,,
18,patients_data_risk_clinical_health,"[1, 2, 3, 4, 5, 6]",6,retinal_glaucoma_eye_visual_dental,17,patients_data_risk_clinical_health,0.5765746272191452,,,,,,,,,
17,patients_data_risk_clinical_health,"[1, 2, 3, 4, 5]",14,patients_disease_risk_genetic_associated,16,patients_health_data_pain_clinical,0.5274734633247089,,,,,,,,,
16,patients_health_data_pain_clinical,"[1, 4, 5]",15,patients_health_data_clinical_care,5,pain_activity_physical_patients_knee,0.4839516092179163,,,,,,,,,
15,patients_health_data_clinical_care,"[1, 4]",4,patients_clinical_data_model_models,1,health_care_data_19_covid,0.37279485094396514,,,,,,,,,
14,patients_disease_risk_genetic_associated,"[2, 3]",3,sleep_brain_cognitive_ad_disease,2,patients_cancer_variants_risk_genetic,0.36977531408537667,,,,,,,,,
