topic_id,abstract_count,abstract_share,topic_label
-1,28372,0.3459535915913719,-1 (outliers)
0,19871,0.24229676506810063,"vaccination, pandemic, tb, wastewater, malaria, omicron, viral"
1,9786,0.11932545634122252,"diabetes, tumor, kidney, gut, gwas, breast, polygenic"
2,6275,0.07651412615380863,"sleep, brain, cognitive, ad, dementia, asd, tau"
3,5008,0.0610649790881711,"hiv, hpv, healthcare, medical, smoking, prep, students"
4,3958,0.048261818536537784,"ai, medical, deep, deep learning, llms, gpt, images"
5,2803,0.03417834192974113,"maternal, pregnancy, food, mothers, pm2, aor, anc"
6,2453,0.02991062174586336,"stroke, heart, cardiac, valve, atrial, ventricular, ischemic"
7,2116,0.025801416883101048,"physical, knee, motor, gait, stroke, frailty, exercise"
8,943,0.011498457523990684,"retinal, glaucoma, eye, visual, eyes, macular, oct"
9,325,0.003962883027886503,"hearing, olfactory, smell, tinnitus, cochlear, hearing loss, speech"
10,101,0.0012315421102047286,"hiv, viral, cd4, hiv infection, reservoir, bnabs, antiretroviral"
