feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
causal_marker_accordingly_per_1k_words,-46.52506346022239,0.0027979337874823327,-3.445634738326334,-0.002582027993462339,0.0005601810215526851,2026,0.2154409016361396
word_notably_per_1k_words,131.81578335247437,0.0051593160994335635,4.194450959994589,0.01610797155999925,0.003404726358923728,2026,0.3972673396563844
emphasis_marker_notably_per_1k_words,131.81578335247437,0.0051593160994335635,4.194450959994589,0.01610797155999925,0.003404726358923728,2026,0.3972673396563844
word_insight_per_1k_words,92.33987899076368,0.00575581138317844,3.8243658263894513,0.038125462205297264,0.006438787633574526,2026,0.4431974765047399
causal_marker_thereby_per_1k_words,95.01926372047157,0.009292246066406076,2.6659761355383966,0.006391883578470342,0.020577198400468483,2026,0.7155029471132678
adjective_comprehensive_per_1k_words,80.45289228912276,0.014014999313060583,3.109263765184662,0.02831567638701967,0.019710325353007683,2026,1.0
verb_exhibit_per_1k_words,173.5536165218795,0.01641803493922579,3.368432776338606,0.048633465988749534,0.00037968251129546983,2026,1.0
verb_garner_per_1k_words,580.2270244044729,0.016692983637751343,2.406120828866528,0.0007878477032771381,0.05681540060086059,2026,1.0
adjective_pivotal_per_1k_words,181.27958177225167,0.016841183329479332,2.342956998296066,0.003559269929070544,0.04688317397985521,2026,1.0
coordination_count,10.175041878289075,0.019047763389077144,2.3973211388890605,0.3106563974380906,0.002174563651667311,2023,1.0
verb_align_per_1k_words,233.1251127917563,0.020297733613583016,2.408400239022251,0.01638521542600282,0.011235479383517722,2026,1.0
verb_underscore_per_1k_words,527.6035960902684,0.023036393379089286,3.0236353889790903,0.03959824010530771,0.0036784599263006354,2026,1.0
verb_enhance_per_1k_words,222.7920985076005,0.02500274668702897,2.872504477580811,0.07548788770733246,0.006812464138199702,2026,1.0
flesch_reading_ease,-53.439526506280096,0.025479294703635164,-2.1326055135189685,-2.6158710405762835,0.02934188679601384,2023,1.0
word_finding_per_1k_words,66.71035144159718,0.025507725345263167,2.5256128725509677,0.140794607270821,0.0002517551881390316,2026,1.0
list_of_three_per_1k_words,11.063465663697121,0.025650846864592566,2.0859187460042543,0.1350009907656698,0.03291042468861591,2026,1.0
causal_marker_hence_per_1k_words,-57.26815216680699,0.029373957625783053,-2.0265906611732545,-0.011769871980335118,0.000246908128011338,2026,1.0
flesch_kincaid_grade,15.132657582107974,0.03220116556136736,2.098011213147613,0.47922096957058524,0.032335813763416425,2023,1.0
emphasis_marker_particularly_per_1k_words,120.64438303551682,0.03276107598255597,2.3562050062368463,0.06345739155408754,0.0010499427654317905,2026,1.0
word_particularly_per_1k_words,120.64438303551682,0.03276107598255597,2.3562050062368463,0.06345739155408754,0.0010499427654317905,2026,1.0
verb_foster_per_1k_words,173.5928456799289,0.03796037218332492,1.9086964574149634,0.0050859652393606455,0.011537102516307705,2026,1.0
gunning_fog,14.461956895076673,0.0490573356599806,1.9235106795135666,0.5746688993950849,0.031534236528875596,2023,1.0
dale_chall,4.842911365494445,0.050108962102961986,1.762754150183675,0.15418385744953111,0.02608841192798392,2026,1.0
hedge_ratio,-10.236195276589173,0.05472524860361752,-2.154341843601994,-9.46377549925582e-05,0.029969187553311155,2026,1.0
summary_marker_ultimately_per_1k_words,67.16672507325933,0.05575894496500473,1.892230829394006,0.0037158791321508945,0.11348964180871066,2026,1.0
smog_index,10.719499537813798,0.05837371042874485,1.8783889240848672,0.39064817049116174,0.026110190883263926,2023,1.0
avg_words_per_sentence,9.775801122231105,0.05965952926478516,1.7813145464212654,0.5317332379804501,0.019779109500531376,2023,1.0
summary_marker_collectively_per_1k_words,114.7315722693954,0.06049160182003318,1.631618382476345,0.005531844634632258,0.006142792755994102,2026,1.0
word_interplay_per_1k_words,100.46791706915036,0.0640399713282422,1.761768107012924,0.004613702585048609,0.0860083640149835,2026,1.0
automated_readability_index,13.290234678318578,0.06747586495617089,1.6327916267840537,0.5363250175623071,0.034441719920937586,2023,1.0
adjective_potential_per_1k_words,24.54531806833277,0.06906611423039831,1.628048678713529,0.03125222701626163,0.26426463058326427,2026,1.0
contrast_marker_conversely_per_1k_words,96.04241277901387,0.06968785176846803,1.8374372879239296,0.004530420443401185,0.03416988500941544,2026,1.0
word_while_per_1k_words,44.19465459737037,0.07310874692956598,1.802360703019354,0.09186657363149525,0.0017460509385169801,2026,1.0
summary_marker_overall_per_1k_words,9.146844670661807,0.07774147698570857,1.5026268405007501,0.01197208823375131,0.04535128729938256,2026,1.0
avg_syllables_per_word,4.567871505761181,0.07783545658867703,1.5197538456897035,0.019207354323821525,0.08830972693405256,2026,1.0
adjective_crucial_per_1k_words,81.21147527572236,0.08770633953418622,1.579823920711107,0.01114525852202166,0.26601750981768446,2026,1.0
colon_per_1k_words,12.067858431244451,0.09154154514410033,1.4285882911454502,0.13142076639585462,0.04915972945790502,2026,1.0
adjective_intricate_per_1k_words,601.2075955567444,0.09322443926136041,1.6733443693936214,0.001814866822401295,0.22669572768393803,2026,1.0
word_across_per_1k_words,91.77392562650127,0.09377020131862378,1.711674308116039,0.22225261073571717,0.005865489488580047,2023,1.0
word_within_per_1k_words,16.7286417557876,0.09839875274067583,1.425443544332386,0.038946866825014546,0.002497490576818125,2026,1.0
sequential_marker_moreover_per_1k_words,-26.832684797628524,0.1088040028719549,-1.4351062565960901,-0.00989732253044697,0.02630451897730879,2026,1.0
causal_marker_thus_per_1k_words,-35.63380951280992,0.13047959995507447,-1.242892574595585,-0.0176258624560413,0.10057942194570053,2026,1.0
em_dash_per_1k_words,170.81165189733284,0.1397864919410202,1.4092720114131632,0.05472858669130679,0.014500923151533958,2026,1.0
emphasis_marker_crucially_per_1k_words,234.18346753887226,0.14068360999281265,1.3067532044401828,0.0016234695482054882,0.03320199141638586,2026,1.0
word_additionally_per_1k_words,49.06259375257211,0.14253943806399572,1.2915569277670846,0.008187405283374315,0.42793228439516817,2026,1.0
sequential_marker_additionally_per_1k_words,49.06259375257211,0.14253943806399572,1.2915569277670846,0.008187405283374315,0.42793228439516817,2026,1.0
verb_showcase_per_1k_words,210.03933623696722,0.15859174281260818,1.2434140900908357,0.0013152178465763993,0.28594877547438907,2026,1.0
word_meticulously_per_1k_words,861.4802768342984,0.1687551582081199,1.2463772615835962,0.000321191924934253,0.48111645469004766,2026,1.0
contrast_marker_nonetheless_per_1k_words,-35.85407129920472,0.16896705140175125,-1.1475474856069574,-0.0020328055200994973,0.027807486500513297,2026,1.0
certainty_ratio,20.300259804503845,0.2072698073935183,1.0115239307825818,8.917301115589711e-05,0.060973564806062905,2026,1.0
verb_delve_per_1k_words,2546.6334736466324,0.2218602468496183,1.0849351717511586,0.0007210746492998545,0.4732652920685956,2026,1.0
phrase_intricate_interplay_per_1k_words,1037.9772820615892,0.22906569990494627,1.0546503245111647,0.0002025091542994902,0.44838178246367394,2026,1.0
contrast_marker_nevertheless_per_1k_words,-18.588637154270984,0.34172807834084384,-0.7481147720101761,-0.0017309159531583862,0.13247989729196163,2026,1.0
summary_marker_taken_together_per_1k_words,-19.098650125252124,0.3456767969917664,-0.7784526299175066,-0.00036946289331294486,0.6536373112546419,2026,1.0
word_realm_per_1k_words,235.92606662174475,0.35732019316030755,0.7563101080099316,0.0004300418787426369,0.450957651161956,2026,1.0
sentence_depth_std,-2.1341060265359637,0.3621744302871156,-0.7256058790556966,-0.014126189672927218,0.19925128983985377,2026,1.0
clause_depth_std,-2.1341060265359637,0.3621744302871156,-0.7256058790556966,-0.014126189672927218,0.19925128983985377,2026,1.0
phrase_deep_dive_per_1k_words,-100.0,0.3910022189557705,-0.7071067811865475,-2.8923808487180233e-05,0.3099587355062411,2026,1.0
emphasis_marker_importantly_per_1k_words,-13.451706857003431,0.44413034747415436,-0.6146110218457851,-0.00300737320909827,0.1193408563905912,2026,1.0
coordination_per_sentence_std,-0.923083948286741,0.4725745215491129,-0.5605404510447055,-0.0016703941301176313,0.5381218462281462,2026,1.0
clause_depth,-0.9997051854089577,0.5219000636530368,-0.48559971081378456,-0.03178985625404751,0.4296488570317701,2026,1.0
dependency_length,0.40300422789424145,0.5884770415791819,0.4040414975663933,0.0050139430434391315,0.37422308133160537,2026,1.0
contrast_marker_alternatively_per_1k_words,33.350970824258766,0.638016851824878,0.3546869256071255,3.066091847570704e-05,0.9529550380739353,2026,1.0
causal_marker_consequently_per_1k_words,11.358871453829144,0.7116835040881251,0.2817687957056547,0.0013715806845673159,0.45342988137692025,2026,1.0
sequential_marker_furthermore_per_1k_words,4.578974486942271,0.7898352282152341,0.20015421668374841,-0.0029359813050131053,0.6262678024957941,2026,1.0
sequential_marker_subsequently_per_1k_words,2.409145443196384,0.804007307317981,0.18370617186069543,-7.956146870592063e-05,0.951296571393041,2026,1.0
sequential_marker_further_per_1k_words,2.4663722977018003,0.8063460611779703,0.1871994436770802,-0.0037980374442384028,0.5935526725602523,2026,1.0
dependency_length_std,0.5612305779987139,0.8401293537552805,0.15237921795867412,-9.421149044383429e-05,0.9847150142643208,2026,1.0
summary_marker_in_summary_per_1k_words,8.343361900022556,0.8584826897642723,0.1319679409782515,0.0004610980004604556,0.7904043765592087,2026,1.0
dependency_entropy,0.01158448857874316,0.9080428304006861,0.08768019867681211,-7.350941193405406e-05,0.9015444049778948,2026,1.0
semicolon_per_1k_words,0.9167751260314483,0.9472647948063061,0.048931225771838976,0.009513942519015807,0.9302295404654726,2026,1.0
contrast_marker_however_per_1k_words,0.4064007150299419,0.9492775249012797,0.04691714827765386,-0.010258751930715942,0.47525773792460607,2026,1.0
emphasis_marker_remarkably_per_1k_words,0.6423909627623766,0.9876747115832869,0.01164781083585025,0.00017410724943962638,0.8775679716671668,2026,1.0
phrase_meticulously_delve_per_1k_words,,,0.0,0.0,1.0,2026,
phrase_intricate_web_per_1k_words,,,0.0,0.0,1.0,2026,
phrase_comprehensive_chapter_per_1k_words,,,0.0,0.0,1.0,2026,
phrase_essential_insight_per_1k_words,,,0.0,0.0,1.0,2026,
