feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
word_notably_per_1k_words,74.54977081894332,0.003281856891663488,3.5630544013959233,0.03824625710319938,0.0027041979302467275,2026.0,0.0,1.0,0.10336085408503051,0.32568397469931654,0.033245455707865766,0.4705872393571553,0.033245455707865766,0.8485376882323434,0.275675978899733
emphasis_marker_notably_per_1k_words,74.54977081894332,0.003281856891663488,3.5630544013959233,0.03824625710319938,0.0027041979302467275,2026.0,0.0,1.0,0.10336085408503051,0.32568397469931654,0.033245455707865766,0.4705872393571553,0.033245455707865766,0.8485376882323434,0.275675978899733
verb_enhance_per_1k_words,63.685406311151226,0.020074621121809605,2.5998720022223414,0.07289919624157716,0.0042077014505595995,2026.0,0.038019180031014385,0.6925304764754365,0.05669652159752104,0.8063875024435656,0.04158947075448913,0.6929313346484514,0.07960865078550351,0.7795264723940853,1.0
marker_verbs_total_per_1k_words,52.84496563383434,0.03163021455580073,2.374703430516493,0.19875481546157628,0.0075493678699631245,2023.0,-0.1330759434200222,0.5707184217226184,0.5263293831922049,0.3708021587457413,0.39957685996342385,0.16614435346123524,0.26650091654340163,0.8379432577142503,1.0
word_finding_per_1k_words,18.36765455854625,0.03556268725667519,2.040957551533268,0.1494055612975623,0.0003735982110110741,2026.0,0.11440274655334448,0.32743378322364425,-0.06430059145716348,0.8086575389795474,0.07809490620743494,0.5255236207040666,0.1924976527607794,0.9195292747604029,1.0
marker_words_total_per_1k_words,17.915742632818247,0.040121664661359725,2.3869107304671,0.5479061253153485,0.00072575264781391,2023.0,0.0717143226410028,0.7217762233990681,0.030076701838371616,0.9504157374577948,0.7909792179413894,0.01833616124883597,0.8626935405823921,0.9805653810433886,1.0
emphasis_marker_importantly_per_1k_words,-35.75842740436882,0.05067463491711999,-1.8131874008528786,-0.011422560879924415,0.08463359927379707,2026.0,-0.029803879506320657,0.30372915004655665,-0.001185444393240504,0.9854801130529309,0.031236248610317867,0.32238761951904227,0.0014323691039972095,0.6127578167655134,1.0
emphasis_marker_crucially_per_1k_words,100.0,0.05937345530728205,2.0955618858421157,0.004545695615662649,0.04796081301116573,2026.0,2.6020852139652106e-18,0.9999999999999998,0.0069735383365680595,0.7873236986005085,0.005544707133342825,0.6387440953673837,0.0055447071333428275,0.5356182744882074,1.0
verb_underscore_per_1k_words,88.1304110351945,0.065331026977608,1.9828484447927426,0.04711442283931406,0.017314151158209064,2026.0,0.0,1.0,0.016283334388891797,0.9287148635928706,0.0742672300533801,0.39127628316479734,0.0742672300533801,0.7268323078018406,1.0
sequential_marker_subsequently_per_1k_words,-34.69011958475153,0.06980717961992955,-1.6118432410230472,-0.019532641683547652,0.00470769639954425,2026.0,-0.05479253560610475,0.03064362104558027,0.08627062634359581,0.10032855961992149,0.033355433886817214,0.1428779474348767,-0.02143710171928754,0.8936399465416563,1.0
clause_depth,-1.3002502233207067,0.07477664629610477,-1.5332229236404633,-0.07063520872596342,0.052866700967939266,2026.0,0.04615384615384602,0.754949699227081,-0.07187099158985678,0.8403414098977482,-0.17464431472112288,0.31248392021323457,-0.12849046856727686,0.6426778523348262,1.0
word_insight_per_1k_words,31.416067895267236,0.077762488650129,1.539888370046024,0.052478439468577325,0.09510001852747933,2026.0,0.1965926517467393,0.09257432965989021,-0.06167913003358357,0.7897434350610153,-0.22360813761723713,0.08431259003219371,-0.027015485870497846,0.7819698835337259,1.0
marker_adjectives_total_per_1k_words,22.01829052623484,0.08728890038697294,1.5069301617452855,0.12567648428501077,0.14311402045993635,2026.0,0.4030292076883576,0.3508320352879837,-0.33310788736207475,0.7369903604452601,-0.3660202091090003,0.431042686719729,0.0370089985793573,0.4352901111646872,1.0
verb_exhibit_per_1k_words,30.05982587323989,0.08943217777183755,1.43164390443974,0.04248969965410699,0.14673452562953931,2026.0,-0.17109512345103664,0.1372280021815968,0.4452713580913294,0.11706357612505092,0.2252410953892424,0.08971002562926755,0.05414597193820575,0.7160163112245457,1.0
em_dash_per_1k_words,56.6422991190123,0.09863446080475534,1.4678351033871004,0.054505508633443354,0.02663900190693779,2026.0,0.08649376067026232,0.2317760082235958,-0.2822302244551739,0.13062817873578814,0.03092880391469632,0.6695708328562573,0.11742256458495864,0.8580836612544697,1.0
word_across_per_1k_words,23.138946409252604,0.11788700607104609,1.351476710398357,0.2372898396801798,0.0041612061688753215,2023.0,0.38758406924188027,0.14889918913103006,-0.798621755899054,0.20360069285658144,-0.012907778893940371,0.9593360261310961,0.3746762903479399,0.87705958936926,1.0
summary_markers_total_per_1k_words,16.970724821382557,0.12708038197759783,1.3109943678763032,0.017514071081060074,0.40476789715580386,2026.0,0.006067156210706304,0.9578890260393034,0.07168558405473271,0.7975979425174589,-0.0022748582342255086,0.9855779885030527,0.003792297976480795,0.1454858906098696,1.0
adjective_crucial_per_1k_words,50.268987469412956,0.12872864035639875,1.3188212963122732,0.021104878352367237,0.28782781563085275,2026.0,0.015698587127158582,0.8508868509676111,0.17826495001081727,0.4004883009930926,-0.04439691574489472,0.6320640718053518,-0.028698328617736135,0.5155363340924993,1.0
