feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
sequential_marker_moreover_per_1k_words,100.0,0.0006160825624233269,10.761159224882189,0.024333569627310245,0.006126644177797372,2026.0,0.051750935243559455
certainty_ratio,40.327362475505375,0.05739657284888139,1.910709595171275,0.00030450489726820313,0.001424635248562772,2026.0,1.0
verb_enhance_per_1k_words,66.77712740585673,0.10130599874056612,1.541968426550011,0.07404851297313801,0.0312699827097058,2026.0,1.0
summary_marker_ultimately_per_1k_words,100.0,0.1174662711412803,1.5407402490609934,0.029349761697676512,0.02513576587837015,2026.0,1.0
verb_align_per_1k_words,100.0,0.13296618218037534,1.4484491273733795,0.039199054672474844,0.04806681634406184,2026.0,1.0
sequential_markers_total_per_1k_words,36.07533290090246,0.1609302657740589,1.1377302152872393,0.07647494112834764,0.2344626982598781,2026.0,1.0
causal_marker_thus_per_1k_words,-55.661734159720126,0.17137176521076455,-1.1750464128476321,-0.026146821739915102,0.3237005781502276,2026.0,1.0
causal_marker_thereby_per_1k_words,100.0,0.182571914239243,1.2213613769573874,0.018930515091016935,0.18362601218341454,2026.0,1.0
emphasis_markers_total_per_1k_words,43.467059122194655,0.19977923023534694,1.0855284356274815,0.08526075839058758,0.05025299749590594,2026.0,1.0
sequential_marker_furthermore_per_1k_words,43.225970055423566,0.20940835203894728,1.0072261969949166,0.02215261856005394,0.2820174518847523,2026.0,1.0
sequential_marker_subsequently_per_1k_words,49.455223857611976,0.23334436152729773,0.9377228276100636,0.010068525414633732,0.3080064393763799,2026.0,1.0
word_particularly_per_1k_words,40.471081047294255,0.2476194521873719,0.9571595388770947,0.08040090472638152,0.0603386488867672,2026.0,1.0
emphasis_marker_particularly_per_1k_words,40.471081047294255,0.2476194521873719,0.9571595388770947,0.08040090472638152,0.0603386488867672,2026.0,1.0
hedge_ratio,11.29640803741707,0.24935207701106246,0.9158155213856785,0.0001538176270691527,0.18906065708201275,2026.0,1.0
adjective_comprehensive_per_1k_words,44.86532331120663,0.27481163414113347,0.8802946201677481,0.0449812769331691,0.26182139676941735,2026.0,1.0
dependency_entropy,0.27190083993362363,0.2759046442633117,0.8920152048016973,0.002243959384021766,0.4575555846369966,2026.0,1.0
word_across_per_1k_words,32.10051936757056,0.31382057843747185,0.7786434815778693,0.07265201766543011,0.48018707539545386,2026.0,1.0
summary_markers_total_per_1k_words,23.14798364273078,0.33659717429770636,0.7420376382614635,0.06680258228716893,0.4140510933798329,2026.0,1.0
marker_verbs_total_per_1k_words,29.708162508076075,0.33798388101602905,0.7506051218679778,0.1017034070056094,0.3384091888255407,2023.0,1.0
verb_foster_per_1k_words,-61.55537110015202,0.343147495038093,-0.7660278951650801,-0.017240629655234485,0.2919358061543218,2026.0,1.0
