model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents
total_association,ari_complexity,dep_bigram__prep->pobj,dependency bigram,-0.009683576369351372,-0.013119226754134362,-0.005854056449135164,1.0,0.00014560507543858844,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->amod,dependency bigram,0.21123409820090172,0.20863455252351054,0.21352080816956434,1.0,0.09115180892349457,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__dobj->amod,dependency bigram,0.16972466359246902,0.16735732979448484,0.17189119632175706,1.0,0.05892409228821148,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->det,dependency bigram,-0.05946138391519076,-0.06231461007026683,-0.05729297602949755,1.0,0.00792357348095853,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->nsubj,dependency bigram,-0.4790856484823817,-0.4822497952772455,-0.47653612019683333,1.0,0.4641254432246063,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->compound,dependency bigram,0.07817428522582673,0.07554665821206948,0.08042691702969647,1.0,0.012693559848911896,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__dobj->det,dependency bigram,-0.060457228129342136,-0.06277238569144969,-0.058087669788527516,1.0,0.008013796115732622,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__dobj->prep,dependency bigram,0.031377503244565765,0.029123353550894487,0.033464210876831414,1.0,0.0020828743049367128,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__pobj->prep,dependency bigram,0.03353958632035078,0.030759624270024054,0.03620408607448106,1.0,0.0017228969363328652,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->dobj,dependency bigram,-0.033145216476670555,-0.03578700086088954,-0.0304350448881272,1.0,0.0021462261834497955,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->prep,dependency bigram,-0.08972318272842317,-0.09195913732028711,-0.08784856860300433,1.0,0.01698986531257953,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__dobj->compound,dependency bigram,0.04768802854576621,0.045497416605133074,0.05013564490637985,1.0,0.005331245584571138,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__nsubj->amod,dependency bigram,0.08775968902795413,0.08617237021242301,0.08989428053545225,1.0,0.01645557289040279,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__nsubj->det,dependency bigram,-0.010458357631985566,-0.01231114842953389,-0.00886715199000311,1.0,0.00032089873558656113,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__ROOT->advmod,dependency bigram,0.004070789559141209,0.0025398682941177027,0.0058992626775797655,1.0,4.249270555789053e-05,0.019898762333635318,0.1,0.45122609684412174,638937
total_association,ari_complexity,dep_bigram__advcl->dobj,dependency bigram,0.09356106736001601,0.09084351728777222,0.09591141918590025,1.0,0.017859343836904896,0.019898762333635318,0.1,0.45122609684412174,638937
