model_spec,outcome,feature,family,standardized_coefficient,bootstrap_ci_low,bootstrap_ci_high,bootstrap_selection_frequency,grouped_permutation_mse_increase,alpha,l1_ratio,grouped_cv_r2,n_documents,mean_standardized_its_change,mean_abs_standardized_its_change,its_valid_corpora,its_positive_share,alignment_score,abs_alignment_score,complexity_aligned
total_association,readability_composite,dep_role__amod,dependency role,0.1902626080795223,0.18577230741303224,0.19869457365081789,1.0,0.07472037181961615,0.010910352217419357,0.1,0.5454019506465443,638937,2.5942967410003033,2.5942967410003033,4,1.0,0.49359766407492267,0.49359766407492267,True
total_association,ari_complexity,dep_role__amod,dependency role,0.17105293133909186,0.16427100804284253,0.18198612672255052,1.0,0.060705663594059094,0.011993918904249846,0.1,0.5601689097439704,638937,2.5942967410003033,2.5942967410003033,4,1.0,0.44376206231155463,0.44376206231155463,True
beyond_formula,readability_composite,dep_role__amod,dependency role,0.1683674553267582,0.16539909102581957,0.1756702336436923,1.0,0.05722635695149134,0.0012705933309520442,0.5,0.801219416701403,638937,2.5942967410003033,2.5942967410003033,4,1.0,0.43679514064472297,0.43679514064472297,True
total_association,fkgl_complexity,dep_role__amod,dependency role,0.1612918799982453,0.15557469757783926,0.17074569564029005,1.0,0.054234519251206356,0.007283626068607816,0.1,0.5091369311810263,638937,2.5942967410003033,2.5942967410003033,4,1.0,0.41843899862925976,0.41843899862925976,True
total_association,ari_complexity,dep_bigram__amod->npadvmod,dependency bigram,0.16981120126674507,0.16429995153174884,0.1727246089909839,1.0,0.06023766535013528,0.011993918904249846,0.1,0.5601689097439704,638937,1.3096950594456056,1.3096950594456056,4,1.0,0.22240089133757937,0.22240089133757937,True
beyond_formula,readability_composite,dep_bigram__amod->npadvmod,dependency bigram,0.14789809338223486,0.14595854807263856,0.15081578707673465,1.0,0.044347187777031054,0.0012705933309520442,0.5,0.801219416701403,638937,1.3096950594456056,1.3096950594456056,4,1.0,0.1937014022041378,0.1937014022041378,True
total_association,fkgl_complexity,dep_bigram__amod->npadvmod,dependency bigram,0.1423084133853366,0.13714696344030913,0.14616273933428042,1.0,0.04266149961386682,0.007283626068607816,0.1,0.5091369311810263,638937,1.3096950594456056,1.3096950594456056,4,1.0,0.18638062592831822,0.18638062592831822,True
total_association,fkgl_complexity,dep_role__npadvmod,dependency role,-0.1214463163889097,-0.12462272963906011,-0.11573877102769246,1.0,0.027026236255538856,0.007283626068607816,0.1,0.5091369311810263,638937,1.4274515554314553,1.4274515554314553,4,1.0,-0.17335873323076978,0.17335873323076978,False
total_association,fkgl_complexity,dep_role__nummod,dependency role,-0.2098204492060588,-0.213079900889372,-0.2059594633539853,1.0,0.08620686503135534,0.007283626068607816,0.1,0.5091369311810263,638937,0.7968607895645369,0.7968607895645368,4,1.0,-0.16719768882112582,0.16719768882112582,False
total_association,ari_complexity,dep_role__det,dependency role,-0.10711281278231234,-0.11466112978401279,-0.09950379656648894,1.0,0.02571082117342558,0.011993918904249846,0.1,0.5601689097439704,638937,-1.548526752850412,1.548526752850412,4,0.0,0.16586705616646824,0.16586705616646824,True
