feature_rank,global_rank,domain,dataset,family,feature,plot_label,pre_mean,post_mean,standardized_slope_change_per_year,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_q
1,1,arxiv_abstracts,arxiv_abstracts,marker_words,word_across_per_1k_words,`across`,0.5269103433800514,1.868901825105446,6.100739871010344,5.511445946512625,6.690033795508063,1.8475016636302352e-90
2,2,medarxiv_abstracts,medarxiv_abstracts,verbs,verb_underscore_per_1k_words,`underscore`,0.0341854782446294,0.2275923537269981,4.528163061706501,2.409424205900216,6.646901917512786,8.409044405467967e-05
3,3,arxiv_abstracts,arxiv_abstracts,readability,avg_syllables_per_word,syllables/word,1.8862260633728527,1.9780262034629483,4.154266046167649,3.902164161595314,4.406367930739982,8.733933048148834e-229
4,4,arxiv_abstracts,arxiv_abstracts,readability,gunning_fog,Gunning Fog,18.85760622992293,20.22612073246036,4.023894969576652,3.824160747213926,4.223629191939379,0.0
5,5,arxiv_abstracts,arxiv_abstracts,marker_words,marker_words_total_per_1k_words,words,2.963775008834153,6.960023545265344,3.944243430631971,3.345386548292585,4.543100312971355,2.398974403097578e-37
6,6,arxiv_abstracts,arxiv_abstracts,readability,flesch_reading_ease,FRE,21.628003442724964,12.978040361397936,-3.4963845338067863,-3.6517385289459785,-3.341030538667594,0.0
7,7,arxiv_abstracts,arxiv_abstracts,readability,flesch_kincaid_grade,FKGL,15.850331783690534,16.948621031009925,3.440728191614141,3.2444924475057424,3.636963935722539,1.1394596905529377e-258
8,8,arxiv_abstracts,arxiv_abstracts,marker_words,word_while_per_1k_words,`while`,1.2368341074828728,2.221378924111077,3.242070220565256,2.666651429067725,3.8174890120627865,9.4596748652978e-28
9,9,arxiv_abstracts,arxiv_abstracts,verbs,verb_align_per_1k_words,`align`,0.1068518953093884,0.3950551484633924,3.1374793331590545,2.709309654440835,3.5656490118772743,8.040822022227523e-46
10,11,arxiv_abstracts,arxiv_abstracts,readability,smog_index,SMOG,16.679797331284277,17.509982719843315,3.088840075983544,2.9290643206236946,3.2486158313433924,8.3213937354e-314
11,12,arxiv_abstracts,arxiv_abstracts,readability,automated_readability_index,ARI,17.620280833781724,19.280642904039425,2.9325511061767133,2.6365063858705464,3.2285958264828807,5.728868412816358e-84
12,13,medarxiv_abstracts,medarxiv_abstracts,verbs,marker_verbs_total_per_1k_words,verbs,0.3839336555921908,1.204896540191066,2.887327434166122,1.0992918154046754,4.675363052927568,0.0034891716477148
13,14,medarxiv_abstracts,medarxiv_abstracts,punctuation,em_dash_per_1k_words,em dash,0.1149695891124562,0.2646947010700033,2.844746052612079,2.1480948015379533,3.541397303686204,3.625667397131474e-15
14,17,arxiv_abstracts,arxiv_abstracts,syntax,list_of_three_per_1k_words,list of three,2.9968621278410565,3.899536394949636,2.688280756695064,2.0864982006493182,3.2900633127408088,4.0566470431967866e-18
15,18,arxiv_abstracts,arxiv_abstracts,readability,dale_chall,Dale-Chall,12.765576805625107,13.639613892801668,2.558246735711338,2.420868136364625,2.695625335058052,2.0224506458400416e-291
16,19,medarxiv_abstracts,medarxiv_abstracts,discourse_marker_totals,emphasis_markers_total_per_1k_words,emphasis m.,0.3982134011526971,0.6800855366609435,2.466620252188673,1.4396916765974794,3.4935488277798665,1.2520149504311e-05
17,20,medarxiv_abstracts,medarxiv_abstracts,emphasis_markers,emphasis_marker_particularly_per_1k_words,`particularly`,0.2538993623821209,0.4669626986092301,2.38008271014326,1.4265899214880875,3.333575498798432,4.978191806731163e-06
18,23,arxiv_abstracts,arxiv_abstracts,punctuation,colon_per_1k_words,colon,1.662769247486616,2.633083441854338,2.316462558340883,1.594020808521946,3.0389043081598195,9.860159362022014e-10
19,24,arxiv_abstracts,arxiv_abstracts,syntax,dependency_length,dep. length,3.3586434816589428,3.4180787442336604,2.204313359736357,1.24668341767253,3.1619433018001835,9.190995935492838e-06
20,25,arxiv_abstracts,arxiv_abstracts,verbs,verb_exhibit_per_1k_words,`exhibit`,0.16635443554843,0.393969912295039,2.1854281587407822,1.436290914363875,2.9345654031176887,4.855193444989197e-08
