feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
summary_marker_ultimately_per_1k_words,125.85964733102858,0.0013038876107889224,6.5297893336452955,0.003189262793832137,0.0008386308899386058,2026.0,0.10039934603074702
word_notably_per_1k_words,274.96288233835975,0.0019656148589949074,6.632885960742448,0.012938853194543519,0.00021567756325688856,2026.0,0.15135234414260787
emphasis_marker_notably_per_1k_words,274.96288233835975,0.0019656148589949074,6.632885960742448,0.012938853194543519,0.00021567756325688856,2026.0,0.15135234414260787
contrast_marker_conversely_per_1k_words,146.6700718414573,0.002507282400841934,4.966701823056726,0.00136083838416369,0.0004706034729394515,2026.0,0.1930607448648289
coordination_count,23.105515985294037,0.0037655193094396624,3.161487009387968,0.19186475920321702,1.8290915415685233e-07,2019.0,0.289944986826854
summary_marker_collectively_per_1k_words,46.364800402840174,0.004886689302831999,2.9397677629937697,0.000532407944791788,0.060724283205081414,2026.0,0.3762750763180639
certainty_ratio,53.77206192544711,0.006137999945166214,4.897067700417131,0.00015885916119754123,0.00014729137285811222,2026.0,0.4726259957777985
word_finding_per_1k_words,247.8699500081805,0.006707038905774567,5.28563979032838,0.05372015346021407,0.00010123398697787504,2026.0,0.5164419957446417
word_within_per_1k_words,78.16502170561922,0.00701842039589125,5.7143542233366595,0.03514319947026744,0.002174072998161932,2026.0,0.5404183704836263
adjective_comprehensive_per_1k_words,255.59733340390983,0.008527893468130671,4.133055341546385,0.045829698264221536,0.00047096924214278326,2026.0,0.6566477970460617
causal_marker_thereby_per_1k_words,181.07696043237402,0.009810814876833879,4.892070800236176,0.018272431393031176,0.00045411352119027374,2026.0,0.7554327455162086
word_interplay_per_1k_words,56.593417605277736,0.011171259560518421,2.0401335650067223,0.0009676285800026555,0.1047178810094869,2026.0,0.8601869861599184
summary_marker_overall_per_1k_words,51.43388815838589,0.011997305614251648,3.0655958079191916,0.014138353540313446,6.836512441915447e-06,2026.0,0.9237925322973769
verb_exhibit_per_1k_words,158.5148350400725,0.012919491764767053,4.784188562070342,0.031112355966407143,0.00046425704817492275,2026.0,0.9948008658870631
word_insight_per_1k_words,113.90160334014344,0.014030747220316725,4.1441756680930855,0.031976216701419063,0.0011100576713618218,2026.0,1.0
verb_foster_per_1k_words,311.2520382580575,0.01743861961501903,3.67765256976727,0.00543651351955404,0.0012555092728391937,2026.0,1.0
verb_underscore_per_1k_words,3344.4514932696648,0.018282210853370152,4.27656618641008,0.014348573214070681,0.003723066794604493,2026.0,1.0
emphasis_marker_particularly_per_1k_words,157.67998700315619,0.019211167447065,4.046140582315413,0.029024887391722445,0.0019394126275931074,2026.0,1.0
word_particularly_per_1k_words,157.67998700315619,0.019211167447065,4.046140582315413,0.029024887391722445,0.0019394126275931074,2026.0,1.0
causal_marker_hence_per_1k_words,-53.51391220467404,0.022340617832434535,-3.4401327663219106,-0.008494834280305083,0.0039327039695306225,2026.0,1.0
dependency_entropy,0.3993998387863345,0.02284797944810195,1.2270984878047488,0.0024055326378363243,0.00036907391896704827,2026.0,1.0
colon_per_1k_words,72.22996549864787,0.023410411741873593,3.258103611166709,0.32587238630400905,2.4599757865045808e-05,2019.0,1.0
verb_enhance_per_1k_words,387.8315369195264,0.023723573520907485,3.6939785575877657,0.11473434443093132,0.002507862810991485,2019.0,1.0
verb_align_per_1k_words,309.4744510457484,0.02429162597713544,3.726365475101125,0.044230482099863896,0.0003853758569433223,2026.0,1.0
adjective_pivotal_per_1k_words,528.2889311280719,0.025033951540263253,3.7073389335955818,0.005107411255196526,0.0074566714453889425,2026.0,1.0
sequential_marker_furthermore_per_1k_words,33.65454310550887,0.026185360998489837,2.2037932943332823,0.015923983198987406,0.0016218910656041422,2026.0,1.0
adjective_potential_per_1k_words,107.18332076845749,0.03206750823063015,3.088944994623702,0.04902430116692162,0.005973774454438411,2026.0,1.0
summary_marker_in_summary_per_1k_words,68.55900056781651,0.03208965506031776,1.6069656700302548,0.0003540254665058821,0.10586561576886037,2026.0,1.0
adjective_intricate_per_1k_words,476.50980442498314,0.03912238202534578,3.1687377993900214,0.0047127317828864,0.027319776668698885,2026.0,1.0
verb_garner_per_1k_words,364.12030626023414,0.04251897776843544,2.759379374098324,0.0018409838731866335,0.013983857334422185,2026.0,1.0
contrast_marker_however_per_1k_words,25.61538056818368,0.04765203769830771,1.4481503772992967,0.06262134255833562,0.0022874987309953326,2026.0,1.0
word_across_per_1k_words,298.2145922677974,0.04995408888621018,2.84402056396392,0.2128766450693237,0.0007059638222871732,2024.0,1.0
emphasis_marker_remarkably_per_1k_words,29.995797092903512,0.050031920990686755,2.0844899390242557,0.000799137778277555,0.0542735439689415,2026.0,1.0
word_meticulously_per_1k_words,1594.196030683668,0.05076064926093228,2.8513789202431563,0.0014487538671891164,0.017346612535404822,2026.0,1.0
sequential_marker_subsequently_per_1k_words,84.9308276422948,0.05277762524319787,2.757799299931689,0.003529012809556039,0.029317430737710353,2026.0,1.0
list_of_three_per_1k_words,34.4811998115548,0.054700125887021916,2.7291934385443737,0.1409511322977866,0.0009611207370702479,2024.0,1.0
contrast_marker_alternatively_per_1k_words,-43.627358743492124,0.05556011259753663,-2.205889607539152,-0.0006449181784329631,0.004781987555394458,2026.0,1.0
word_while_per_1k_words,93.88361784056721,0.05871878453396769,2.589161989056273,0.16120769230277882,0.00046010429370206015,2024.0,1.0
coordination_per_sentence_std,4.464176976229182,0.05939833161914719,2.3230125912235526,0.005309020709048004,0.00036556292985394,2026.0,1.0
phrase_intricate_web_per_1k_words,,0.05997753455161629,2.693860064369556,1.32409432783937e-05,0.004714526394818377,2026.0,1.0
adjective_crucial_per_1k_words,110.33700267415911,0.06549572155160745,2.3518668383750545,0.021996045040474217,0.01359933595121149,2026.0,1.0
causal_marker_thus_per_1k_words,-35.78471396377167,0.0678645807430251,-2.426210714884823,-0.017465078763383764,0.018498035390289148,2026.0,1.0
causal_marker_consequently_per_1k_words,35.154837015756556,0.06946699479498078,1.7864843967127073,0.0026483116209254066,0.006683385127646187,2026.0,1.0
dependency_length_std,3.6572628457392193,0.08223444743472381,2.0383726513592544,0.0033856439821695586,0.0030216668636704434,2026.0,1.0
word_additionally_per_1k_words,130.16577178555372,0.0823083779436188,2.2401001659823963,0.022468806623733375,0.0239614294426287,2026.0,1.0
sequential_marker_additionally_per_1k_words,130.16577178555372,0.0823083779436188,2.2401001659823963,0.022468806623733375,0.0239614294426287,2026.0,1.0
sentence_depth_std,-4.777119461090393,0.08362644288921835,-2.230050348028907,-0.015723824453470585,0.0011766619388312994,2026.0,1.0
clause_depth_std,-4.777119461090393,0.08362644288921835,-2.230050348028907,-0.015723824453470585,0.0011766619388312994,2026.0,1.0
dependency_length,2.834856446171254,0.08526121839122185,2.1710691262715573,0.014639465403581886,0.0006755953504178873,2026.0,1.0
verb_showcase_per_1k_words,211.868723376809,0.09921278112469024,1.9971027786208837,0.008176047854083242,0.02842076962899311,2026.0,1.0
phrase_deep_dive_per_1k_words,154.95503956211226,0.1024584280736871,1.3602062992960813,0.0001541154274446874,0.022763472772414223,2026.0,1.0
summary_marker_taken_together_per_1k_words,114.5555817857054,0.10730422740219277,1.7911802761210973,0.0007236427935835194,0.0030468777118240046,2026.0,1.0
emphasis_marker_importantly_per_1k_words,-14.242820461412077,0.1169014321088094,-1.3845207297493154,-0.0012126363117005157,0.026334751559222647,2026.0,1.0
causal_marker_accordingly_per_1k_words,-17.56295059347219,0.13007682808615448,-1.1310997481424927,-0.000403213800019651,0.39747334356166786,2026.0,1.0
verb_delve_per_1k_words,716.7982274625839,0.13718879211167717,1.8228317819205748,0.002430430353911138,0.11333956960667772,2026.0,1.0
clause_depth,-2.1299656437853756,0.14343757072928942,-1.7758163365098905,-0.0336483547476748,0.015295896346573435,2026.0,1.0
emphasis_marker_crucially_per_1k_words,150.96864645724176,0.19567777770520534,1.4955369023370821,0.0035636980652106656,0.01986520249622433,2026.0,1.0
phrase_intricate_interplay_per_1k_words,128.28824218454315,0.206967835567452,1.0491113591106458,2.1075351179958374e-05,0.7671886278096305,2026.0,1.0
word_realm_per_1k_words,185.9136357271556,0.20907657749907857,1.4406127929358594,0.0012978188291955233,0.23643540838959642,2026.0,1.0
hedge_ratio,-7.549397115092398,0.2539810570053251,-1.2686004219774587,-1.691257814158251e-05,0.06332400042685522,2026.0,1.0
sequential_marker_further_per_1k_words,19.956735398398237,0.27392191476162836,1.1137300804009578,0.003732745245158257,0.16037016252756267,2026.0,1.0
em_dash_per_1k_words,32.111235851878405,0.35544219926875065,0.9819612547292859,0.0226029993536008,0.1146413053819102,2026.0,1.0
contrast_marker_nonetheless_per_1k_words,35.829902648586845,0.38514081147314033,0.7145344092294708,0.0009243943286350834,0.10813062917889006,2026.0,1.0
phrase_essential_insight_per_1k_words,,0.3910022189557705,0.9128709291752769,2.597429313818181e-06,0.3338931364506601,2026.0,1.0
semicolon_per_1k_words,11.569906098516938,0.60086560547907,0.5215397135787836,0.011120100491231638,0.35238310380471777,2026.0,1.0
sequential_marker_moreover_per_1k_words,-6.579724109146087,0.6220297739850635,-0.4383849152184004,-0.0012351237995736892,0.7736246696785708,2026.0,1.0
contrast_marker_nevertheless_per_1k_words,10.908720130353172,0.6950108426336502,0.3195731851228506,0.0010438209092830228,0.37353176659070986,2026.0,1.0
phrase_meticulously_delve_per_1k_words,,,0.0,0.0,1.0,2026.0,
phrase_comprehensive_chapter_per_1k_words,,,0.0,0.0,1.0,2026.0,
avg_words_per_sentence,,,,,,,
avg_syllables_per_word,,,,,,,
flesch_reading_ease,,,,,,,
flesch_kincaid_grade,,,,,,,
dale_chall,,,,,,,
smog_index,,,,,,,
automated_readability_index,,,,,,,
gunning_fog,,,,,,,
