feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
certainty_ratio,57.57935772147287,5.69008084453554e-05,6.33840360678764,0.00015332909639755916,7.911371899946712e-06,2026,0.004381362250292366
word_insight_per_1k_words,141.62120799656427,0.002208628957695572,2.640775811281167,0.043464977990287285,0.00034797820993229614,2026,0.17006442974255903
dependency_entropy,0.8961119633128756,0.003808706706515581,1.8190325423170317,0.0047003278449712785,1.7142993747251816e-06,2026,0.29327041640169976
verb_align_per_1k_words,378.1844295890156,0.004134635991431264,3.3412710192339516,0.07819164529289545,3.990265134366812e-05,2026,0.3183669713402073
word_finding_per_1k_words,391.3186354431649,0.004741633029376416,4.135012817095293,0.095225936104298,0.0001849990033535193,2024,0.36510574326198403
emphasis_marker_particularly_per_1k_words,144.022939063684,0.007722362668115073,3.004809182025233,0.02390119679477853,0.010013889464244734,2026,0.5946219254448606
word_particularly_per_1k_words,144.022939063684,0.007722362668115073,3.004809182025233,0.02390119679477853,0.010013889464244734,2026,0.5946219254448606
smog_index,1.9817594444341893,0.014571905346937782,2.813133149411421,0.040562986246783235,0.009273668884548034,2026,1.0
sentence_depth_std,-8.936699039149648,0.01869040292187888,-2.3587112184146917,-0.03106730446813175,0.0004735015885326667,2026,1.0
clause_depth_std,-8.936699039149648,0.01869040292187888,-2.3587112184146917,-0.03106730446813175,0.0004735015885326667,2026,1.0
dale_chall,6.044599591250459,0.021471028250096495,3.0759923614509983,0.11421188293709922,4.878105915594287e-05,2024,1.0
causal_marker_thus_per_1k_words,-45.3993108154145,0.021625305305065328,-1.8086116080814179,-0.01156030532108147,0.29818731864752485,2026,1.0
adjective_comprehensive_per_1k_words,298.7133093032855,0.021907631485249345,3.2129496072449943,0.06350043179748362,0.0014035743552950973,2026,1.0
avg_words_per_sentence,-2.3689810193449463,0.022238904892888628,-1.4275104876906028,-0.08522849975501479,0.036471196954464546,2026,1.0
dependency_length,3.815074155283184,0.024608429191006073,2.2982173934995247,0.020376522268686394,9.625157719980688e-05,2026,1.0
list_of_three_per_1k_words,32.47652790459375,0.026733181628509458,2.4165297980981286,0.16240120998924307,0.00022554739097391016,2024,1.0
gunning_fog,3.299878035249426,0.028723570365894884,2.8027868957206574,0.0757529577123912,0.011104258204872023,2024,1.0
coordination_count,21.99252801992526,0.029186257492879668,1.8905643162019836,0.22307692307692303,1.1348168820687522e-05,2019,1.0
automated_readability_index,6.950705814540598,0.029841606149406622,3.0351279193524605,0.18228742743480342,0.0002086547634234288,2024,1.0
verb_exhibit_per_1k_words,313.2567462856751,0.031833214000170584,3.1379802738686626,0.04893546088889556,0.0019407554308951953,2026,1.0
colon_per_1k_words,90.9723900135596,0.0393884039643566,2.693949895117571,0.4837817637311775,0.00010835386304059099,2019,1.0
emphasis_marker_importantly_per_1k_words,-58.01427119971383,0.04475702900443279,-1.4143083896211586,-0.003397286246635843,0.1386545910066976,2026,1.0
avg_syllables_per_word,3.4203259666729005,0.050737085627516075,2.61959368174346,0.008445071007132016,0.003868454900418933,2026,1.0
word_while_per_1k_words,115.92657909253397,0.05098226527064389,2.465208185177709,0.18358646074764795,0.0005784180970793089,2024,1.0
flesch_reading_ease,-29.977890092900076,0.055328195395394686,-2.592809703983697,-0.7390603759813905,0.0022475532800365497,2019,1.0
verb_underscore_per_1k_words,5805.733238136979,0.0560710068960797,2.7491878450110394,0.02073110992975151,0.013680627193745494,2026,1.0
word_meticulously_per_1k_words,,0.05886623215475412,2.715127642983024,0.0020027734959861656,0.043566651152713035,2026,1.0
dependency_length_std,8.376955147706715,0.05961650355495364,1.800015190611752,0.007336681957223888,0.013100344334665042,2026,1.0
word_across_per_1k_words,519.4217906416712,0.06137283757174786,2.6203526566440787,0.31481457851114797,0.0015178958673908343,2019,1.0
causal_marker_accordingly_per_1k_words,-100.0,0.06950315809332518,-0.9048545587771634,-0.0005331310164781788,0.8693257685057568,2026,1.0
flesch_kincaid_grade,2.9576921458642693,0.06951558552956394,2.1715741630088825,0.06360311243094718,0.010280087913539635,2026,1.0
clause_depth,-4.50225706818723,0.07823994990227377,-2.038282595506584,-0.07655400155400151,0.0032549289063209235,2024,1.0
verb_enhance_per_1k_words,235.81718115090757,0.08791110948861083,2.073110905609542,0.06540791935812001,0.07895740885714513,2026,1.0
word_within_per_1k_words,45.23919182761472,0.09065528520846461,1.4011846335836544,0.025789393065237476,0.05658962351888598,2026,1.0
verb_foster_per_1k_words,741.3001626033861,0.09973993305189345,1.942802887951032,0.005187301552394536,0.04077105527417049,2026,1.0
adjective_potential_per_1k_words,83.78306796589374,0.11559810465719748,1.721209048842842,0.036798504284994885,0.10107793177673034,2026,1.0
coordination_per_sentence_std,7.7795999308325525,0.11956178243795375,1.3335919818890214,0.011703103767207854,0.0019901370031724804,2026,1.0
contrast_marker_nonetheless_per_1k_words,-100.0,0.12290529619192281,-0.7411259339550721,-0.00019944299091420145,0.9596008505709415,2026,1.0
sequential_marker_further_per_1k_words,61.606372561301036,0.18988832185982008,1.2825927026127744,0.012577275106962073,0.15861564099077213,2026,1.0
word_additionally_per_1k_words,129.55223137681617,0.19613242506030243,1.2546594895183092,0.026737816836748755,0.058512854770827,2026,1.0
sequential_marker_additionally_per_1k_words,129.55223137681617,0.19613242506030243,1.2546594895183092,0.026737816836748755,0.058512854770827,2026,1.0
em_dash_per_1k_words,61.03433195490608,0.21068451826998216,1.1766162121438148,0.05844573027876149,0.028721835949060998,2026,1.0
summary_marker_overall_per_1k_words,74.27700536152113,0.2521651608424177,1.1527754596337483,0.02976160257108815,0.020401961192940948,2026,1.0
semicolon_per_1k_words,19.42007660314523,0.2559810344435245,1.092764674904782,0.020657739626166075,0.07333380878405311,2026,1.0
contrast_marker_however_per_1k_words,15.91910164080811,0.29225740184976096,0.7866192047965332,0.038799017502303794,0.1080834715449183,2026,1.0
adjective_intricate_per_1k_words,182.6207675029837,0.3267648507193987,0.9675038271304283,0.00495050148479736,0.12845744460501105,2026,1.0
