feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
adjective_potential_per_1k_words,44.988228231937185,0.004105633416112513,3.425221990681615,0.10187463715875127,0.01141526400472826,2026,0.34487320695345114
marker_words_total_per_1k_words,44.91689914700477,0.011415309827655208,3.0505113708184077,0.5837996216176986,0.000286486148815838,2023,0.9588860255230375
word_across_per_1k_words,68.02139415044591,0.011550281489067001,2.6424406793633146,0.22827076540240565,0.0011503249605363248,2023,0.9702236450816281
verb_underscore_per_1k_words,156.08818162192242,0.013388582004813368,3.238753095003762,0.050981264618616184,0.0193467008300504,2026,1.0
marker_adjectives_total_per_1k_words,44.472446426607654,0.021698001376709335,2.662296535747929,0.12759304281912703,0.03387935393447734,2026,1.0
flesch_reading_ease,-36.15325436397385,0.04219659997447684,-2.2587496103902795,-1.57785158190658,0.0031541795268963777,2023,1.0
word_finding_per_1k_words,56.78305716924664,0.04397875791806212,2.1939596410322677,0.17346605559356462,0.008777833185501592,2023,1.0
word_while_per_1k_words,37.27680775880155,0.04438035435274905,2.272126772400363,0.08861226959391857,0.0011524164350499402,2026,1.0
marker_verbs_total_per_1k_words,120.0110505949913,0.0456489522274977,2.191507503127871,0.23127842083997457,0.014009723518931233,2023,1.0
verb_exhibit_per_1k_words,146.30348318255523,0.04867659857931949,2.233796914969357,0.08584468188829808,0.0030427434211873104,2026,1.0
dale_chall,3.8087754752747727,0.049957215892415245,2.085078750485065,0.132798500466043,0.0030434542290158993,2026,1.0
emphasis_markers_total_per_1k_words,55.34505749466104,0.051577742415438055,1.8097913209822876,0.059270253413888536,0.05770586294990656,2026,1.0
avg_syllables_per_word,2.9807722482552714,0.05390016682787415,2.0792368042680485,0.014532465810725148,0.00881317336508775,2026,1.0
adjective_comprehensive_per_1k_words,44.685314215094614,0.06097443433943919,1.6276058785383414,0.018067329977969487,0.13659781738652327,2026,1.0
verb_align_per_1k_words,165.34866624937987,0.07226986369967643,1.8091952433326024,0.02047185461663744,0.005110684233627994,2026,1.0
coordination_per_sentence_std,-3.646405121547114,0.07939329031290708,-1.492247683934426,-0.006639332809583018,0.15881338150924126,2026,1.0
flesch_kincaid_grade,4.772497577831293,0.083563067090123,1.7091558855068745,0.20272014909216413,0.006109719240584575,2023,1.0
em_dash_per_1k_words,119.91790250635637,0.09892173115864178,1.6535152615868396,0.1124998530309966,0.004314343651607772,2026,1.0
emphasis_marker_notably_per_1k_words,101.48927610635559,0.11876934881595293,1.4339910333717827,0.016061053457358497,0.16677664057216574,2026,1.0
word_notably_per_1k_words,101.48927610635559,0.11876934881595293,1.4339910333717827,0.016061053457358497,0.16677664057216574,2026,1.0
contrast_marker_conversely_per_1k_words,180.2216737393023,0.15037455224296584,1.3494125498409084,0.01096668576407997,0.04090694759028501,2026,1.0
contrast_markers_total_per_1k_words,21.767172862829188,0.1649062434748723,1.1213548694449307,0.05447551038190763,0.15635201712578498,2026,1.0
word_interplay_per_1k_words,-118.57811402434263,0.17221610719870933,-1.1901645375663834,-0.004848613270641531,0.33662751680749914,2026,1.0
avg_words_per_sentence,-2.1452449496526307,0.1759711398306907,-1.1332079765012097,-0.08410178382595253,0.3102780065859985,2026,1.0
verb_enhance_per_1k_words,78.4506529517937,0.18004698849093698,1.1159096458199587,0.06399033666695557,0.1254017380470525,2026,1.0
summary_marker_in_summary_per_1k_words,157.26377254813997,0.19148966657221764,1.1577564848064543,0.008240364419480853,0.0660278701468404,2026,1.0
contrast_marker_nonetheless_per_1k_words,138.91533976631248,0.20009776585752287,1.0964193830741102,0.003048419776166872,0.42999965312792643,2026,1.0
word_particularly_per_1k_words,42.56756401384621,0.20875443827453805,1.0273371891756606,0.033666621823035585,0.1739081394969274,2026,1.0
emphasis_marker_particularly_per_1k_words,42.56756401384621,0.20875443827453805,1.0273371891756606,0.033666621823035585,0.1739081394969274,2026,1.0
word_insight_per_1k_words,42.155120887508055,0.2579695626124293,0.9275386713383947,0.018092263854435877,0.43766161158072847,2026,1.0
contrast_marker_however_per_1k_words,16.662592590324635,0.2861659387020213,0.8290137396091102,0.04124751805682448,0.25966061823931197,2026,1.0
coordination_count,4.686793850713107,0.29964983255983574,0.8350847631506086,0.15284391534391548,0.2234954589153682,2023,1.0
sequential_marker_furthermore_per_1k_words,39.240823559630584,0.3288519921290893,0.7555453210206431,0.015676302764783715,0.3687013797528288,2026,1.0
dependency_length,0.5734000566415723,0.3381066119803901,0.736030488287611,0.006301303811884305,0.15540387628703398,2026,1.0
colon_per_1k_words,11.155187279125231,0.33918675455788233,0.7359694246131944,0.08951340055443822,0.4410947589584299,2026,1.0
emphasis_marker_importantly_per_1k_words,80.94034220485237,0.35243448689102125,0.7578525997125263,0.003150293411686081,0.7519055919829998,2026,1.0
list_of_three,7.861217472845222,0.3852760097328169,0.6740451596994487,0.043650793650793676,0.37617018014008474,2026,1.0
adjective_intricate_per_1k_words,200.0,0.3910022189557704,0.7071067811865476,0.002006245844563294,0.5546464232219374,2026,1.0
verb_delve_per_1k_words,200.0,0.3910022189557705,0.7071067811865476,0.004898422436169239,0.5546464232219374,2026,1.0
verb_showcase_per_1k_words,200.0,0.3910022189557705,0.7071067811865475,0.0010993974220752504,0.5546464232219369,2026,1.0
contrast_marker_alternatively_per_1k_words,200.0,0.3910022189557705,0.7071067811865475,0.00023044448131556087,0.8460525238666443,2026,1.0
word_realm_per_1k_words,200.0,0.3910022189557705,0.7071067811865476,0.0036339322053607773,0.5546464232219374,2026,1.0
emphasis_marker_crucially_per_1k_words,-200.0,0.3910022189557705,-0.7071067811865476,-0.0001559848257961464,0.8460525238666443,2026,1.0
list_of_three_per_1k_words,6.985542431569534,0.39856634623973414,0.6430325108144466,0.1099569188662008,0.48580182222560764,2026,1.0
sequential_marker_moreover_per_1k_words,33.006172472391356,0.41047171049999953,0.6267188820857308,0.009166271617087466,0.4883472815766226,2026,1.0
causal_marker_thereby_per_1k_words,67.66927100936196,0.4208455552705664,0.6357173124714615,-0.00011778127105967423,0.9879258572148056,2026,1.0
certainty_ratio,12.819168007526516,0.4265581070636958,0.639615236009235,7.797275839655597e-05,0.14433777005698575,2026,1.0
verb_foster_per_1k_words,75.96425197022359,0.43786029962196066,0.6026436497719411,0.004358883567427834,0.4644198452993426,2026,1.0
causal_marker_consequently_per_1k_words,42.87747710993371,0.4477160055644688,0.6041115394462775,0.005168484776890445,0.22554383520589885,2026,1.0
dependency_length_std,2.1651009248419064,0.4589201481861166,0.5842452077238705,0.003912079469931733,0.43463204082240187,2026,1.0
sequential_markers_total_per_1k_words,15.542142109859336,0.4923143466750544,0.5241874942159417,0.009543160104654511,0.845380583676807,2026,1.0
summary_marker_ultimately_per_1k_words,-48.302087106119984,0.5022065019663449,-0.5066160899359033,-0.0029439301185842977,0.6778103994572565,2026,1.0
clause_depth,0.7475365273530402,0.5474069946569419,0.450787428715699,0.0177910052910051,0.5845935799329476,2026,1.0
hedge_ratio,-6.171736645716522,0.591405057294383,-0.40079641877110367,-2.0992478032752334e-05,0.8380562076375511,2026,1.0
sequential_marker_further_per_1k_words,-9.396555625860218,0.6391236868242833,-0.3490744506945734,-0.012611758582652304,0.4350441420122861,2026,1.0
sequential_marker_subsequently_per_1k_words,23.72973948150769,0.6393444747041808,0.34947699496639295,-0.00297344918122621,0.649942449348996,2026,1.0
adjective_crucial_per_1k_words,25.826887346769396,0.6468926213593891,0.35092049357779864,0.003584996059100661,0.7944746130930321,2026,1.0
adjective_pivotal_per_1k_words,69.90353624347074,0.6480801633098362,0.3523671657539346,0.0020598337787423224,0.695634830538858,2026,1.0
contrast_marker_nevertheless_per_1k_words,-70.004103405827,0.6629510056743181,-0.3303676763838462,-0.0010175576964792643,0.6373368204713156,2026,1.0
word_additionally_per_1k_words,23.389919984543685,0.6932093816430306,0.30649594798176166,0.00028579348666184847,0.9908445997155599,2026,1.0
sequential_marker_additionally_per_1k_words,23.389919984543685,0.6932093816430306,0.30649594798176166,0.00028579348666184847,0.9908445997155599,2026,1.0
causal_marker_hence_per_1k_words,-24.594006738364055,0.7326457049454663,-0.2593713516011791,-0.00446883538770522,0.44675353805511064,2026,1.0
dependency_entropy,0.1106313372092104,0.7389102512571681,0.25623247005246025,0.001686864254960119,0.3732838034362877,2026,1.0
summary_marker_taken_together_per_1k_words,-16.325252470290792,0.7691568761496942,-0.2177313945396976,-0.0014573347889729339,0.6880988925280046,2026,1.0
causal_markers_total_per_1k_words,9.64642222487597,0.7772627447710196,0.21584914387912432,-0.008257862310021876,0.7148077336420845,2026,1.0
